Unnamed: 0,IND,BUF
First Downs,21,16
Rush-Yds-TDs,30-103-2,27-110-2
Cmp-Att-Yd-TD-INT,26-42-229-0-0,15-28-135-0-1
Sacked-Yards,1-6,2-17
Net Pass Yards,223,118
Total Yards,326,228
Fumbles-Lost,2-1,1-0
Turnovers,1,1
Penalties-Yards,6-49,6-42
Third Down Conv.,9-17,3-13
Fourth Down Conv.,1-1,3-3
Time of Possession,32:01,27:59
