Quarter,Time,Tm,Detail,IND,BUF
2.0,8:42,Colts,Mike Vanderjagt 24 yard field goal,3,0
,2:07,Bills,Drew Bledsoe 1 yard rush (Rian Lindell kick),3,7
4.0,14:51,Bills,Sammy Morris 7 yard rush (Rian Lindell kick),3,14
,10:40,Colts,Edgerrin James 14 yard rush,9,14
,1:38,Colts,Edgerrin James 1 yard rush (James Mungro pass from Peyton Manning),17,14
