Quarter,Time,Tm,Detail,NYG,PHI
1.0,13:26,Eagles,Leonard Weaver 41 yard rush (David Akers kick),0,7
,11:15,Eagles,Brent Celek 17 yard pass from Donovan McNabb (David Akers kick failed),0,13
2.0,14:51,Eagles,David Akers 30 yard field goal,0,16
,1:54,Giants,Kevin Boss 18 yard pass from Eli Manning (Lawrence Tynes kick),7,16
,1:38,Eagles,DeSean Jackson 54 yard pass from Donovan McNabb (David Akers kick),7,23
,0:46,Eagles,Jeremy Maclin 23 yard pass from Donovan McNabb (David Akers kick),7,30
3.0,14:02,Eagles,David Akers 35 yard field goal,7,33
,5:09,Giants,Lawrence Tynes 42 yard field goal,10,33
,1:03,Giants,Ahmad Bradshaw 1 yard rush (Lawrence Tynes kick),17,33
4.0,14:22,Eagles,LeSean McCoy 66 yard rush (David Akers kick),17,40
