Unnamed: 0,NYG,PHI
First Downs,21,17
Rush-Yds-TDs,32-141-1,24-180-2
Cmp-Att-Yd-TD-INT,20-39-222-1-2,17-23-240-3-0
Sacked-Yards,2-7,2-29
Net Pass Yards,215,211
Total Yards,356,391
Fumbles-Lost,2-1,3-2
Turnovers,3,2
Penalties-Yards,4-25,5-45
Third Down Conv.,8-16,6-11
Fourth Down Conv.,0-2,0-0
Time of Possession,35:33,24:27
