Quarter,Time,Down,ToGo,Location,SFO,LVR,Detail,EPB,EPA
1,7:06,,,SFO 35,7,7,"Robbie Gould kicks off 65 yards, touchback.",0.000,0.610
1,7:06,1,10,LVR 25,7,7,Josh Jacobs left guard for 9 yards (tackle by Azeez Al-Shaair),0.610,1.280
1,6:31,2,1,LVR 34,7,7,Jarrett Stidham up the middle for 2 yards (tackle by Azeez Al-Shaair),1.280,1.330
1,5:56,1,10,LVR 36,7,7,Jarrett Stidham pass complete deep left to Davante Adams for 27 yards (tackle by Deommodore Lenoir),1.330,3.120
1,5:23,1,10,SFO 37,7,7,Brandon Bolden right tackle for 10 yards (tackle by Deommodore Lenoir and Tashaun Gipson),3.120,3.780
1,4:44,,,,,,Timeout #1 by Las Vegas Raiders,,
1,4:44,1,10,SFO 27,7,7,Brandon Bolden right end for 9 yards (tackle by Talanoa Hufanga),3.780,4.530
1,4:04,2,1,SFO 18,7,7,Brandon Bolden right guard for 3 yards (tackle by Fred Warner and Dre Greenlaw),4.530,4.580
1,3:17,1,10,SFO 15,7,7,"Jarrett Stidham pass incomplete short left intended for Davante Adams. Penalty on Charvarius Ward: Defensive Pass Interference, 10 yards (accepted) (no play)",4.580,6.060
1,3:12,1,5,SFO 5,7,7,Brandon Bolden right end for 1 yard (tackle by Fred Warner and Dre Greenlaw),6.060,5.340
1,2:34,2,4,SFO 4,7,7,Brandon Bolden right end for 3 yards (tackle by Talanoa Hufanga and Dre Greenlaw),5.340,5.170
1,1:52,3,1,SFO 1,7,7,Jarrett Stidham pass incomplete short left,5.170,3.550
1,1:49,4,1,SFO 1,7,10,Daniel Carlson 20 yard field goal good,3.550,3.000
1,1:45,,,LVR 35,7,10,"Daniel Carlson kicks off 62 yards, returned by Ray-Ray McCloud for 22 yards (tackle by Isaiah Pola-Mao and Malcolm Koonce)",0.000,0.610
1,1:38,1,10,SFO 25,7,10,Brock Purdy pass incomplete short right intended for Christian McCaffrey (defended by Kyle Peko),0.610,0.060
1,1:34,2,10,SFO 25,7,10,Christian McCaffrey left end for 9 yards (tackle by Maxx Crosby),0.060,0.560
1,0:50,3,1,SFO 34,7,10,Christian McCaffrey left guard for 2 yards (tackle by Harvey Langi),0.560,1.330
1,0:10,1,10,SFO 36,7,10,Christian McCaffrey left tackle for -2 yards (tackle by Clelin Ferrell),1.330,0.520
Quarter,Time,Down,ToGo,Location,SFO,LVR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,12,SFO 34,7,10,Brock Purdy pass complete short left to George Kittle for 6 yards (tackle by Nate Hobbs and Clelin Ferrell),0.520,0.630
2,14:14,3,6,SFO 40,7,10,"Brock Purdy pass incomplete short right intended for George Kittle. Penalty on Trevon Moehrig: Defensive Pass Interference, 13 yards (accepted) (no play)",0.630,2.460
2,14:09,1,10,LVR 47,7,10,"Brock Purdy pass incomplete short middle intended for Brandon Aiyuk. Penalty on Nate Hobbs: Defensive Pass Interference, 12 yards (accepted) (no play)",2.460,3.250
2,14:04,1,10,LVR 35,7,10,Christian McCaffrey left end for no gain (tackle by Amik Robertson and Luke Masterson),3.250,2.700
2,13:23,2,10,LVR 35,7,10,Christian McCaffrey up the middle for 5 yards (tackle by Harvey Langi),2.700,2.680
2,12:56,3,5,LVR 30,7,10,Brock Purdy pass complete short left to Christian McCaffrey for 6 yards (tackle by Duron Harmon),2.680,3.970
2,12:16,1,10,LVR 24,7,10,Brock Purdy pass complete short middle to George Kittle for 9 yards (tackle by Harvey Langi),3.970,4.850
2,11:32,2,1,LVR 15,7,10,Kyle Juszczyk up the middle for 9 yards (tackle by Duron Harmon and Trevon Moehrig),4.850,5.830
2,10:50,1,6,LVR 6,7,10,Christian McCaffrey left guard for 5 yards (tackle by Duron Harmon and Luke Masterson),5.830,5.910
2,10:28,2,1,LVR 1,7,10,Christian McCaffrey left tackle for -1 yards (tackle by Luke Masterson and Clelin Ferrell),5.910,4.950
