Quarter,Time,Tm,Detail,SFO,LVR
1,11:40,Raiders,Darren Waller 24 yard pass from Jarrett Stidham (Daniel Carlson kick),0,7
,7:06,49ers,Brandon Aiyuk 2 yard pass from Brock Purdy (Robbie Gould kick),7,7
,1:45,Raiders,Daniel Carlson 20 yard field goal,7,10
2,9:38,49ers,George Kittle 2 yard pass from Brock Purdy (Robbie Gould kick),14,10
,0:10,Raiders,Davante Adams 4 yard pass from Jarrett Stidham (Daniel Carlson kick),14,17
3,10:22,Raiders,Davante Adams 60 yard pass from Jarrett Stidham (Daniel Carlson kick),14,24
,5:22,49ers,Christian McCaffrey 14 yard rush (Robbie Gould kick),21,24
4,12:34,49ers,Robbie Gould 43 yard field goal,24,24
,6:44,49ers,Robbie Gould 24 yard field goal,27,24
,4:08,Raiders,Daniel Carlson 57 yard field goal,27,27
,2:17,49ers,Jordan Mason 14 yard rush (Robbie Gould kick),34,27
,1:11,Raiders,Josh Jacobs 1 yard rush (Daniel Carlson kick),34,34
OT,6:53,49ers,Robbie Gould 23 yard field goal,37,34
