Unnamed: 0,SFO,LVR
First Downs,27,29
Rush-Yds-TDs,27-170-2,32-135-1
Cmp-Att-Yd-TD-INT,22-35-284-2-1,23-34-365-3-2
Sacked-Yards,0-0,0-0
Net Pass Yards,284,365
Total Yards,454,500
Fumbles-Lost,0-0,1-0
Turnovers,1,2
Penalties-Yards,9-71,6-49
Third Down Conv.,4-8,4-10
Fourth Down Conv.,0-0,0-1
Time of Possession,31:07,32:00
