Quarter,Time,Tm,Detail,TEN,DET
1.0,13:30,Titans,Chris Johnson 6 yard rush (Rob Bironas kick),7,0
,10:30,Lions,Jason Hanson 53 yard field goal,7,3
,8:21,Titans,Chris Johnson 58 yard rush (Rob Bironas kick),14,3
,2:22,Titans,Dave Ball 15 yard interception return (Rob Bironas kick),21,3
2.0,14:20,Titans,LenDale White 6 yard rush (Rob Bironas kick),28,3
,2:48,Titans,LenDale White 2 yard rush (Rob Bironas kick),35,3
,0:34,Lions,Michael Gaines 2 yard pass from Daunte Culpepper (Jason Hanson kick),35,10
3.0,12:04,Titans,Rob Bironas 49 yard field goal,38,10
,2:24,Titans,Rob Bironas 41 yard field goal,41,10
4.0,10:23,Titans,Rob Bironas 45 yard field goal,44,10
,4:29,Titans,Rob Bironas 43 yard field goal,47,10
