Quarter,Time,Down,ToGo,Location,TEN,DET,Detail,EPB,EPA
1,3:18,1,10,DET 21,14,3,Daunte Culpepper pass incomplete short left intended for Michael Gaines,0.340,-0.200
1,3:12,2,10,DET 21,14,3,Kevin Smith left end for no gain (tackle by Stephen Tulloch),-0.200,-0.890
1,2:28,3,10,DET 21,20,3,"Daunte Culpepper pass incomplete short middle intended for Kevin Smith is intercepted by Dave Ball at DET-15 and returned for 15 yards, touchdown",-0.890,-7.000
1,,,,DET 2,21,3,Rob Bironas kicks extra point good,0.000,0.000
1,,,,TEN 30,21,3,"Rob Bironas kicks off 70 yards, returned by Aveion Cason for 15 yards (tackle by Tuff Harris)",0.000,-0.220
1,2:17,1,10,DET 15,21,3,Kevin Smith right tackle for -1 yards (tackle by Keith Bulluck),-0.220,-0.820
1,1:40,2,11,DET 14,21,3,Daunte Culpepper pass incomplete short right intended for Moran Norris,-0.820,-1.510
1,1:34,,,,21,3,Timeout #2 by Detroit Lions,0.000,-1.510
1,1:34,3,11,DET 14,21,3,"Penalty on Daunte Culpepper: Delay of Game, 5 yards (no play)",-1.510,-2.120
1,1:34,3,16,DET 9,21,3,Daunte Culpepper pass complete short left to Kevin Smith for 9 yards (tackle by Cortland Finnegan),-2.120,-2.240
1,0:52,4,7,DET 18,21,3,Nick Harris punts 13 yards,-2.240,-3.510
1,0:44,1,10,DET 31,21,3,Chris Johnson right end for 5 yards (tackle by Ryan Nece),3.510,3.640
Quarter,Time,Down,ToGo,Location,TEN,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,DET 26,21,3,Kerry Collins pass incomplete short left intended for Justin McCareins,3.640,2.940
2,14:54,3,5,DET 26,21,3,Kerry Collins pass complete short right to Justin McCareins for 20 yards (tackle by Leigh Bodden),2.940,5.830
2,14:26,1,6,DET 6,27,3,"LenDale White left tackle for 6 yards, touchdown",5.830,7.000
2,,,,DET 2,28,3,Rob Bironas kicks extra point good,0.000,0.000
2,,,,TEN 30,28,3,"Rob Bironas kicks off 71 yards, returned by Aveion Cason for 20 yards (tackle by Colin Allred)",0.000,0.150
2,14:15,1,10,DET 19,28,3,Daunte Culpepper sacked by Kevin Vickerson for -4 yards,0.150,-1.000
2,13:34,2,14,DET 15,28,3,Kevin Smith left tackle for 21 yards (tackle by Stephen Tulloch),-1.000,1.330
2,12:55,1,10,DET 36,28,3,Daunte Culpepper pass complete short right to Calvin Johnson for 5 yards (tackle by Nick Harper),1.330,1.470
2,12:17,2,5,DET 41,28,3,Kevin Smith left end for -4 yards (tackle by Keith Bulluck),1.470,0.230
2,11:31,3,9,DET 37,28,3,Daunte Culpepper pass incomplete short right intended for John Standeford (defended by Nick Harper),0.230,-0.910
2,11:25,4,9,DET 37,28,3,"Nick Harris punts 46 yards, returned by Chris Carr for no gain. Penalty on Colin Allred: Illegal Block Above the Waist, 8 yards",-0.910,0.380
2,11:13,1,10,TEN 9,28,3,Chris Johnson left end for 14 yards (tackle by Kalvin Pearson),-0.380,0.480
2,10:47,1,10,TEN 23,28,3,Kerry Collins pass complete short left to Ahmard Hall for -1 yards (tackle by Chartric Darby),0.480,-0.200
2,10:01,2,11,TEN 22,28,3,LenDale White right end for 8 yards (tackle by Cory Redding and Daniel Bullocks),-0.200,0.170
2,9:22,3,3,TEN 30,28,3,Chris Johnson right end for 4 yards (tackle by Cory Redding),0.170,1.200
2,8:44,1,10,TEN 34,28,3,Kerry Collins pass incomplete deep middle intended for Justin Gage (defended by Leigh Bodden),1.200,0.660
2,8:37,2,10,TEN 34,28,3,LenDale White left tackle for 3 yards (tackle by Shaun Cody and Kalvin Pearson),0.660,0.370
2,8:00,3,7,TEN 37,28,3,"Kerry Collins pass incomplete short left intended for Justin McCareins. Penalty on Travis Fisher: Illegal Contact, 5 yards (no play)",0.370,1.730
2,7:51,1,10,TEN 42,28,3,Kerry Collins pass incomplete deep left intended for Justin Gage (defended by Travis Fisher),1.730,1.190
2,7:45,2,10,TEN 42,28,3,Kerry Collins pass complete short right to Alge Crumpler for 11 yards (tackle by Ernie Sims),1.190,2.460
2,7:05,1,10,DET 47,28,3,"Penalty on Eugene Amano: False Start, 5 yards (no play)",2.460,2.130
2,6:44,1,15,TEN 48,28,3,Chris Johnson right end for no gain (tackle by Paris Lenon),2.130,1.240
2,6:02,2,15,TEN 48,28,3,Chris Johnson right tackle for 6 yards (tackle by Andre Fluellen and Chartric Darby),1.240,1.350
2,5:18,3,9,DET 46,28,3,Kerry Collins pass complete deep left to Justin McCareins for 23 yards (tackle by Brian Kelly),1.350,4.040
2,4:35,1,10,DET 23,28,3,LenDale White up the middle for 8 yards (tackle by Travis Fisher),4.040,4.750
2,4:06,2,2,DET 15,28,3,LenDale White right tackle for 1 yard (tackle by Corey Smith),4.750,4.280
2,3:25,3,1,DET 14,28,3,Kerry Collins for 12 yards (tackle by Dwight Smith),4.280,6.740
2,2:58,1,2,DET 2,34,3,"LenDale White up the middle for 2 yards, touchdown",6.740,7.000
2,,,,DET 2,35,3,Rob Bironas kicks extra point good,0.000,0.000
2,,,,TEN 30,35,3,"Rob Bironas kicks off 66 yards, returned by Aveion Cason for 25 yards (tackle by Colin Allred)",0.000,0.870
2,2:42,1,10,DET 29,35,3,Daunte Culpepper pass complete short right to John Standeford for 9 yards,0.870,1.540
2,2:21,2,1,DET 38,35,3,Daunte Culpepper pass incomplete short middle intended for Kevin Smith (defended by Tony Brown),1.540,0.830
2,2:15,3,1,DET 38,35,3,Kevin Smith right tackle for -1 yards (tackle by David Thornton and Stephen Tulloch),0.830,-0.910
2,2:00,4,2,DET 37,35,3,"Nick Harris punts 63 yards, touchback",-0.910,-0.280
2,1:51,1,10,TEN 20,35,3,Kerry Collins pass complete short left to Chris Johnson for 5 yards (tackle by Ikaika Alama-Francis),0.280,0.410
2,1:41,2,5,TEN 25,35,3,Chris Johnson left end for 4 yards (tackle by Chartric Darby and Ikaika Alama-Francis),0.410,0.230
2,1:00,3,1,TEN 29,35,3,"Kerry Collins sacked by Cliff Avril for -8 yards. Kerry Collins fumbles (forced by Cliff Avril), recovered by Cliff Avril at TEN-12 and returned for 10 yards (tackle by Kerry Collins)",0.230,-6.740
2,0:51,1,2,TEN 2,35,3,Kevin Smith left end for -2 yards (tackle by Jevon Kearse),6.740,5.340
2,0:39,,,,35,3,Timeout #3 by Detroit Lions,0.000,5.340
2,0:39,2,4,TEN 4,35,3,"Penalty on Tony Brown: Neutral Zone Infraction, 2 yards (no play)",5.340,5.720
2,0:37,2,2,TEN 2,35,9,"Daunte Culpepper pass complete short right to Michael Gaines for 2 yards, touchdown",5.720,7.000
2,,,,TEN 2,35,10,Jason Hanson kicks extra point good,0.000,0.000
2,,,,DET 30,35,10,"Jason Hanson kicks off 73 yards, returned by Chris Carr for 28 yards (tackle by Cliff Avril)",0.000,0.610
2,0:27,1,10,TEN 25,35,10,Chris Johnson left end for 2 yards (tackle by Dwight Smith),0.610,0.330
Quarter,Time,Down,ToGo,Location,TEN,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DET 30,35,10,"Jason Hanson kicks off 72 yards, returned by Chris Carr for 41 yards (tackle by Ramzee Robinson)",0.000,1.530
3,14:54,1,10,TEN 39,35,10,LenDale White left end for 21 yards (tackle by Daniel Bullocks),1.530,2.920
3,14:36,1,10,DET 40,35,10,"Penalty on Jake Scott: False Start, 5 yards (no play)",2.920,2.590
3,14:13,1,15,DET 45,35,10,LenDale White left end for 2 yards (tackle by Andre Fluellen),2.590,1.970
3,13:36,2,13,DET 43,35,10,Kerry Collins pass complete short right to Alge Crumpler for 11 yards (tackle by Ryan Nece),1.970,2.740
3,12:56,3,2,DET 32,35,10,Chris Johnson right end for no gain (tackle by Paris Lenon),2.740,1.300
3,12:08,4,2,DET 32,38,10,Rob Bironas 49 yard field goal good,1.300,3.000
3,,,,TEN 30,38,10,"Rob Bironas kicks off 67 yards, returned by Aveion Cason for 13 yards (tackle by Craig Stevens)",0.000,-0.140
3,11:56,1,10,DET 16,38,10,"Kevin Smith right end for 7 yards (tackle by David Thornton). Penalty on John Owens: Offensive Holding, 8 yards (no play)",-0.140,-0.680
3,11:28,1,18,DET 8,38,10,Kevin Smith left tackle for -5 yards (tackle by Tony Brown),-0.680,-1.730
3,10:43,2,23,DET 3,38,10,Daunte Culpepper pass complete short right to John Owens for 10 yards (tackle by Nick Harper),-1.730,-1.750
3,10:06,3,13,DET 13,38,10,Daunte Culpepper pass complete short left to Shaun McDonald for 12 yards (tackle by Vincent Fuller),-1.750,-1.700
3,9:17,4,1,DET 25,38,10,"Nick Harris punts 48 yards, returned by Chris Carr for 3 yards (tackle by Stuart Schweigert)",-1.700,-0.940
3,9:07,1,10,TEN 30,38,10,Chris Johnson left end for 6 yards (tackle by Ernie Sims),0.940,1.200
3,8:32,2,4,TEN 36,38,10,Kerry Collins pass incomplete short right intended for Justin Gage (defended by Shaun Cody),1.200,0.500
3,8:27,3,4,TEN 36,38,10,Chris Johnson up the middle for -3 yards (tackle by Corey Smith),0.500,-1.180
3,8:00,4,7,TEN 33,38,10,Craig Hentrich punts 41 yards (tackle by Colin Allred),-1.180,-0.610
3,7:48,1,10,DET 25,38,10,"Daunte Culpepper pass incomplete deep middle intended for Calvin Johnson (defended by Nick Harper). Penalty on Damion Cook: Offensive Holding, 10 yards (no play)",0.610,-0.410
3,7:40,1,20,DET 15,38,10,Daunte Culpepper pass incomplete short right intended for Michael Gaines,-0.410,-1.430
3,7:35,2,20,DET 15,38,10,Kevin Smith left end for 4 yards (tackle by Cortland Finnegan),-1.430,-1.510
3,6:55,3,16,DET 19,38,10,Daunte Culpepper pass incomplete deep right intended for Calvin Johnson (defended by Nick Harper),-1.510,-2.140
3,6:50,4,16,DET 19,38,10,"Nick Harris punts 54 yards, returned by Chris Carr for 11 yards (tackle by Corey Smith)",-2.140,-1.470
3,6:38,1,10,TEN 38,38,10,Chris Johnson left end for no gain (tackle by Ernie Sims),1.470,0.920
3,6:00,2,10,TEN 38,38,10,Chris Johnson left end for 3 yards (tackle by Chartric Darby and Paris Lenon),0.920,0.630
3,5:18,3,7,TEN 41,38,10,Kerry Collins pass complete deep left to Justin Gage for 26 yards (tackle by Travis Fisher),0.630,3.380
3,4:34,1,10,DET 33,38,10,LenDale White left tackle for 6 yards (tackle by Leigh Bodden),3.380,3.650
3,3:59,2,4,DET 27,38,10,LenDale White right tackle for 6 yards (tackle by Ryan Nece),3.650,4.170
3,3:18,1,10,DET 21,38,10,LenDale White left end for -2 yards (tackle by Ryan Nece),4.170,3.360
3,2:41,2,12,DET 23,38,10,Kerry Collins pass incomplete deep right intended for Alge Crumpler (defended by Leigh Bodden),3.360,2.680
3,2:35,3,12,DET 23,38,10,Kerry Collins pass incomplete deep middle intended for Brandon Jones,2.680,1.930
3,2:24,4,12,DET 23,41,10,Rob Bironas 41 yard field goal good,1.930,3.000
3,,,,TEN 30,41,10,"Rob Bironas kicks off 76 yards, touchback",0.000,0.280
3,2:24,1,10,DET 20,41,10,Daunte Culpepper pass complete short left to Calvin Johnson for 20 yards (tackle by Stephen Tulloch),0.280,1.600
3,1:50,1,10,DET 40,41,10,"Daunte Culpepper pass complete short left to Kevin Smith for 3 yards (tackle by Keith Bulluck). Penalty on Jeff Backus: Offensive Holding, 10 yards (no play)",1.600,0.940
3,1:21,1,20,DET 30,41,10,Aveion Cason up the middle for 1 yard (tackle by Albert Haynesworth),0.940,-0.160
3,0:39,2,19,DET 31,41,10,Daunte Culpepper pass complete short left to Casey Fitzsimmons for 14 yards (tackle by Chris Hope),-0.160,1.030
3,0:03,3,5,DET 45,41,10,Daunte Culpepper pass incomplete short right intended for Calvin Johnson (defended by Nick Harper),1.030,-0.390
Quarter,Time,Down,ToGo,Location,TEN,DET,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,5,DET 45,41,10,Nick Harris punts 53 yards,-0.390,0.380
4,14:47,1,10,TEN 2,41,10,LenDale White right end for 2 yards (tackle by Paris Lenon and Daniel Bullocks),-0.380,-0.630
4,14:16,2,8,TEN 4,41,10,LenDale White left tackle for 4 yards (tackle by Chartric Darby),-0.630,-0.720
4,13:34,3,4,TEN 8,41,10,LenDale White left tackle for 2 yards (tackle by Ernie Sims),-0.720,-2.490
4,12:57,4,2,TEN 10,41,10,"Craig Hentrich punts 55 yards, muffed catch by Adam Jennings, recovered by Michael Griffin and returned for no gain",-2.490,3.510
4,12:45,1,10,DET 31,41,10,LenDale White right tackle for 1 yard (tackle by Ryan Nece and Cory Redding),3.510,3.100
4,12:08,2,9,DET 30,41,10,Kerry Collins pass complete short left to Bo Scaife for 8 yards (tackle by Ryan Nece),3.100,3.470
4,11:41,3,1,DET 22,41,10,Quinton Ganther up the middle for no gain (tackle by Ryan Nece),3.470,2.140
4,10:39,4,1,DET 22,41,10,"Penalty on Kerry Collins: Delay of Game, 5 yards (no play)",2.140,1.700
4,10:28,4,6,DET 27,44,10,Rob Bironas 45 yard field goal good,1.700,3.000
4,,,,TEN 30,44,10,"Rob Bironas kicks off 70 yards, touchback",0.000,0.280
4,10:23,1,10,DET 20,44,10,Daunte Culpepper pass complete short left to Calvin Johnson for 8 yards (tackle by Chris Carr),0.280,0.810
4,9:50,2,2,DET 28,44,10,Daunte Culpepper pass complete short middle to Shaun McDonald for 1 yard (tackle by David Thornton),0.810,0.230
4,9:12,3,1,DET 29,44,10,Daunte Culpepper pass incomplete short right intended for Casey Fitzsimmons,0.230,-1.440
4,9:05,4,1,DET 29,44,10,"Nick Harris punts 57 yards, returned by Chris Carr for no gain",-1.440,0.280
4,8:56,1,10,TEN 14,44,10,LenDale White up the middle for 5 yards (tackle by Travis Fisher),-0.280,-0.040
4,8:17,2,5,TEN 19,44,10,LenDale White up the middle for 4 yards (tackle by Leigh Bodden),-0.040,-0.320
4,7:37,3,1,TEN 23,44,10,Vince Young pass complete short right to Ahmard Hall for 54 yards (tackle by Leigh Bodden),-0.320,4.040
4,7:01,1,10,DET 23,44,10,LenDale White left end for -2 yards (tackle by Daniel Bullocks),4.040,3.230
4,6:20,2,12,DET 25,44,10,"LenDale White right end for no gain (tackle by Travis Fisher and Dwight Smith). Penalty on David Stewart: Unnecessary Roughness, 15 yards, Penalty on David Stewart: Offensive Holding (Declined)",3.230,0.560
4,5:50,3,27,DET 40,44,10,"Vince Young pass complete deep right to Lavelle Hawkins for 16 yards (tackle by Leigh Bodden). Penalty on Craig Stevens: Offensive Holding, 10 yards (no play)",0.560,-0.760
4,5:20,,,,44,10,Timeout #1 by Tennessee Titans,0.000,-0.760
4,5:20,3,37,,44,10,LenDale White left end for 25 yards (tackle by Ernie Sims and Travis Fisher),-0.760,1.800
4,4:29,4,12,DET 25,47,10,Rob Bironas 43 yard field goal good,1.800,3.000
4,,,,TEN 30,47,10,"Rob Bironas kicks off 70 yards, returned by Aveion Cason for 21 yards (tackle by Quinton Ganther)",0.000,0.340
4,4:29,1,10,DET 21,47,10,Aveion Cason up the middle for no gain (tackle by Tony Brown),0.340,-0.200
4,3:46,2,10,DET 21,47,10,Drew Henson pass complete deep right to Calvin Johnson for 20 yards (tackle by Nick Harper),-0.200,1.660
,,,,,,,"TEN challenged the pass completion ruling, and the play was upheld.",,
4,3:38,1,10,DET 41,47,10,Drew Henson pass incomplete short right intended for Casey Fitzsimmons,1.660,1.120
4,3:34,2,10,DET 41,47,10,"Drew Henson sacked by Dave Ball for -7 yards. Drew Henson fumbles (forced by Dave Ball), recovered by Drew Henson at DET-35",1.120,-0.360
4,2:57,3,16,DET 35,47,10,"Drew Henson sacked by Jacob Ford for -11 yards. Drew Henson fumbles (forced by Jacob Ford), recovered by Jeff Backus at DET-22",-0.360,-1.900
4,2:22,4,29,DET 22,47,10,"Nick Harris punts 53 yards, returned by Chris Carr for 34 yards (tackle by Jordon Dizon)",-1.900,-2.850
4,2:07,1,10,DET 41,47,10,Quinton Ganther left tackle for 1 yard (tackle by Shaun Cody),2.850,2.440
4,2:00,2,9,DET 40,47,10,Quinton Ganther right end for 22 yards (tackle by Andre Fluellen),2.440,4.370
4,1:12,1,10,DET 18,47,10,Vince Young kneels for -1 yards,4.370,3.670
4,0:39,2,11,DET 19,47,10,Vince Young kneels for -1 yards,3.670,2.870
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
