Unnamed: 0,TEN,DET
First Downs,19,6
Rush-Yds-TDs,46-292-4,14-23-0
Cmp-Att-Yd-TD-INT,12-19-181-0-0,14-28-154-1-1
Sacked-Yards,1-17,4-23
Net Pass Yards,164,131
Total Yards,456,154
Fumbles-Lost,1-1,4-2
Turnovers,1,3
Penalties-Yards,9-65,5-38
Third Down Conv.,8-16,0-11
Fourth Down Conv.,0-0,0-0
Time of Possession,36:54,23:06
