Quarter,Time,Down,ToGo,Location,NYJ,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,NYJ 35,0,0,"Chandler Catanzaro kicks off 65 yards, returned by Tommylee Lewis for 24 yards (tackle by Marcus Maye)",0.000,-0.540
1,14:54,1,10,NOR 24,0,0,Drew Brees pass complete short right to Michael Thomas for 8 yards (tackle by Morris Claiborne and Jordan Jenkins),0.540,1.080
1,14:19,2,2,NOR 32,0,0,Alvin Kamara right guard for 4 yards (tackle by Jamal Adams),1.080,1.330
1,13:42,1,10,NOR 36,0,0,Drew Brees pass complete short right to Mark Ingram for 54 yards (tackle by Darron Lee),1.330,4.910
1,13:02,1,10,NYJ 10,0,0,Mark Ingram right guard for no gain (tackle by Mike Pennel),4.910,4.190
1,12:24,2,10,NYJ 10,0,0,Drew Brees pass complete short middle to Zach Line for 5 yards (tackle by Darron Lee),4.190,4.260
1,11:48,3,5,NYJ 5,0,0,Drew Brees pass incomplete short left intended for Michael Thomas,4.260,3.010
1,11:41,4,5,NYJ 5,0,3,Wil Lutz 23 yard field goal good,3.010,3.000
1,11:36,,,NOR 35,0,3,"Wil Lutz kicks off 69 yards, returned by Jojo Natson for 24 yards (tackle by Marcus Williams)",0.000,-0.280
1,11:30,1,10,NYJ 20,0,3,Bilal Powell left end for 4 yards (tackle by Marshon Lattimore),0.280,0.270
1,10:58,2,6,NYJ 24,0,3,Bilal Powell left tackle for -2 yards (tackle by Tyeler Davison and Craig Robertson),0.270,-0.690
1,10:15,3,8,NYJ 22,0,3,Bryce Petty pass complete short right to Austin Seferian-Jenkins for 9 yards (tackle by Kenny Vaccaro),-0.690,1.000
1,9:35,1,10,NYJ 31,0,3,Bryce Petty pass incomplete short right intended for ArDarius Stewart,1.000,0.460
1,9:35,2,10,NYJ 31,0,3,"Penalty on NYJ: Illegal Substitution, 5 yards (no play)",0.460,-0.220
1,9:30,2,15,NYJ 26,0,3,Matt Forte left guard for 6 yards (tackle by Manti Te'o and Marcus Williams),-0.220,-0.100
1,8:48,3,9,NYJ 32,0,3,Bryce Petty pass incomplete short right intended for Robby Anderson (defended by Marshon Lattimore),-0.100,-1.240
1,8:43,4,9,NYJ 32,0,3,"Lac Edwards punts 56 yards, returned by Tommylee Lewis for 6 yards (tackle by Josh Martin)",-1.240,-0.040
1,8:32,1,10,NOR 18,0,3,"Mark Ingram right guard for 2 yards (tackle by Leonard Williams). Penalty on Jordan Jenkins: Illegal Use of Hands, 5 yards",0.040,0.610
1,8:12,1,10,NOR 25,0,3,Drew Brees pass complete short left to Brandon Coleman for 8 yards (tackle by Buster Skrine),0.610,1.140
1,7:31,2,2,NOR 33,0,3,Alvin Kamara right guard for 1 yard (tackle by Leonard Williams),1.140,0.560
1,6:58,3,1,NOR 34,0,3,Mark Ingram right tackle for 2 yards (tackle by Marcus Maye),0.560,1.330
1,6:26,1,10,NOR 36,0,3,Drew Brees pass complete short left to Mark Ingram for 9 yards (tackle by Buster Skrine),1.330,2.010
1,5:51,2,1,NOR 45,0,3,Zach Line left guard for 3 yards (tackle by Demario Davis),2.010,2.130
1,5:18,1,10,NOR 48,0,3,Drew Brees pass complete short left to Alvin Kamara for 7 yards (tackle by Josh Martin),2.130,2.530
1,4:49,2,3,NYJ 45,0,3,"Drew Brees pass complete short right to Mark Ingram for 15 yards (tackle by Xavier Cooper). Penalty on David Bass: Face Mask (15 Yards), 15 yards",2.530,4.580
1,4:30,1,10,NYJ 15,0,3,Drew Brees pass incomplete short right intended for Willie Snead,4.580,3.950
1,4:27,2,10,NYJ 15,0,3,Tommylee Lewis left end for 6 yards (tackle by Darron Lee),3.950,4.220
1,3:48,3,4,NYJ 9,0,3,Drew Brees pass complete short right to Mark Ingram for 2 yards (tackle by Darron Lee),4.220,0.000
1,3:19,,,,,,Timeout #1 by New Orleans Saints,0.000,-3.000
1,3:19,4,2,NYJ 7,0,3,Drew Brees pass complete short left to Michael Thomas for 6 yards (tackle by Morris Claiborne),3.000,6.970
1,3:11,1,1,NYJ 1,0,9,"Mark Ingram left end for 1 yard, touchdown",6.970,7.000
1,3:07,,,NYJ 15,0,10,Wil Lutz kicks extra point good,0.000,0.000
1,3:07,,,NOR 35,0,10,"Wil Lutz kicks off 65 yards, touchback",0.000,-0.610
1,3:07,1,10,NYJ 25,0,10,Bilal Powell left end for 10 yards (tackle by Ken Crawley),0.610,1.270
1,2:33,1,10,NYJ 35,0,10,Bryce Petty pass complete short left to Jermaine Kearse for 8 yards (tackle by Craig Robertson),1.270,1.800
1,1:51,2,2,NYJ 43,0,10,Elijah McGuire left tackle for 6 yards (tackle by Hau'oli Kikaha),1.800,2.190
1,1:11,1,10,NYJ 49,0,10,Bryce Petty pass incomplete short right intended for Matt Forte,2.190,1.650
1,1:07,2,10,NYJ 49,0,10,Matt Forte left guard for 1 yard (tackle by Vonn Bell),1.650,1.090
1,0:28,3,9,,0,10,"Penalty on Sheldon Rankins: Encroachment, 5 yards (no play)",1.090,1.750
1,0:05,3,4,NOR 45,0,10,"Bryce Petty pass incomplete short left intended for Austin Seferian-Jenkins. Penalty on Kenny Vaccaro: Defensive Pass Interference, 15 yards (no play)",1.750,3.580
Quarter,Time,Down,ToGo,Location,NYJ,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NOR 30,0,10,Elijah McGuire right end for 7 yards (tackle by Manti Te'o),3.580,3.980
2,14:23,2,3,NOR 23,0,10,Bilal Powell right tackle for 6 yards (tackle by Marcus Williams),3.980,4.440
2,13:42,1,10,NOR 17,0,10,Bilal Powell left tackle for 2 yards (tackle by Hau'oli Kikaha and Sheldon Rankins),4.440,4.150
2,13:04,2,8,NOR 15,0,10,Bilal Powell left end for 11 yards (tackle by Kenny Vaccaro and John Hughes),4.150,6.280
2,12:22,1,4,NOR 4,0,10,Matt Forte left guard for 3 yards (tackle by Sheldon Rankins),6.280,5.910
2,11:44,2,1,NOR 1,0,10,Matt Forte left tackle for -1 yards (tackle by Kenny Vaccaro),5.910,4.950
2,11:04,3,2,NOR 2,6,10,"Bilal Powell left end for 2 yards, touchdown",4.950,7.000
2,10:58,,,NOR 15,7,10,Chandler Catanzaro kicks extra point good,0.000,0.000
2,10:58,,,NYJ 35,7,10,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.610
2,10:58,1,10,NOR 25,7,10,Drew Brees pass complete short right to Michael Thomas for 16 yards (tackle by Marcus Maye),0.610,1.660
2,10:28,1,10,NOR 41,7,10,Alvin Kamara left guard for 12 yards (tackle by Buster Skrine),1.660,2.460
2,9:51,1,10,NYJ 47,7,10,Mark Ingram left guard for 3 yards (tackle by Demario Davis),2.460,2.320
2,9:10,2,7,NYJ 44,7,10,"Alvin Kamara left end for 5 yards (tackle by Jamal Adams). Penalty on Michael Thomas: Offensive Holding, 10 yards (no play)",2.320,0.970
2,8:46,2,17,NOR 46,7,10,Drew Brees pass complete short right to Alvin Kamara for 29 yards (tackle by Morris Claiborne),0.970,3.910
2,8:13,1,10,NYJ 25,7,10,Alvin Kamara left tackle for 3 yards (tackle by Demario Davis and Xavier Cooper),3.910,3.770
2,7:37,2,7,NYJ 22,7,10,Drew Brees pass complete short middle to Michael Thomas for 8 yards (tackle by Josh Martin),3.770,4.650
2,6:54,1,10,NYJ 14,7,10,Mark Ingram left guard for 4 yards (tackle by Steve McLendon),4.650,4.710
2,6:17,2,6,NYJ 10,7,16,"Drew Brees pass complete short middle to Alvin Kamara for 10 yards, touchdown",4.710,7.000
2,6:12,,,NYJ 15,7,17,Wil Lutz kicks extra point good,0.000,0.000
2,6:12,,,NOR 35,7,17,"Wil Lutz kicks off 71 yards, returned by Jojo Natson for 24 yards (tackle by Chris Banjo)",0.000,-0.040
2,6:12,1,10,NYJ 18,7,17,"Penalty on NYJ: Offensive 12 On-field, 5 yards (no play)",0.040,-0.450
2,6:08,1,15,NYJ 13,7,17,Elijah McGuire left end for 1 yard (tackle by Cameron Jordan),-0.450,-1.040
2,5:26,2,14,NYJ 14,7,17,Bryce Petty pass complete short right to Robby Anderson for 6 yards (tackle by Michael Mauti),-1.040,-0.910
2,4:39,3,8,NYJ 20,7,17,Bryce Petty pass incomplete deep left intended for Robby Anderson,-0.910,-2.030
2,4:34,4,8,NYJ 20,7,17,"Lac Edwards punts 36 yards, returned by Tommylee Lewis for 5 yards (tackle by Rontez Miles)",-2.030,-2.190
