0,1
Game Info,Game Info
Won Toss,Steelers (deferred)
Roof,outdoors
Surface,grass
Duration,3:08
Attendance,62030
Weather,"69 degrees, wind 2 mph"
Vegas Line,Pittsburgh Steelers -3.0
Over/Under,51.0 (under)
