Unnamed: 0,BAL,PIT
First Downs,24,14
Rush-Yds-TDs,30-96-0,11-19-0
Cmp-Att-Yd-TD-INT,28-42-363-2-0,27-47-274-1-1
Sacked-Yards,2-8,1-9
Net Pass Yards,355,265
Total Yards,451,284
Fumbles-Lost,1-1,1-1
Turnovers,1,2
Penalties-Yards,7-50,5-40
Third Down Conv.,8-17,2-12
Fourth Down Conv.,1-1,0-1
Time of Possession,35:03,24:57
