Quarter,Time,Down,ToGo,Location,DEN,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Brandon McManus kicks off 57 yards, returned by Tim Hightower for 31 yards (tackle by Brandon McManus)",0.000,-1.530
1,14:54,1,10,NOR 39,0,0,Drew Brees pass complete short left to Coby Fleener for 8 yards (tackle by Sylvester Williams),1.530,2.070
1,14:25,2,2,NOR 47,0,0,Mark Ingram right guard for 5 yards (tackle by Jared Crick),2.070,2.390
1,13:55,1,10,DEN 48,0,0,Mark Ingram right guard for 4 yards (tackle by Todd Davis),2.390,2.390
1,13:16,2,6,DEN 44,0,0,Drew Brees pass incomplete short right intended for Willie Snead (defended by Bradley Roby),2.390,1.690
1,13:11,3,6,DEN 44,0,0,"Penalty on Andrus Peat: False Start, 5 yards (no play)",1.690,1.030
1,13:11,3,11,DEN 49,0,0,Drew Brees pass incomplete short left intended for Willie Snead (defended by Chris Harris),1.030,0.000
1,13:06,4,11,DEN 49,0,0,"Thomas Morstead punts 34 yards, fair catch by Jordan Norwood",0.000,0.220
1,13:00,1,10,DEN 15,0,0,Devontae Booker left tackle for 6 yards (tackle by Craig Robertson and Dannell Ellerbe),-0.220,0.210
1,12:25,2,4,DEN 21,0,0,Trevor Siemian pass complete short left to Demaryius Thomas for 14 yards (tackle by Vonn Bell),0.210,1.270
1,11:58,1,10,DEN 35,0,0,Trevor Siemian pass incomplete short right intended for A.J. Derby (defended by Kenny Vaccaro),1.270,0.720
1,11:51,2,10,DEN 35,0,0,Devontae Booker left guard for 3 yards (tackle by Tyeler Davison),0.720,0.430
1,11:14,3,7,DEN 38,0,0,Trevor Siemian pass complete short right to A.J. Derby for 10 yards (tackle by Vonn Bell),0.430,2.130
1,10:39,1,10,DEN 48,0,0,Kapri Bibbs right end for 2 yards (tackle by Cameron Jordan and Craig Robertson),2.130,1.850
1,10:02,2,8,,0,0,Trevor Siemian pass complete deep right to Jordan Taylor for 18 yards (tackle by Vonn Bell),1.850,3.450
1,9:29,1,10,NOR 32,0,0,Devontae Booker right tackle for 2 yards (tackle by Paul Kruger),3.450,0.000
1,8:43,,,,0,0,Timeout #1 by Denver Broncos,0.000,-3.170
1,8:43,2,8,NOR 30,0,0,Trevor Siemian pass complete short right to Demaryius Thomas for 7 yards (tackle by Delvin Breaux),3.170,3.400
,,,,,,,"NOR challenged the first down ruling, and the original play was overturned.",,
1,8:00,3,1,NOR 23,0,0,Trevor Siemian left guard for 3 yards (tackle by Tyeler Davison),3.400,4.240
1,7:20,1,10,NOR 20,0,0,Trevor Siemian sacked by Nick Fairley for -5 yards,4.240,3.020
1,6:37,2,15,NOR 25,0,0,Devontae Booker right end for 11 yards (tackle by Sterling Moore),3.020,3.890
1,5:51,3,4,NOR 14,6,0,"Trevor Siemian pass complete short right to Jordan Taylor for 14 yards, touchdown",3.890,7.000
,,,,,,,"DEN challenged the incomplete pass ruling, and the original play was overturned.",,
1,5:45,,,NOR 15,7,0,Brandon McManus kicks extra point good,0.000,0.000
1,5:45,,,DEN 35,7,0,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
1,5:45,1,10,NOR 25,7,0,Tim Hightower left guard for 3 yards (tackle by Todd Davis),0.610,0.470
1,5:13,2,7,NOR 28,7,0,Tim Hightower left guard for 2 yards (tackle by Jared Crick and Billy Winn),0.470,0.040
1,4:41,3,5,NOR 30,7,0,Drew Brees pass complete deep left to Brandon Coleman for 19 yards (tackle by Justin Simmons and T.J. Ward),0.040,2.190
1,4:04,1,10,NOR 49,7,0,Drew Brees pass complete deep left to Coby Fleener for 18 yards (tackle by Von Miller),2.190,3.380
1,3:33,1,10,DEN 33,7,0,Tim Hightower right guard for 3 yards (tackle by Brandon Marshall),3.380,3.240
1,3:03,2,7,DEN 30,7,0,Mark Ingram right guard for 6 yards (tackle by Brandon Marshall),3.240,3.340
1,2:34,3,1,DEN 24,7,0,Drew Brees pass incomplete deep right intended for Travaris Cadet is intercepted by Darian Stewart at DEN-7,3.340,0.380
1,2:28,1,10,DEN 7,7,0,Devontae Booker right tackle for 9 yards (tackle by Cameron Jordan),-0.380,-0.020
1,1:58,2,1,DEN 16,7,0,Devontae Booker right tackle for 5 yards (tackle by Kenny Vaccaro),-0.020,0.340
1,1:27,1,10,DEN 21,7,0,Devontae Booker right end for 1 yard (tackle by Cameron Jordan),0.340,-0.070
1,0:54,2,9,DEN 22,7,0,Trevor Siemian pass incomplete,-0.070,-0.760
1,0:46,3,9,DEN 22,7,0,Trevor Siemian sacked by Cameron Jordan for -4 yards,-0.760,-2.240
1,0:07,4,13,DEN 18,7,0,"Riley Dixon punts 45 yards, returned by Brandin Cooks for 2 yards (tackle by Justin Simmons)",-2.240,-1.530
Quarter,Time,Down,ToGo,Location,DEN,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NOR 39,7,0,Drew Brees pass incomplete short right intended for Michael Thomas is intercepted by Darian Stewart at 50 and returned for 11 yards,1.530,-2.980
2,14:53,1,10,NOR 39,7,0,Trevor Siemian pass incomplete deep left intended for Demaryius Thomas,2.980,2.440
2,14:47,2,10,NOR 39,7,0,Devontae Booker left guard for 1 yard (tackle by Sheldon Rankins),2.440,1.880
2,14:12,3,9,NOR 38,7,0,Trevor Siemian pass complete short left to Emmanuel Sanders for 6 yards (tackle by Kenny Vaccaro),1.880,1.290
2,13:48,4,3,NOR 32,10,0,Brandon McManus 50 yard field goal good,1.290,3.000
