Unnamed: 0,DEN,NOR
First Downs,24,19
Rush-Yds-TDs,37-103-0,21-80-0
Cmp-Att-Yd-TD-INT,25-40-258-2-2,21-29-303-3-2
Sacked-Yards,6-24,1-10
Net Pass Yards,234,293
Total Yards,337,373
Fumbles-Lost,0-0,2-2
Turnovers,2,4
Penalties-Yards,1-10,3-25
Third Down Conv.,11-19,4-9
Fourth Down Conv.,0-0,0-0
Time of Possession,39:22,20:38
