Quarter,Time,Tm,Detail,NWE,MIA
1.0,10:08,Patriots,Stephen Gostkowski 30 yard field goal,3,0
,5:23,Dolphins,Greg Camarillo 3 yard pass from Chad Pennington (Dan Carpenter kick),3,7
2.0,14:54,Patriots,Matt Cassel 8 yard rush (Stephen Gostkowski kick),10,7
,5:05,Dolphins,Chad Pennington 7 yard rush (Dan Carpenter kick),10,14
,2:14,Patriots,Randy Moss 25 yard pass from Matt Cassel (Stephen Gostkowski kick),17,14
3.0,11:28,Dolphins,Casey Cramer 2 yard pass from Chad Pennington (Dan Carpenter kick),17,21
,6:12,Patriots,Randy Moss 8 yard pass from Matt Cassel (Stephen Gostkowski kick),24,21
,0:00,Patriots,Kevin Faulk 21 yard rush (Stephen Gostkowski kick),31,21
4.0,13:11,Dolphins,Ricky Williams 13 yard pass from Chad Pennington (Dan Carpenter kick),31,28
,8:52,Patriots,Randy Moss 29 yard pass from Matt Cassel (Stephen Gostkowski kick),38,28
,7:08,Patriots,Stephen Gostkowski 30 yard field goal,41,28
,0:37,Patriots,BenJarvus Green-Ellis 1 yard rush (Stephen Gostkowski kick),48,28
