Quarter,Time,Down,ToGo,Location,BAL,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,TEN 30,0,0,"Rob Bironas kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,BAL 20,0,0,Le'Ron McClain up the middle for 6 yards (tackle by Chris Hope and Cortland Finnegan),0.280,0.540
1,14:24,2,4,BAL 26,0,0,Le'Ron McClain right tackle for -4 yards (tackle by Tony Brown),0.540,-0.690
1,13:46,3,8,BAL 22,0,0,Willis McGahee up the middle for 3 yards (tackle by Albert Haynesworth),-0.690,-1.700
1,13:15,4,5,BAL 25,0,0,"Sam Koch punts 46 yards, returned by Chris Carr for 8 yards (tackle by Brendon Ayanbadejo). Penalty on William Hayes: Unnecessary Roughness, 15 yards",-1.700,-0.410
1,13:02,1,10,TEN 22,0,0,Kerry Collins pass complete short left to Justin McCareins for 17 yards (tackle by Jim Leonhard),0.410,1.530
1,12:36,1,10,TEN 39,0,0,Chris Johnson left guard for -1 yards (tackle by Haloti Ngata),1.530,0.850
1,11:54,2,11,TEN 38,0,0,Chris Johnson up the middle for 1 yard (tackle by Justin Bannan and Samari Rolle),0.850,0.300
1,11:07,3,10,TEN 39,0,0,"Penalty on Kerry Collins: Delay of Game, 5 yards (no play)",0.300,-0.360
1,10:47,3,15,TEN 34,0,0,Kerry Collins pass incomplete deep right intended for Justin Gage,-0.360,-1.110
1,10:41,4,15,TEN 34,0,0,"Craig Hentrich punts 66 yards, touchback",-1.110,-0.280
1,10:32,1,10,BAL 20,0,0,Joe Flacco up the middle for 2 yards (tackle by Jevon Kearse and Tony Brown),0.280,0.000
1,9:57,2,8,BAL 22,0,0,Le'Ron McClain right tackle for -1 yards (tackle by Keith Bulluck),0.000,-0.820
1,9:14,3,9,BAL 21,0,0,"Joe Flacco pass complete short left to Marcus Smith for 15 yards (tackle by Chris Hope). Penalty on Derrick Mason: Illegal Shift, 5 yards (no play)",-0.820,-1.690
1,8:53,3,14,BAL 16,0,0,Willis McGahee up the middle for 4 yards (tackle by Jason Jones and Keith Bulluck),-1.690,-2.030
1,8:18,4,10,BAL 20,0,0,"Sam Koch punts 45 yards, fair catch by Chris Carr",-2.030,-1.270
1,8:09,1,10,TEN 35,0,0,Kerry Collins pass complete short left to Chris Johnson for 28 yards (tackle by Jim Leonhard),1.270,3.120
1,7:27,1,10,BAL 37,0,0,Kerry Collins pass complete short right to Alge Crumpler for 2 yards (tackle by Jarret Johnson),3.120,2.840
1,6:53,2,8,BAL 35,0,0,Chris Johnson right guard for 2 yards (tackle by Ray Lewis and Bart Scott),2.840,2.410
1,6:14,3,6,BAL 33,0,0,"Kerry Collins pass incomplete deep right intended for Justin Gage. Penalty on Samari Rolle: Illegal Contact, 5 yards (no play)",2.410,3.710
1,6:08,1,10,BAL 28,0,0,LenDale White right tackle for no gain (tackle by Terrell Suggs),3.710,3.170
1,5:28,2,10,BAL 28,0,0,Kerry Collins pass complete deep right to Justin Gage for 20 yards (tackle by Fabian Washington),3.170,5.370
1,4:45,1,8,BAL 8,0,6,"Chris Johnson right end for 8 yards, touchdown",5.370,7.000
1,,,,,0,6,"Penalty on Frank Walker: Defensive Offside, 5 yards",0.000,0.000
1,,,,BAL 2,0,7,Rob Bironas kicks extra point good,0.000,0.000
1,,,,TEN 35,0,7,"Rob Bironas kicks off 65 yards, touchback",0.000,0.280
1,4:38,1,10,BAL 20,0,7,Le'Ron McClain up the middle for 8 yards (tackle by Michael Griffin and Jason Jones),0.280,0.810
1,4:03,2,2,BAL 28,0,7,Lorenzo Neal up the middle for 1 yard (tackle by Jacob Ford),0.810,0.230
1,3:22,3,1,BAL 29,0,7,Joe Flacco up the middle for 3 yards (tackle by Kevin Vickerson),0.230,1.070
1,2:41,1,10,BAL 32,0,7,"Joe Flacco pass complete short right to Derrick Mason for 8 yards (tackle by Nick Harper). Penalty on Jason Jones: Roughing the Passer, 15 yards",1.070,2.590
1,2:08,1,10,TEN 45,0,7,"Le'Ron McClain left tackle for 2 yards (tackle by Chris Hope). Penalty on Derrick Mason: Offensive Holding, 10 yards",2.590,2.060
1,1:39,1,18,BAL 47,0,7,Joe Flacco pass incomplete deep right intended for Mark Clayton,2.060,0.960
1,1:34,2,18,BAL 47,0,7,Joe Flacco pass incomplete short right intended for Le'Ron McClain,0.960,0.300
1,1:28,,,,0,7,Timeout #1 by Baltimore Ravens,0.000,0.300
1,1:28,3,18,BAL 47,0,7,"Penalty on Kyle Vanden Bosch: Defensive Offside, 5 yards (no play)",0.300,0.960
1,1:28,3,13,TEN 48,6,7,"Joe Flacco pass complete deep right to Derrick Mason for 48 yards, touchdown",0.960,7.000
