Quarter,Time,Tm,Detail,BAL,TEN
1.0,4:38,Titans,Chris Johnson 8 yard rush (Rob Bironas kick),0,7
,1:20,Ravens,Derrick Mason 48 yard pass from Joe Flacco (Matt Stover kick),7,7
4.0,14:10,Ravens,Matt Stover 21 yard field goal,10,7
,4:23,Titans,Rob Bironas 27 yard field goal,10,10
,0:53,Ravens,Matt Stover 43 yard field goal,13,10
