Unnamed: 0,BAL,TEN
First Downs,9,21
Rush-Yds-TDs,30-50-0,28-116-1
Cmp-Att-Yd-TD-INT,11-22-161-1-0,26-42-281-0-1
Sacked-Yards,0-0,1-6
Net Pass Yards,161,275
Total Yards,211,391
Fumbles-Lost,0-0,5-2
Turnovers,0,3
Penalties-Yards,8-40,12-89
Third Down Conv.,3-13,4-14
Fourth Down Conv.,0-0,0-2
Time of Possession,25:53,34:07
