Quarter,Time,Down,ToGo,Location,PHI,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,WAS 30,0,0,"Shaun Suisham kicks off 63 yards, returned by J.R. Reed for 7 yards, lateral to Hank Baskett for 4 yards (tackle by Leigh Torrence)",0.000,0.040
1,14:54,1,10,PHI 18,0,0,Donovan McNabb pass complete short middle to Kevin Curtis for 7 yards (tackle by Fred Smoot),0.040,0.550
1,14:22,2,3,PHI 25,0,0,Brian Westbrook left end for 5 yards (tackle by Phillip Daniels),0.550,0.940
1,13:42,1,10,PHI 30,0,0,"Brian Westbrook right tackle for 5 yards (tackle by Rocky McIntosh). Penalty on Jamaal Jackson: Offensive Holding, 10 yards (no play)",0.940,0.280
1,13:18,1,20,PHI 20,0,0,Donovan McNabb pass complete short left to Hank Baskett for 7 yards (tackle by Fred Smoot),0.280,-0.010
1,12:52,2,13,PHI 27,0,0,Brian Westbrook right tackle for 2 yards (tackle by London Fletcher),-0.010,-0.430
1,12:13,3,11,PHI 29,0,0,"Donovan McNabb pass incomplete short left intended for Thomas Tapeh. Penalty on Fred Smoot: Illegal Contact, 5 yards (no play)",-0.430,1.200
1,12:09,1,10,PHI 34,0,0,"Donovan McNabb pass incomplete short left intended for Brian Westbrook (defended by London Fletcher). Penalty on London Fletcher: Defensive Pass Interference, 12 yards (no play)",1.200,1.990
1,12:03,1,10,PHI 46,0,0,Donovan McNabb pass complete short middle to Jason Avant for 8 yards (tackle by London Fletcher),1.990,2.530
1,11:28,2,2,WAS 46,0,0,Donovan McNabb pass incomplete deep left intended for Kevin Curtis,2.530,1.820
1,11:19,3,2,WAS 46,0,0,Brian Westbrook right end for 12 yards (tackle by Demetric Evans),1.820,3.310
1,10:43,1,10,WAS 34,0,0,Donovan McNabb pass complete short left to Hank Baskett for 4 yards (tackle by Fred Smoot),3.310,3.310
1,10:05,2,6,WAS 30,0,0,Brian Westbrook left tackle for 9 yards (tackle by Demetric Evans),3.310,4.170
1,9:27,1,10,WAS 21,0,0,Donovan McNabb pass complete short middle to Brian Westbrook for 12 yards (tackle by Rocky McIntosh),4.170,5.140
1,9:27,1,9,WAS 9,0,0,"Penalty on Kedric Golston: Neutral Zone Infraction, 5 yards (no play)",5.140,6.280
1,8:21,1,4,WAS 4,6,0,"Donovan McNabb pass complete short middle to Brian Westbrook for 4 yards, touchdown",6.280,7.000
1,,,,WAS 2,7,0,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,7,0,"David Akers kicks off 65 yards, returned by Rock Cartwright for 20 yards (tackle by J.R. Reed)",0.000,0.610
1,8:12,1,10,WAS 25,7,0,Clinton Portis left end for 5 yards (tackle by Trent Cole),0.610,0.740
1,7:33,2,5,WAS 30,7,0,Clinton Portis left guard for 6 yards (tackle by Brian Dawkins and Trent Cole),0.740,1.330
1,6:55,1,10,WAS 36,7,0,Jason Campbell pass complete short right to Antwaan Randle El for 10 yards (tackle by Brian Dawkins),1.330,1.990
1,6:13,1,10,WAS 46,7,0,Clinton Portis up the middle for no gain (tackle by Chris Gocong),1.990,1.450
1,5:36,2,10,WAS 46,7,0,Jason Campbell pass incomplete deep right intended for Keenan McCardell,1.450,0.760
1,5:30,3,10,WAS 46,7,0,Jason Campbell left end for 7 yards (tackle by Takeo Spikes),0.760,0.130
1,4:51,4,3,PHI 47,7,0,"Derrick Frost punts 33 yards, fair catch by Reno Mahe",0.130,0.280
1,4:43,1,10,PHI 14,7,0,Brian Westbrook right end for 5 yards (tackle by Phillip Daniels),-0.280,-0.040
1,4:03,2,5,PHI 19,7,0,Donovan McNabb up the middle for 9 yards (tackle by London Fletcher),-0.040,0.810
1,3:19,1,10,PHI 28,7,0,Brian Westbrook right end for no gain (tackle by Andre Carter and Cornelius Griffin),0.810,0.260
1,2:37,2,10,PHI 28,7,0,"Donovan McNabb pass complete short right to L.J. Smith for 8 yards (tackle by Demetric Evans). L.J. Smith fumbles (forced by Demetric Evans), recovered by Rocky McIntosh at PHI-36 (tackle by Brian Westbrook)",0.260,-3.250
1,2:27,1,10,PHI 35,7,0,Clinton Portis right guard for 4 yards (tackle by Omar Gaither and Brodrick Bunkley),3.250,3.240
1,1:48,2,6,PHI 31,7,0,Jason Campbell pass complete short middle to Keenan McCardell for 5 yards (tackle by Lito Sheppard),3.240,3.200
1,1:12,3,1,PHI 26,7,0,Clinton Portis left end for 11 yards (tackle by Sheldon Brown and Quintin Mikell),3.200,4.580
1,0:28,1,10,PHI 15,7,0,Clinton Portis right end for 2 yards (tackle by Mike Patterson),4.580,4.280
Quarter,Time,Down,ToGo,Location,PHI,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,PHI 13,7,0,Jason Campbell up the middle for 11 yards (tackle by Omar Gaither),4.280,6.740
2,14:19,1,2,PHI 2,7,0,"Penalty on Todd Yoder: False Start, 5 yards (no play)",6.740,5.600
2,14:01,1,7,PHI 7,7,0,Clinton Portis left end for 3 yards (tackle by Omar Gaither),5.600,5.340
2,13:28,2,4,PHI 4,7,0,Jason Campbell pass incomplete short right intended for Chris Cooley,5.340,4.490
2,13:21,3,4,PHI 4,7,6,"Jason Campbell pass complete short right to James Thrash for 4 yards, touchdown",4.490,7.000
2,,,,PHI 2,7,6,Shaun Suisham kicks extra point no good. Penalty on Demetric Evans: Illegal Formation (Declined),0.000,-1.000
2,,,,WAS 30,7,6,"Shaun Suisham kicks off 54 yards, returned by J.R. Reed for 13 yards (tackle by Rock Cartwright)",0.000,0.870
2,13:09,1,10,PHI 29,7,6,Brian Westbrook right end for 4 yards (tackle by London Fletcher),0.870,0.870
