Unnamed: 0,PHI,WAS
First Downs,22,25
Rush-Yds-TDs,28-139-1,36-158-0
Cmp-Att-Yd-TD-INT,20-28-251-4-0,23-34-215-3-0
Sacked-Yards,2-11,1-12
Net Pass Yards,240,203
Total Yards,379,361
Fumbles-Lost,2-2,3-2
Turnovers,2,2
Penalties-Yards,5-38,11-74
Third Down Conv.,6-10,6-12
Fourth Down Conv.,1-1,0-2
Time of Possession,27:25,32:35
