Quarter,Time,Down,ToGo,Location,CAR,DAL,Detail,EPB,EPA
2,4:12,3,11,DAL 30,10,3,Cam Newton middle for 5 yards (tackle by Tyler Patmon),2.280,1.830
2,3:32,4,6,DAL 25,13,3,Graham Gano 43 yard field goal good,1.830,3.000
2,3:32,,,CAR 35,13,3,"Graham Gano kicks off 65 yards, touchback",0.000,-0.280
2,3:27,1,10,DAL 20,13,3,Darren McFadden middle for -3 yards (tackle by A.J. Klein),0.280,-0.790
2,2:47,2,13,DAL 17,19,3,"Tony Romo pass incomplete short right intended for Terrance Williams is intercepted by Luke Kuechly at DAL-32 and returned for 32 yards, touchdown",-0.790,-7.000
2,2:36,,,DAL 17,20,3,Graham Gano kicks extra point good,0.000,0.000
2,2:36,,,CAR 35,20,3,"Graham Gano kicks off 65 yards, touchback",0.000,-0.280
2,2:36,1,10,DAL 20,20,3,Tony Romo pass incomplete deep middle intended for Jason Witten is intercepted by Luke Kuechly at DAL-46 and returned for 17 yards,0.280,-3.640
2,2:23,1,10,DAL 29,20,3,Cam Newton pass complete short left to Jonathan Stewart for 7 yards (tackle by Tyler Patmon),3.640,4.050
2,2:00,2,3,DAL 22,20,3,Jonathan Stewart left guard for 5 yards (tackle by Sean Lee),4.050,4.440
2,1:16,1,10,DAL 17,20,3,Jonathan Stewart left guard for 3 yards (tackle by Sean Lee and Kyle Wilber),4.440,4.320
2,0:29,2,7,DAL 14,20,3,Cam Newton pass incomplete short middle intended for Greg Olsen,4.320,3.500
2,0:24,3,7,DAL 14,20,3,Cam Newton pass complete short middle to Jerricho Cotchery for 12 yards (tackle by Rolando McClain),3.500,3.500
2,0:16,3,7,DAL 14,20,3,Timeout #1 by Carolina Panthers,3.500,6.740
2,0:16,1,2,DAL 2,20,3,Cam Newton pass incomplete short middle intended for Greg Olsen (defended by Byron Jones),6.740,5.720
2,0:12,2,2,DAL 2,20,3,Cam Newton pass incomplete short left intended for Ed Dickson (defended by Sean Lee),5.720,5.720
2,0:07,2,2,DAL 2,20,3,Timeout #2 by Dallas Cowboys,5.720,4.950
2,0:07,3,2,DAL 2,20,3,Cam Newton pass incomplete short right intended for Devin Funchess (defended by Byron Jones),4.950,3.250
2,0:03,4,2,DAL 2,20,3,"Penalty on Chris Scott: False Start, 5 yards (no play)",3.250,2.970
2,0:03,4,7,DAL 7,23,3,Graham Gano 25 yard field goal good,2.970,3.000
Quarter,Time,Down,ToGo,Location,CAR,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 35,23,3,"Dan Bailey kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,CAR 20,23,3,Jonathan Stewart left guard for 6 yards (tackle by Rolando McClain and Sean Lee),0.280,0.540
3,14:34,2,4,CAR 26,23,3,Jonathan Stewart middle for 3 yards (tackle by Tyrone Crawford and Randy Gregory),0.540,0.230
3,13:52,3,1,CAR 29,23,3,Cam Newton middle for 3 yards (tackle by Tyrone Crawford),0.230,1.070
3,13:15,1,10,CAR 32,23,3,"Cam Newton pass incomplete short right intended for Ted Ginn. Penalty on Trai Turner: Offensive Holding, 10 yards (no play)",1.070,0.410
3,13:08,1,20,CAR 22,23,3,Cam Newton pass incomplete deep left intended for Devin Funchess,0.410,-0.820
3,13:02,2,20,CAR 22,23,3,"Cam Newton for no gain. Cam Newton fumbles, recovered by Cam Newton at CAR-20",-0.820,-1.750
3,12:17,3,22,CAR 20,23,3,Cam Newton sacked by Tyrone Crawford for -18 yards,-1.750,-2.490
3,11:35,4,40,CAR 2,23,3,"Brad Nortman punts 58 yards, returned by Lucky Whitehead for 8 yards (tackle by Teddy Williams)",-2.490,-2.130
3,11:22,1,10,DAL 48,23,3,Darren McFadden right tackle for -3 yards (tackle by Kawann Short),2.130,1.180
3,10:42,2,13,DAL 45,23,3,Tony Romo pass complete short middle to Dez Bryant for 20 yards (tackle by Colin Jones),1.180,3.250
3,10:01,1,10,CAR 35,23,3,Tony Romo pass complete short middle to Dez Bryant for 6 yards (tackle by Josh Norman),3.250,3.510
3,9:19,2,4,CAR 29,23,3,Darren McFadden right end for 1 yard (tackle by Luke Kuechly and Roman Harper),3.510,2.940
3,8:30,3,3,CAR 28,23,3,Tony Romo pass complete short left to Gavin Escobar for -2 yards (tackle by Colin Jones),2.940,1.450
3,7:53,4,5,CAR 30,23,6,Dan Bailey 48 yard field goal good,1.450,3.000
3,7:53,,,DAL 35,23,6,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
3,7:47,1,10,CAR 20,23,6,Jonathan Stewart right tackle for 7 yards (tackle by Nick Hayden and Sean Lee),0.280,0.680
3,7:37,2,3,CAR 27,23,6,Jonathan Stewart right guard for 8 yards (tackle by Randy Gregory),0.680,1.270
3,6:58,1,10,CAR 35,23,6,Jonathan Stewart right end for 6 yards (tackle by Sean Lee),1.270,1.530
3,6:30,2,4,CAR 41,23,6,Mike Tolbert middle for 5 yards (tackle by Sean Lee),1.530,1.990
3,5:49,1,10,CAR 46,23,6,Cam Newton right end for -2 yards (tackle by Rolando McClain),1.990,1.180
3,5:04,2,12,CAR 44,23,6,Cam Newton pass complete short left to Jonathan Stewart for -5 yards (tackle by Rolando McClain),1.180,-0.160
3,4:20,3,17,CAR 39,23,6,Cam Newton pass complete deep right to Jerricho Cotchery for 24 yards (tackle by Jeff Heath),-0.160,3.120
3,3:34,1,10,DAL 37,23,6,Cam Newton pass incomplete short left intended for Mike Tolbert,3.120,2.570
3,3:29,2,10,DAL 37,23,6,Cam Newton right tackle for 7 yards (tackle by Tyrone Crawford),2.570,2.810
3,2:42,3,3,DAL 30,23,6,Cam Newton pass incomplete short right intended for Jerricho Cotchery,2.810,1.480
3,2:36,4,3,DAL 30,23,6,"Graham Gano 48 yard field goal good. Penalty on Byron Jones: Leaping, 15 yards (no play)",1.480,4.580
3,2:31,1,10,DAL 15,23,6,Jonathan Stewart left guard for 5 yards (tackle by Sean Lee and Barry Church),4.580,4.840
3,2:01,2,5,DAL 10,23,6,Jonathan Stewart right end for -5 yards (tackle by Rolando McClain and Demarcus Lawrence),4.840,3.100
3,1:15,3,10,DAL 15,23,6,Cam Newton pass complete short left to Jerricho Cotchery for 11 yards (tackle by J.J. Wilcox and Brandon Carr),3.100,3.100
3,0:25,3,10,DAL 15,23,6,Timeout #1 by Carolina Panthers,3.100,6.280
3,0:25,1,4,DAL 4,29,6,"Cam Newton middle for 4 yards, touchdown",6.280,7.000
3,0:25,,,DAL 4,30,6,Graham Gano kicks extra point good,0.000,0.000
3,0:25,,,CAR 35,30,6,"Graham Gano kicks off 65 yards, touchback",0.000,-0.280
3,0:18,1,10,DAL 20,30,6,Tony Romo pass incomplete short right intended for Darren McFadden,0.280,-0.270
3,0:13,2,10,DAL 20,30,6,Tony Romo sacked by Thomas Davis for -10 yards,-0.270,-2.590
Quarter,Time,Down,ToGo,Location,CAR,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,20,DAL 10,30,6,Matt Cassel pass complete short middle to Darren McFadden for 7 yards (tackle by Mario Addison),-2.590,-2.320
4,14:20,4,13,DAL 17,30,6,"Chris Jones punts 41 yards, out of bounds",-2.320,-1.730
4,14:13,1,10,CAR 42,30,6,Jonathan Stewart right guard for 1 yard (tackle by Rolando McClain and Sean Lee),1.730,1.320
4,13:36,2,9,CAR 43,30,6,"Jonathan Stewart left tackle for 3 yards (tackle by Sean Lee). Penalty on Trai Turner: Offensive Holding, 10 yards (no play)",1.320,-0.030
4,13:11,2,19,CAR 33,30,6,Cam Newton pass complete deep left to Greg Olsen for 31 yards (tackle by Brandon Carr),-0.030,3.180
4,12:34,1,10,DAL 36,30,6,Jonathan Stewart right guard for 2 yards (tackle by Rolando McClain),3.180,2.910
4,11:55,2,8,DAL 34,30,6,Jonathan Stewart left guard for no gain (tackle by Nick Hayden),2.910,2.210
4,11:10,3,8,DAL 34,30,6,Cam Newton pass complete short left to Greg Olsen for 2 yards (tackle by Barry Church),2.210,1.250
4,10:27,4,6,DAL 32,33,6,Graham Gano 50 yard field goal good,1.250,3.000
4,10:27,,,CAR 35,33,6,"Graham Gano kicks off 65 yards, touchback",0.000,-0.280
4,10:23,1,10,DAL 20,33,6,"Penalty on Doug Free: False Start, 5 yards (no play)",0.280,-0.310
4,10:23,1,15,DAL 15,33,6,Matt Cassel pass complete short right to Terrance Williams for 6 yards (tackle by Bene Benwikere),-0.310,-0.130
4,9:57,2,9,DAL 21,33,6,Matt Cassel middle for 5 yards (tackle by Thomas Davis),-0.130,-0.160
4,9:25,3,4,DAL 26,33,6,Matt Cassel pass complete short right to Terrance Williams for 13 yards (tackle by Bene Benwikere),-0.160,1.530
4,8:59,1,10,DAL 39,33,6,Matt Cassel pass incomplete short right intended for Terrance Williams,1.530,0.990
4,8:52,2,10,DAL 39,33,6,Matt Cassel pass complete short right to Darren McFadden for 3 yards (tackle by Luke Kuechly and Thomas Davis),0.990,0.700
4,8:26,3,7,DAL 42,33,6,Matt Cassel pass complete short right to Jason Witten for 14 yards (tackle by Thomas Davis),0.700,2.650
4,7:55,1,10,CAR 44,33,6,Matt Cassel pass incomplete,2.650,2.110
4,7:45,2,10,CAR 44,33,6,Matt Cassel pass complete short right to Terrance Williams for 9 yards (tackle by Thomas Davis),2.110,2.610
4,7:20,3,1,CAR 35,33,6,Darren McFadden right guard for 8 yards (tackle by Roman Harper and Luke Kuechly),2.610,2.610
4,6:46,3,1,CAR 35,33,6,Timeout #2 by Carolina Panthers,2.610,3.780
4,6:46,1,10,CAR 27,33,6,Matt Cassel pass incomplete deep left intended for Dez Bryant,3.780,3.230
4,6:39,2,10,CAR 27,33,6,Matt Cassel pass complete short left to Cole Beasley for 4 yards (tackle by Colin Jones),3.230,3.070
4,6:05,3,6,CAR 23,33,6,Matt Cassel pass complete short middle to Cole Beasley for 8 yards (tackle by Kurt Coleman),3.070,4.580
4,5:32,1,10,CAR 15,33,6,Matt Cassel pass complete short middle to Jason Witten for 6 yards (tackle by Luke Kuechly),4.580,4.580
4,5:04,1,10,CAR 15,33,6,Timeout #3 by Carolina Panthers,4.580,5.030
4,5:04,2,4,CAR 9,33,6,Matt Cassel left tackle for 4 yards (tackle by Kyle Love and Luke Kuechly),5.030,6.060
4,4:32,1,5,CAR 5,33,6,"Matt Cassel pass incomplete short right intended for Dez Bryant. Penalty on Josh Norman: Unsportsmanlike Conduct, 3 yards",6.060,6.740
4,4:27,1,2,CAR 2,33,12,"Matt Cassel pass complete short right to Cole Beasley for 2 yards, touchdown",6.740,7.000
4,4:27,1,,CAR 2,33,14,"Two Point Attempt: Matt Cassel pass complete to Darren McFadden, conversion succeeds",6.740,1.000
4,4:27,,,DAL 35,33,14,"Dan Bailey kicks onside 9 yards, recovered by Thomas Davis and returned for 3 yards. Penalty on Tyler Patmon: Offside on Free Kick, 5 yards",0.000,-3.180
4,4:21,1,10,DAL 36,33,14,Jonathan Stewart left tackle for 5 yards (tackle by J.J. Wilcox),3.180,3.180
4,4:17,1,10,DAL 36,33,14,Timeout #1 by Dallas Cowboys,3.180,3.310
4,4:17,2,5,DAL 31,33,14,Jonathan Stewart left end for 4 yards (tackle by J.J. Wilcox),3.310,3.310
4,4:12,2,5,DAL 31,33,14,Timeout #2 by Dallas Cowboys,3.310,3.140
4,4:12,3,1,DAL 27,33,14,Cam Newton middle for 2 yards (tackle by Nick Hayden),3.140,3.140
4,4:09,3,1,DAL 27,33,14,Timeout #3 by Dallas Cowboys,3.140,3.910
4,4:09,1,10,DAL 25,33,14,Mike Tolbert left end for 4 yards (tackle by Sean Lee),3.910,3.900
4,3:23,2,6,DAL 21,33,14,Jonathan Stewart left tackle for -3 yards (tackle by Rolando McClain),3.900,2.810
4,2:35,3,9,DAL 24,33,14,"Penalty on Cam Newton: Delay of Game, 5 yards (no play)",2.810,2.150
4,2:35,3,14,DAL 29,33,14,Mike Tolbert right guard for 4 yards (tackle by Nick Hayden and David Irving),2.150,1.800
4,2:00,4,10,DAL 25,33,14,"Graham Gano 43 yard field goal no good, blocked by Tyrone Crawford, recovered by Sean Lee and returned for 35 yards",1.800,-2.590
4,1:48,1,10,CAR 45,33,14,Matt Cassel pass complete short right to Jason Witten for 4 yards (tackle by Colin Jones and A.J. Klein),2.590,2.580
4,1:24,2,6,CAR 41,33,14,Matt Cassel pass complete short left to Rod Smith for 6 yards (tackle by A.J. Klein),2.580,3.250
4,1:10,1,10,CAR 35,33,14,Matt Cassel spiked the ball,3.250,2.700
4,1:08,2,10,CAR 35,33,14,Matt Cassel pass incomplete deep right intended for Cole Beasley,2.700,2.010
4,1:02,3,10,CAR 35,33,14,"Matt Cassel left end for 1 yard (tackle by Kony Ealy). Penalty on La'el Collins: Offensive Holding, 10 yards (no play)",2.010,0.700
4,0:55,3,20,CAR 45,33,14,Matt Cassel sacked by Kony Ealy for -10 yards,0.700,0.700
4,0:37,3,20,CAR 45,33,14,Timeout #4 by Carolina Panthers,0.700,-0.390
4,0:37,4,30,DAL 45,33,14,Matt Cassel pass complete short middle to Terrance Williams for 11 yards (tackle by A.J. Klein),-0.390,-1.930
4,0:31,1,10,CAR 45,33,14,Cam Newton kneels for -1 yards,1.930,1.250
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
