Quarter,Time,Tm,Detail,CAR,DAL
1.0,14:01,Panthers,Kurt Coleman 36 yard interception return (Graham Gano kick),7,0
,8:09,Panthers,Graham Gano 49 yard field goal,10,0
,1:22,Cowboys,Dan Bailey 21 yard field goal,10,3
2.0,3:27,Panthers,Graham Gano 43 yard field goal,13,3
,2:36,Panthers,Luke Kuechly 32 yard interception return (Graham Gano kick),20,3
,0:00,Panthers,Graham Gano 25 yard field goal,23,3
3.0,7:47,Cowboys,Dan Bailey 48 yard field goal,23,6
,0:18,Panthers,Cam Newton 4 yard rush (Graham Gano kick),30,6
4.0,10:23,Panthers,Graham Gano 50 yard field goal,33,6
,4:23,Cowboys,Cole Beasley 2 yard pass from Matt Cassel (Darren McFadden pass from Matt Cassel),33,14
