Unnamed: 0,CLE,BAL
First Downs,13,14
Rush-Yds-TDs,16-68-0,35-142-1
Cmp-Att-Yd-TD-INT,23-33-223-2-2,13-25-238-2-1
Sacked-Yards,6-55,1-7
Net Pass Yards,168,231
Total Yards,236,373
Fumbles-Lost,1-0,2-2
Turnovers,2,3
Penalties-Yards,7-50,4-30
Third Down Conv.,0-11,7-15
Fourth Down Conv.,0-1,0-0
Time of Possession,29:48,30:12
