Quarter,Time,Tm,Detail,CLE,BAL
1.0,9:43,Browns,Phil Dawson 51 yard field goal,3,0
,6:39,Ravens,Jamal Lewis 7 yard rush (Matt Stover kick),3,7
2.0,14:14,Ravens,Ovie Mughelli 9 yard pass from Kyle Boller (Matt Stover kick),3,14
,2:39,Ravens,Matt Stover 38 yard field goal,3,17
,0:54,Browns,Joe Jurevicius 3 yard pass from Derek Anderson (Phil Dawson kick),10,17
3.0,6:29,Browns,Braylon Edwards 14 yard pass from Derek Anderson (Phil Dawson kick),17,17
,5:24,Ravens,Demetrius Williams 77 yard pass from Kyle Boller (Matt Stover kick),17,24
4.0,2:53,Ravens,Matt Stover 22 yard field goal,17,27
