Quarter,Time,Tm,Detail,BUF,JAX
1.0,11:17,Bills,Travis Henry 1 yard rush (Rian Lindell kick),7,0
,4:50,Bills,Travis Henry 6 yard rush (Rian Lindell kick),14,0
2.0,9:29,Jaguars,Mark Brunell 1 yard rush (Seth Marler kick),14,7
,1:37,Bills,Bobby Shaw 54 yard pass from Drew Bledsoe (Rian Lindell kick),21,7
3.0,12:54,Jaguars,Seth Marler 44 yard field goal,21,10
,8:03,Bills,Eric Moulds 36 yard pass from Drew Bledsoe (Rian Lindell kick),28,10
,0:59,Bills,Travis Henry 4 yard rush (Rian Lindell kick),35,10
4.0,5:11,Bills,Rian Lindell 27 yard field goal,38,10
,1:53,Jaguars,George Wrighster 5 yard pass from Byron Leftwich (Seth Marler kick),38,17
