Unnamed: 0,BUF,JAX
First Downs,20,20
Rush-Yds-TDs,32-43-3,22-95-1
Cmp-Att-Yd-TD-INT,20-27-328-2-0,26-40-214-1-0
Sacked-Yards,0-0,3-22
Net Pass Yards,328,192
Total Yards,371,287
Fumbles-Lost,2-0,0-0
Turnovers,0,0
Penalties-Yards,6-55,8-97
Third Down Conv.,8-14,4-14
Fourth Down Conv.,1-2,3-4
Time of Possession,31:10,28:50
