Unnamed: 0,CIN,CLE
First Downs,20,16
Rush-Yds-TDs,20-76-0,34-110-1
Cmp-Att-Yd-TD-INT,31-46-381-3-3,17-29-231-2-1
Sacked-Yards,2-19,2-13
Net Pass Yards,362,218
Total Yards,438,328
Fumbles-Lost,2-1,2-0
Turnovers,4,1
Penalties-Yards,7-50,5-35
Third Down Conv.,5-14,7-17
Fourth Down Conv.,0-0,0-0
Time of Possession,30:03,29:57
