Quarter,Time,Down,ToGo,Location,WAS,LVR,Detail,EPB,EPA
1,5:40,1,10,WAS 26,7,0,Taylor Heinicke pass complete short left to Terry McLaurin for 4 yards (tackle by Cory Littleton and Brandon Facyson),,
1,5:01,2,6,WAS 30,7,0,Jaret Patterson up the middle for 2 yards (tackle by Denzel Perryman),,
1,4:22,3,4,WAS 32,7,0,"Penalty on Brandon Scherff: False Start, 5 yards (accepted) (no play)",,
1,4:00,3,9,WAS 27,7,0,Taylor Heinicke pass complete short middle to Wendell Smallwood for 7 yards (tackle by Denzel Perryman),,
1,3:19,4,2,WAS 34,7,0,"Tress Way punts 54 yards, returned by Hunter Renfrow for 6 yards (tackle by Deshazor Everett)",,
1,3:06,1,10,LVR 18,7,0,"Derek Carr pass complete to Bryan Edwards for no gain WAS challenged the pass completion ruling, and the original play was overturned. Derek Carr pass incomplete deep middle intended for Bryan Edwards (defended by Bobby McCain)",,
1,3:02,2,10,LVR 18,7,0,Josh Jacobs right tackle for 7 yards (tackle by Khaleke Hudson),,
1,2:27,3,3,LVR 25,7,0,"Derek Carr pass incomplete short left. Penalty on Alex Leatherwood: Offensive Holding, 10 yards (declined)",,
1,2:19,4,3,LVR 25,7,0,"AJ Cole punts 67 yards, returned by DeAndre Carter for 16 yards (tackle by Keisean Nixon)",,
1,2:07,1,10,WAS 24,7,0,Antonio Gibson up the middle for 6 yards (tackle by Cory Littleton and Nate Hobbs),,
1,1:28,2,4,WAS 30,7,0,Antonio Gibson right end for 2 yards (tackle by Maxx Crosby and Solomon Thomas),,
1,0:46,3,2,WAS 32,7,0,Taylor Heinicke pass complete short left to DeAndre Carter for 6 yards (tackle by Denzel Perryman),,
1,0:20,1,10,WAS 38,7,0,Taylor Heinicke pass incomplete short right intended for John Bates,,
1,0:14,2,10,WAS 38,7,0,Antonio Gibson up the middle for 2 yards (tackle by Denzel Perryman),,
Quarter,Time,Down,ToGo,Location,WAS,LVR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,8,WAS 40,7,0,Taylor Heinicke scrambles right end for 4 yards (tackle by Maxx Crosby),,
2,14:12,4,4,WAS 44,7,0,Tress Way punts 47 yards out of bounds,,
2,14:00,1,10,LVR 9,7,0,Josh Jacobs right guard for 1 yard (tackle by Daniel Wise),,
2,13:26,2,9,LVR 10,7,0,Derek Carr pass complete short left to Hunter Renfrow for 10 yards,,
2,12:53,1,10,LVR 20,7,0,Derek Carr pass complete short left to Josh Jacobs for 5 yards (tackle by Cole Holcomb),,
2,12:15,2,5,LVR 25,7,0,Josh Jacobs left guard for 3 yards (tackle by Jonathan Allen and Cole Holcomb),,
2,11:29,3,2,LVR 28,7,0,Derek Carr pass complete short left to Hunter Renfrow for 3 yards (tackle by Kendall Fuller),,
2,10:51,1,10,LVR 31,7,0,Derek Carr pass complete short right to Hunter Renfrow for 9 yards (tackle by Jamin Davis),,
2,10:08,2,1,LVR 40,7,0,Derek Carr pass complete short left to Josh Jacobs for 7 yards (tackle by Kendall Fuller),,
2,9:26,1,10,LVR 47,7,0,Derek Carr pass complete short left to Bryan Edwards for 5 yards (tackle by Kendall Fuller),,
2,8:53,2,5,WAS 48,7,0,"Kenyan Drake for no gain. Kenyan Drake fumbles (forced by Deshazor Everett), recovered by Daniel Wise at WAS-48 (tackle by Bryan Edwards) Replay Assistant challenged the fumble ruling, and the original play was overturned. Kenyan Drake left tackle for no gain and Deshazor Everett and Daniel Wise)",,
2,8:32,3,5,WAS 48,7,0,Derek Carr pass complete short right to Josh Jacobs for no gain (tackle by Bobby McCain),,
2,7:51,4,5,WAS 48,7,0,"AJ Cole punts 38 yards, fair catch by DeAndre Carter at WAS-10",,
2,7:46,1,10,WAS 10,7,0,Antonio Gibson up the middle for 1 yard (tackle by Denzel Perryman),,
2,7:09,2,9,WAS 11,7,0,Taylor Heinicke pass complete short middle to Terry McLaurin for 5 yards (tackle by Brandon Facyson),,
2,6:27,3,4,WAS 16,7,0,Taylor Heinicke pass complete short right to Adam Humphries for 6 yards (tackle by Casey Hayward),,
2,5:45,1,10,WAS 22,7,0,Taylor Heinicke pass incomplete deep right intended for Logan Thomas,,
2,5:38,2,10,WAS 22,7,0,"Taylor Heinicke pass complete short middle to Antonio Gibson for no gain (tackle by Nate Hobbs and Denzel Perryman). Penalty on Brandon Facyson: Defensive Holding, 5 yards (accepted) (no play)",,
2,5:13,1,10,WAS 27,7,0,Antonio Gibson left guard for 9 yards (tackle by Cory Littleton and Trevon Moehrig),,
2,4:45,2,1,WAS 36,7,0,Antonio Gibson right guard for 5 yards (tackle by Divine Deablo),,
2,4:10,1,10,WAS 41,7,0,Curtis Samuel up the middle for -4 yards (tackle by Maxx Crosby),,
2,3:29,2,14,WAS 37,7,0,Taylor Heinicke pass complete short middle to Wendell Smallwood for 5 yards (tackle by K.J. Wright and Nate Hobbs),,
2,2:49,3,9,WAS 42,7,0,"Taylor Heinicke pass incomplete deep right intended for Adam Humphries. Penalty on Maxx Crosby: Roughing the Passer, 15 yards (accepted) (no play)",,
2,2:44,1,10,LVR 43,7,0,Antonio Gibson left end for -3 yards (tackle by Nate Hobbs),,
2,2:00,2,13,LVR 46,7,0,Taylor Heinicke sacked by Malcolm Koonce for -10 yards,,
2,1:54,,,,,,Timeout #1 by Las Vegas Raiders,,
2,1:54,3,23,WAS 44,7,0,Wendell Smallwood up the middle for 13 yards (tackle by Nate Hobbs and Solomon Thomas),,
2,1:49,,,,,,Timeout #2 by Las Vegas Raiders,,
2,1:49,4,10,LVR 43,7,0,"Tress Way punts 43 yards, touchback.",,
2,1:41,1,10,LVR 20,7,0,"Derek Carr sacked by and Jonathan Allen for -8 yards and James Smith-Williams for -8 yards. Penalty on John Simpson: Offensive Holding, 10 yards (declined)",,
2,1:36,2,18,LVR 12,7,0,Derek Carr pass complete short left to Bryan Edwards for 18 yards (tackle by Kendall Fuller),,
2,1:15,1,10,LVR 30,7,0,"Derek Carr pass complete short left to Josh Jacobs for 10 yards (tackle by Cole Holcomb). Penalty on James Smith-Williams: Illegal Use of Hands / Defense, 10 yards (declined)",,
2,1:06,1,10,LVR 40,7,0,Derek Carr pass complete short left to Josh Jacobs for -5 yards (tackle by Jamin Davis),,
2,0:45,2,15,LVR 35,7,0,Derek Carr scrambles left tackle for 17 yards (tackle by Kendall Fuller),,
2,0:32,1,10,WAS 48,7,0,Derek Carr scrambles up the middle for 7 yards (tackle by Cole Holcomb),,
2,0:24,,,,,,Timeout #3 by Las Vegas Raiders,,
2,0:24,2,3,WAS 41,7,0,Derek Carr pass complete short right to Zay Jones for 5 yards (tackle by William Jackson),,
2,0:19,1,10,WAS 36,7,0,Derek Carr pass incomplete deep right intended for Bryan Edwards,,
2,0:13,2,10,WAS 36,7,0,Derek Carr pass complete short right to Josh Jacobs for 2 yards (tackle by James Smith-Williams and Kamren Curl),,
2,0:09,3,8,WAS 34,7,3,Daniel Carlson 52 yard field goal good,,
2,0:04,,,LVR 35,7,3,"Daniel Carlson kicks off 65 yards, touchback.",,
2,0:04,1,10,WAS 25,7,3,Taylor Heinicke kneels for -1 yards,,
Quarter,Time,Down,ToGo,Location,WAS,LVR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,7,3,"Brian Johnson kicks off 65 yards, touchback.",,
3,15:00,1,10,LVR 25,7,3,Josh Jacobs up the middle for 3 yards (tackle by Cole Holcomb and Khaleke Hudson),,
3,14:19,2,7,LVR 28,7,3,Josh Jacobs left end for 15 yards (tackle by Cole Holcomb),,
3,13:45,1,10,LVR 43,7,3,Derek Carr pass incomplete deep right intended for Foster Moreau (defended by Cole Holcomb),,
3,13:37,2,10,LVR 43,7,3,Josh Jacobs up the middle for -1 yards (tackle by Daron Payne and Deshazor Everett),,
3,12:50,3,11,LVR 42,7,3,Derek Carr sacked by Matthew Ioannidis for -7 yards,,
3,12:13,4,18,LVR 35,7,3,"AJ Cole punts 55 yards, returned by DeAndre Carter for 13 yards (tackle by Keisean Nixon and Carson Tinker)",,
3,11:59,1,10,WAS 23,7,3,Antonio Gibson left tackle for 4 yards (tackle by Divine Deablo and Denzel Perryman),,
3,11:15,2,6,WAS 27,7,3,Antonio Gibson left end for 1 yard (tackle by Brandon Facyson),,
3,10:35,3,5,WAS 28,7,3,Taylor Heinicke pass complete short left to Logan Thomas for 6 yards (tackle by Denzel Perryman),,
3,9:49,1,10,WAS 34,7,3,"Penalty on Logan Thomas: False Start, 5 yards (accepted) (no play)",,
3,9:29,1,15,WAS 29,7,3,Taylor Heinicke pass complete short middle to Antonio Gibson for no gain (tackle by Divine Deablo and Nate Hobbs),,
3,8:46,2,15,WAS 29,7,3,Taylor Heinicke pass incomplete short middle intended for Terry McLaurin (defended by Casey Hayward),,
3,8:39,3,15,WAS 29,7,3,Taylor Heinicke pass incomplete deep left intended for Logan Thomas,,
3,8:27,4,15,WAS 29,7,3,"Tress Way punts 53 yards. Penalty on Roderic Teamer: Offensive Holding, 9 yards (accepted)",,
3,8:18,1,10,LVR 9,7,3,Derek Carr pass complete short middle to Hunter Renfrow for 15 yards (tackle by Deshazor Everett),,
3,7:44,1,10,LVR 24,7,3,Derek Carr pass complete short middle to Josh Jacobs for 9 yards (tackle by Jamin Davis and Kamren Curl),,
3,7:08,2,1,LVR 33,7,3,Josh Jacobs up the middle for 6 yards (tackle by Matthew Ioannidis and Tim Settle),,
3,6:30,1,10,LVR 39,7,3,Derek Carr pass complete deep middle to Foster Moreau for 34 yards (tackle by Bobby McCain),,
3,5:45,1,10,WAS 27,7,3,Derek Carr pass complete short middle to Bryan Edwards for 7 yards (tackle by Jamin Davis),,
3,5:06,2,3,WAS 20,7,3,Derek Carr pass incomplete deep middle intended for Foster Moreau (defended by Cole Holcomb),,
3,5:01,3,3,WAS 20,7,3,Derek Carr pass incomplete short left intended for Hunter Renfrow,,
3,4:57,4,3,WAS 20,7,6,Daniel Carlson 38 yard field goal good,,
3,4:52,,,LVR 35,7,6,"Daniel Carlson kicks off 65 yards, touchback.",,
3,4:52,1,10,WAS 25,7,6,Taylor Heinicke pass complete short middle to Antonio Gibson for 10 yards (tackle by Denzel Perryman),,
3,4:19,1,10,WAS 35,7,6,"Antonio Gibson left guard for no gain (tackle by Casey Hayward). Penalty on Keith Ismael: Offensive Holding, 10 yards (accepted) (no play)",,
3,3:47,1,20,WAS 25,7,6,"Taylor Heinicke pass complete short right to John Bates for -1 yards (tackle by Johnathan Abram). Penalty on Johnathan Abram: Low Block, 15 yards (accepted) (no play)",,
3,3:24,1,10,WAS 40,7,6,Antonio Gibson left tackle for no gain (tackle by Solomon Thomas),,
3,2:44,2,10,WAS 40,7,6,"Taylor Heinicke pass incomplete short left intended for Terry McLaurin. Penalty on Brandon Facyson: Defensive Holding, 5 yards (accepted) (no play)",,
3,2:39,1,10,WAS 45,7,6,Taylor Heinicke pass complete deep left to Logan Thomas for 35 yards (tackle by Divine Deablo),,
3,2:01,1,10,LVR 20,7,6,Antonio Gibson left tackle for -6 yards (tackle by Denzel Perryman),,
3,1:17,2,16,LVR 26,7,6,Taylor Heinicke pass complete short middle to Adam Humphries for 10 yards (tackle by Nate Hobbs),,
3,0:33,3,6,LVR 16,7,6,Taylor Heinicke scrambles left tackle for 7 yards (tackle by Trevon Moehrig),,
Quarter,Time,Down,ToGo,Location,WAS,LVR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,9,LVR 9,7,6,Antonio Gibson up the middle for 2 yards (tackle by Quinton Jefferson and Denzel Perryman),,
4,14:21,2,7,LVR 7,7,6,Taylor Heinicke pass complete short right to Antonio Gibson for 3 yards (tackle by K.J. Wright and Clelin Ferrell),,
4,13:34,3,4,LVR 4,13,6,"Taylor Heinicke pass complete short right to Antonio Gibson for 4 yards, touchdown",,
4,13:28,,,LVR 15,14,6,Brian Johnson kicks extra point good,,
4,13:28,,,WAS 35,14,6,"Brian Johnson kicks off 65 yards, touchback.",,
4,13:28,1,10,LVR 25,14,6,Derek Carr pass complete short left to Zay Jones for 3 yards (tackle by Cole Holcomb),,
4,12:45,2,7,LVR 28,14,6,Derek Carr pass complete deep middle to Hunter Renfrow for 28 yards (tackle by Cole Holcomb),,
4,12:04,1,10,WAS 44,14,6,"Derek Carr pass incomplete short middle intended for Josh Jacobs. Penalty on Daron Payne: Defensive Holding, 5 yards (accepted) (no play)",,
4,12:00,1,10,WAS 39,14,6,"Derek Carr pass complete to DeSean Jackson for 14 yards (tackle by Kendall Fuller). Penalty on Casey Toohill: Roughing the Passer, 13 yards (accepted)",,
4,11:37,1,10,WAS 12,14,6,Josh Jacobs left end for 2 yards (tackle by Jamin Davis),,
4,11:07,2,8,WAS 10,14,6,"Derek Carr pass incomplete short middle intended for Hunter Renfrow. Penalty on Cole Holcomb: Defensive Pass Interference, 9 yards (accepted) (no play)",,
4,11:03,1,1,WAS 1,14,12,"Josh Jacobs left end for 1 yard, touchdown",,
4,10:57,,,WAS 2,14,12,Two Point Attempt: Derek Carr pass incomplete intended for intended for Bryan Edwards,,
4,10:57,,,LVR 35,14,12,"Daniel Carlson kicks off 63 yards, recovered by DeAndre Carter at WAS-2 returned by DeAndre Carter for 18 yards (tackle by Divine Deablo)",,
4,10:52,1,10,WAS 20,14,12,Antonio Gibson up the middle for 3 yards (tackle by Divine Deablo),,
4,10:30,2,7,WAS 23,14,12,"Taylor Heinicke left end for no gain (tackle by Divine Deablo). Penalty on Yannick Ngakoue: Defensive Offside, 5 yards (accepted) (no play)",,
4,9:58,2,2,WAS 28,14,12,Antonio Gibson right guard for 8 yards (tackle by Casey Hayward and Nate Hobbs),,
4,9:51,1,10,WAS 36,14,12,Antonio Gibson left tackle for 1 yard (tackle by Nate Hobbs),,
4,9:10,2,9,WAS 37,14,12,Taylor Heinicke pass complete short middle to John Bates for 10 yards (tackle by Divine Deablo and Johnathan Abram),,
4,8:26,1,10,WAS 47,14,12,Antonio Gibson right guard for 6 yards (tackle by Divine Deablo),,
4,7:45,2,4,LVR 47,14,12,Antonio Gibson left tackle for no gain (tackle by Divine Deablo and Maxx Crosby),,
4,7:03,3,4,LVR 47,14,12,Taylor Heinicke pass deep right (defended by Maxx Crosby) intended for Terry McLaurin is intercepted by Nate Hobbs at LV-30 and returned for 9 yards (tackle by John Bates and Adam Humphries),,
4,6:49,1,10,LVR 39,14,12,Derek Carr pass complete short right to Zay Jones for 13 yards (tackle by Kamren Curl),,
4,6:05,1,10,WAS 48,14,12,Derek Carr pass complete short left to Hunter Renfrow for 16 yards (tackle by Kendall Fuller),,
4,5:25,1,10,WAS 32,14,12,Josh Jacobs left guard for 1 yard (tackle by Daron Payne),,
4,4:43,2,9,WAS 31,14,12,Josh Jacobs right guard for 10 yards (tackle by Cole Holcomb and Bobby McCain),,
4,3:57,1,10,WAS 21,14,12,Josh Jacobs left tackle for 1 yard (tackle by Daron Payne),,
4,3:18,2,9,WAS 20,14,12,Derek Carr pass complete short middle to Peyton Barber for 2 yards (tackle by Jamin Davis),,
4,2:32,3,7,WAS 18,14,12,Derek Carr pass incomplete deep left intended for Zay Jones,,
4,2:26,4,7,WAS 18,14,15,Daniel Carlson 37 yard field goal good,,
4,2:22,,,LVR 35,14,15,"Daniel Carlson kicks off 65 yards, touchback.",,
4,2:22,1,10,WAS 25,14,15,Taylor Heinicke pass complete short right to John Bates for 9 yards (tackle by Nate Hobbs),,
4,2:00,2,1,WAS 34,14,15,Antonio Gibson up the middle for 4 yards (tackle by Yannick Ngakoue and Divine Deablo),,
4,1:37,1,10,WAS 38,14,15,Taylor Heinicke pass complete short right to Adam Humphries for 10 yards (tackle by Trevon Moehrig),,
4,1:06,1,10,WAS 48,14,15,Taylor Heinicke pass complete short left to Adam Humphries for 12 yards (tackle by Casey Hayward),,
4,0:59,1,10,LVR 40,14,15,Taylor Heinicke pass incomplete short right intended for Adam Humphries (defended by Trevon Moehrig),,
4,0:53,2,10,LVR 40,14,15,Taylor Heinicke pass complete short left to Antonio Gibson for 6 yards (tackle by Solomon Thomas and Divine Deablo),,
4,0:47,,,,,,Timeout #1 by Las Vegas Raiders,,
4,0:47,3,4,LVR 34,14,15,Curtis Samuel up the middle for 3 yards (tackle by Yannick Ngakoue and K.J. Wright),,
4,0:42,,,,,,Timeout #2 by Las Vegas Raiders,,
4,0:42,,,,,,Timeout #1 by Washington Football Team,,
4,0:42,4,1,LVR 31,17,15,Brian Johnson 48 yard field goal good,,
4,0:37,,,WAS 35,17,15,"Brian Johnson kicks off 64 yards, returned by Peyton Barber for 24 yards (tackle by Jordan Kunaszyk)",,
4,0:31,1,10,LVR 25,17,15,Derek Carr pass incomplete deep middle intended for Zay Jones,,
4,0:22,2,10,LVR 25,17,15,Derek Carr pass complete short right to Hunter Renfrow for 11 yards (tackle by Danny Johnson),,
4,0:10,,,,,,Timeout #3 by Las Vegas Raiders,,
4,0:10,1,10,LVR 36,17,15,Derek Carr pass complete short right to Josh Jacobs for 7 yards (tackle by Cole Holcomb),,
4,0:02,2,3,LVR 43,17,15,Derek Carr pass incomplete deep right (defended by William Jackson),,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
