Unnamed: 0,WAS,LVR
First Downs,23,22
Rush-Yds-TDs,30-112-0,16-76-1
Cmp-Att-Yd-TD-INT,23-30-196-2-1,28-38-249-0-0
Sacked-Yards,1-10,2-15
Net Pass Yards,186,234
Total Yards,298,310
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,6-47,6-54
Third Down Conv.,7-13,2-8
Fourth Down Conv.,0-0,0-0
Time of Possession,33:43,26:17
