Quarter,Time,Tm,Detail,WAS,LVR
1.0,9:39,Football Team,Logan Thomas 7 yard pass from Taylor Heinicke (Brian Johnson kick),7,0
2.0,0:04,Raiders,Daniel Carlson 52 yard field goal,7,3
3.0,4:52,Raiders,Daniel Carlson 38 yard field goal,7,6
4.0,13:28,Football Team,Antonio Gibson 4 yard pass from Taylor Heinicke (Brian Johnson kick),14,6
,10:57,Raiders,Josh Jacobs 1 yard rush (pass failed),14,12
,2:22,Raiders,Daniel Carlson 37 yard field goal,14,15
,0:37,Football Team,Brian Johnson 48 yard field goal,17,15
