Quarter,Time,Tm,Detail,PHI,WAS
1.0,8:10,Eagles,Donovan McNabb 8 yard rush (David Akers kick),7,0
,0:09,Eagles,Jeff Thomason 2 yard pass from Donovan McNabb (David Akers kick),14,0
2.0,11:52,Redskins,Jacquez Green 90 yard punt return (James Tuthill kick),14,7
,6:35,Eagles,David Akers 22 yard field goal,17,7
,3:54,Eagles,David Akers 40 yard field goal,20,7
,0:00,Eagles,David Akers 47 yard field goal,23,7
3.0,10:04,Eagles,James Thrash 39 yard pass from Donovan McNabb (David Akers kick),30,7
4.0,9:52,Eagles,Dorsey Levens 47 yard rush (David Akers kick),37,7
