Unnamed: 0,PHI,WAS
First Downs,22,11
Rush-Yds-TDs,28-168-2,18-89-0
Cmp-Att-Yd-TD-INT,26-38-292-2-0,16-31-119-0-2
Sacked-Yards,2-9,4-29
Net Pass Yards,283,90
Total Yards,451,179
Fumbles-Lost,0-0,1-1
Turnovers,0,3
Penalties-Yards,4-30,7-55
Third Down Conv.,7-15,3-12
Fourth Down Conv.,0-1,1-2
Time of Possession,35:23,24:37
