Unnamed: 0,TEN,ARI
First Downs,14,16
Rush-Yds-TDs,22-65-1,29-136-0
Cmp-Att-Yd-TD-INT,16-31-159-0-2,17-26-178-0-0
Sacked-Yards,3-20,8-53
Net Pass Yards,139,125
Total Yards,204,261
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,6-48,5-30
Third Down Conv.,4-12,3-14
Fourth Down Conv.,0-2,0-0
Time of Possession,26:11,33:49
