Quarter,Time,Down,ToGo,Location,TEN,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss and deferred, Titans to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Phil Dawson kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,TEN 25,0,0,Derrick Henry right end for -2 yards (tackle by Chandler Jones),0.610,-0.210
1,14:24,2,12,TEN 23,0,0,DeMarco Murray right tackle for no gain (tackle by Kareem Martin),-0.210,-0.890
1,13:41,3,12,TEN 23,0,0,Marcus Mariota pass incomplete deep middle intended for Taywan Taylor,-0.890,-1.830
1,13:36,4,12,TEN 23,0,0,"Brett Kern punts 55 yards, returned by Brittan Golden for 10 yards (tackle by Daren Bates)",-1.830,-1.070
1,13:26,1,10,ARI 32,0,0,Kerwynn Williams middle for 1 yard (tackle by Jurrell Casey),1.070,0.660
1,12:50,2,9,ARI 33,0,0,Blaine Gabbert pass complete short right to Larry Fitzgerald for 1 yard (tackle by Erik Walden),0.660,0.100
1,12:07,3,8,ARI 34,0,0,Blaine Gabbert pass complete short left to JJ Nelson for 12 yards (tackle by LeShaun Sims),0.100,1.990
1,11:24,1,10,ARI 46,0,0,Kerwynn Williams middle for 5 yards (tackle by Johnathan Cyprien),1.990,2.130
1,10:49,2,5,TEN 49,0,0,Kerwynn Williams left tackle for 7 yards (tackle by Johnathan Cyprien),2.130,2.790
1,10:07,1,10,TEN 42,0,0,Blaine Gabbert sacked by Johnathan Cyprien for -8 yards,2.790,1.160
1,9:24,2,18,,0,0,Blaine Gabbert middle for 3 yards (tackle by David King),1.160,0.890
1,8:40,3,15,TEN 47,0,0,Blaine Gabbert pass incomplete deep left intended for JJ Nelson,0.890,0.130
1,8:34,4,15,TEN 47,0,0,"Andy Lee punts 38 yards, out of bounds",0.130,0.380
1,8:25,1,10,TEN 9,0,0,Marcus Mariota pass complete short left to Delanie Walker for 11 yards (tackle by Tramon Williams),-0.380,0.280
1,7:44,1,10,TEN 20,0,0,Marcus Mariota pass complete short right to Eric Decker for 16 yards (tackle by Patrick Peterson),0.280,1.330
1,7:16,1,10,TEN 36,0,0,Marcus Mariota middle for 4 yards (tackle by Karlos Dansby),1.330,1.330
1,6:34,2,6,TEN 40,0,0,Marcus Mariota right end for 7 yards (tackle by Antoine Bethea),1.330,2.060
1,5:50,1,10,TEN 47,0,0,Derrick Henry middle for -4 yards (tackle by Chandler Jones),2.060,0.980
1,5:13,2,14,TEN 43,0,0,Marcus Mariota sacked by Olsen Pierre for -6 yards,0.980,-0.490
1,4:29,3,20,TEN 37,0,0,Marcus Mariota pass complete short left to DeMarco Murray for 6 yards (tackle by Haason Reddick and Antoine Bethea),-0.490,-0.520
1,3:51,4,14,TEN 43,0,0,"Brett Kern punts 35 yards, out of bounds",-0.520,-0.410
1,3:43,1,10,ARI 22,0,0,Kerwynn Williams right tackle for 3 yards (tackle by Johnathan Cyprien),0.410,0.270
1,3:10,2,7,ARI 25,0,0,Blaine Gabbert pass incomplete short left intended for Ricky Seals-Jones,0.270,-0.430
1,3:05,3,7,ARI 25,0,0,Blaine Gabbert sacked by Erik Walden for -8 yards,-0.430,-2.320
1,2:35,4,15,ARI 17,0,0,"Andy Lee punts 56 yards, returned by Adoree' Jackson for 17 yards (tackle by Brittan Golden). Penalty on LeShaun Sims: Offensive Holding, 10 yards",-2.320,0.060
1,2:17,1,10,TEN 17,0,0,"DeMarco Murray right tackle for 9 yards (tackle by Chandler Jones). Penalty on Jack Conklin: Offensive Holding, 10 yards",-0.060,-0.160
1,1:44,1,11,TEN 16,0,0,Marcus Mariota pass complete short left to Rishard Matthews for 2 yards (tackle by Patrick Peterson),-0.160,-0.420
1,0:59,2,9,TEN 18,0,0,DeMarco Murray middle for 4 yards (tackle by Karlos Dansby),-0.420,-0.620
1,0:42,3,5,TEN 22,0,0,"Marcus Mariota pass incomplete deep left intended for Corey Davis (defended by Tramon Williams). Penalty on ARI: Defensive 12 On-field, 5 yards (no play)",-0.620,0.740
1,0:35,1,10,TEN 27,0,0,DeMarco Murray middle for 6 yards (tackle by Karlos Dansby),0.740,1.010
Quarter,Time,Down,ToGo,Location,TEN,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,TEN 33,0,0,DeMarco Murray right tackle for 1 yard (tackle by Budda Baker),1.010,0.430
2,14:19,3,3,TEN 34,0,0,Marcus Mariota pass incomplete deep left intended for Corey Davis (defended by Antoine Bethea),0.430,-1.110
2,14:10,4,3,TEN 34,0,0,"Brett Kern punts 54 yards, out of bounds",-1.110,0.350
2,14:03,1,10,ARI 12,0,0,Blaine Gabbert pass complete short right to Troy Niklas for 7 yards (tackle by Wesley Woodyard),-0.350,0.100
2,13:26,2,3,ARI 19,0,0,Kerwynn Williams right tackle for -1 yards (tackle by Wesley Woodyard),0.100,-0.720
2,12:44,3,4,ARI 18,0,0,Blaine Gabbert sacked by David King for -1 yards. Penalty on Jared Veldheer: Offensive Holding (Declined),-0.720,-2.320
2,12:30,4,5,ARI 17,0,0,Andy Lee punts 33 yards,-2.320,-2.260
2,12:18,1,10,,0,0,Marcus Mariota pass incomplete short left intended for Phillip Supernaw,2.260,1.710
2,12:11,2,10,,0,0,Derrick Henry middle for 9 yards (tackle by Karlos Dansby and Budda Baker),1.710,2.210
2,11:29,3,1,ARI 41,0,0,Derrick Henry middle for 1 yard (tackle by Karlos Dansby),2.210,2.920
2,10:46,1,10,ARI 40,0,0,"Derrick Henry middle for 2 yards (tackle by Budda Baker). Penalty on Kareem Martin: Defensive Offside, 5 yards (no play)",2.920,3.650
2,10:21,1,5,ARI 35,0,0,Marcus Mariota pass complete short left to Delanie Walker for 9 yards (tackle by Budda Baker),3.650,3.840
2,9:39,1,10,ARI 26,0,0,Marcus Mariota pass incomplete deep middle intended for Corey Davis,3.840,3.300
2,9:33,2,10,ARI 26,0,0,DeMarco Murray left end for 1 yard (tackle by Xavier Williams and Olsen Pierre),3.300,2.740
2,8:46,3,9,ARI 25,0,0,Marcus Mariota pass complete short right to Eric Decker for 11 yards (tackle by Tyrann Mathieu),2.740,4.650
2,8:07,1,10,ARI 14,0,0,Derrick Henry right tackle for 8 yards (tackle by Xavier Williams and Budda Baker),4.650,5.470
2,7:23,2,2,ARI 6,6,0,"Derrick Henry left end for 6 yards, touchdown",5.470,7.000
2,7:16,,,ARI 15,7,0,Ryan Succop kicks extra point good,0.000,0.000
2,7:16,,,TEN 35,7,0,"Ryan Succop kicks off 63 yards, returned by D.J. Foster for 13 yards (tackle by Nate Palmer)",0.000,0.220
2,7:11,1,10,ARI 15,7,0,Blaine Gabbert sacked by Jurrell Casey for -7 yards,-0.220,-1.290
2,6:26,2,17,ARI 8,7,0,Kerwynn Williams middle for 7 yards (tackle by Erik Walden),-1.290,-1.370
2,5:45,3,10,ARI 15,7,0,Blaine Gabbert pass complete short left to JJ Nelson for 14 yards (tackle by LeShaun Sims),-1.370,0.870
2,5:20,1,10,ARI 29,7,0,D.J. Foster middle for 5 yards (tackle by Kevin Dodd),0.870,1.000
2,4:42,2,5,ARI 34,7,0,Blaine Gabbert pass complete short middle to Larry Fitzgerald for 8 yards (tackle by Logan Ryan),1.000,1.730
2,4:02,1,10,ARI 42,7,0,Blaine Gabbert pass incomplete short right intended for Troy Niklas,1.730,1.190
2,3:57,2,10,ARI 42,7,0,D.J. Foster middle for 2 yards (tackle by Austin Johnson),1.190,0.760
2,3:19,3,8,ARI 44,7,0,Blaine Gabbert pass incomplete deep middle intended for Jaron Brown,0.760,-0.460
2,3:14,4,8,ARI 44,7,0,"Andy Lee punts 45 yards, out of bounds",-0.460,0.370
2,3:06,1,10,TEN 11,7,0,"Marcus Mariota pass incomplete deep left intended for Delanie Walker. Penalty on Patrick Peterson: Defensive Holding, 5 yards (no play)",-0.370,-0.140
2,3:00,1,10,TEN 16,7,0,DeMarco Murray right end for no gain (tackle by Antoine Bethea),-0.140,-0.660
2,2:19,2,10,TEN 16,7,0,Marcus Mariota sacked by Chandler Jones for -6 yards,-0.660,0.000
2,2:09,,,,,,Timeout #1 by Arizona Cardinals,0.000,2.120
2,2:09,3,16,TEN 10,7,0,DeMarco Murray middle for 5 yards (tackle by Chandler Jones),-2.120,-2.440
2,2:00,4,11,TEN 15,7,0,"Brett Kern punts 58 yards, returned by Patrick Peterson for 4 yards (tackle by Phillip Supernaw)",-2.440,-1.000
2,1:49,1,10,ARI 31,7,0,Blaine Gabbert pass incomplete deep left intended for Larry Fitzgerald,1.000,0.460
2,1:44,2,10,ARI 31,7,0,Blaine Gabbert pass complete short right to D.J. Foster for 10 yards (tackle by Kevin Byard),0.460,1.660
2,1:27,1,10,ARI 41,7,0,Blaine Gabbert pass complete short left to Larry Fitzgerald for 4 yards (tackle by Logan Ryan),1.660,1.660
2,1:10,2,6,ARI 45,7,0,Blaine Gabbert pass incomplete deep left intended for Jaron Brown,1.660,0.960
2,1:05,3,6,ARI 45,7,0,Blaine Gabbert pass incomplete short right intended for Ricky Seals-Jones,0.960,-0.390
2,1:01,4,6,ARI 45,7,0,"Andy Lee punts 43 yards, returned by Adoree' Jackson for 14 yards (tackle by Elijhaa Penny)",-0.390,-0.670
2,0:49,1,10,TEN 26,7,0,Marcus Mariota pass complete short right to Delanie Walker for 5 yards (tackle by Budda Baker),0.670,0.810
2,0:30,2,5,TEN 31,7,0,Marcus Mariota pass complete short right to Rishard Matthews for 7 yards (tackle by Patrick Peterson),0.810,0.000
2,0:25,,,,,,Timeout #1 by Tennessee Titans,0.000,-1.470
2,0:25,1,10,TEN 38,7,0,"Marcus Mariota pass complete short right to Corey Davis for 10 yards (tackle by Patrick Peterson). Penalty on Ben Jones: Offensive Holding, 10 yards (no play)",1.470,0.810
