Unnamed: 0,PHI,ATL
First Downs,24,19
Rush-Yds-TDs,31-173-1,26-124-0
Cmp-Att-Yd-TD-INT,27-35-264-3-0,21-35-164-0-0
Sacked-Yards,1-3,3-28
Net Pass Yards,261,136
Total Yards,434,260
Fumbles-Lost,2-0,1-0
Turnovers,0,0
Penalties-Yards,14-89,12-99
Third Down Conv.,6-13,3-14
Fourth Down Conv.,0-2,1-3
Time of Possession,31:02,28:58
