Quarter,Time,Tm,Detail,PHI,ATL
1.0,9:58,Falcons,Younghoe Koo 21 yard field goal,0,3
,6:17,Eagles,DeVonta Smith 18 yard pass from Jalen Hurts (Jake Elliott kick),7,3
2.0,14:52,Falcons,Younghoe Koo 27 yard field goal,7,6
,0:02,Eagles,Dallas Goedert 9 yard pass from Jalen Hurts (Miles Sanders run),15,6
3.0,1:25,Eagles,Kenneth Gainwell 8 yard rush (Jake Elliott kick),22,6
4.0,4:20,Eagles,Jalen Reagor 23 yard pass from Jalen Hurts (Jake Elliott kick),29,6
,1:10,Eagles,Jake Elliott 43 yard field goal,32,6
