Unnamed: 0,CAR,DET
First Downs,14,11
Rush-Yds-TDs,25-54-0,24-52-0
Cmp-Att-Yd-TD-INT,20-32-283-3-3,17-28-201-0-1
Sacked-Yards,2-20,6-44
Net Pass Yards,263,157
Total Yards,317,209
Fumbles-Lost,3-1,4-3
Turnovers,4,4
Penalties-Yards,10-73,10-75
Third Down Conv.,6-14,4-15
Fourth Down Conv.,0-1,1-2
Time of Possession,27:57,32:03
