Quarter,Time,Tm,Detail,CAR,DET
1.0,0:54,Panthers,Rod Gardner 4 yard pass from Jake Delhomme (John Kasay kick),7,0
2.0,14:17,Lions,Boss Bailey 34 yard interception return (Jason Hanson kick),7,7
,14:00,Panthers,Steve Smith Sr. 80 yard pass from Jake Delhomme (John Kasay kick),14,7
,8:28,Lions,Kenoy Kennedy 64 yard interception return (Jason Hanson kick),14,14
3.0,0:40,Lions,Jason Hanson 52 yard field goal,14,17
4.0,5:08,Lions,Jason Hanson 25 yard field goal,14,20
,0:32,Panthers,Ricky Proehl 3 yard pass from Chris Weinke (John Kasay kick),21,20
