Quarter,Time,Tm,Detail,CAR,OAK
1.0,4:48,Raiders,Seth Roberts 2 yard pass from Derek Carr (Sebastian Janikowski kick),0,7
,3:10,Panthers,Cam Newton 3 yard rush (Graham Gano kick),7,7
2.0,12:48,Raiders,Latavius Murray 4 yard rush (Sebastian Janikowski kick),7,14
,6:49,Raiders,Sebastian Janikowski 23 yard field goal,7,17
,0:59,Raiders,Khalil Mack 6 yard interception return (Sebastian Janikowski kick),7,24
3.0,10:33,Panthers,Jonathan Stewart 1 yard rush (Graham Gano kick failed),13,24
,7:43,Panthers,Ted Ginn Jr. 88 yard pass from Cam Newton,19,24
,1:46,Panthers,Jonathan Stewart 3 yard rush (pass failed),25,24
4.0,13:26,Panthers,Kelvin Benjamin 44 yard pass from Cam Newton (Graham Gano kick),32,24
,8:37,Raiders,Clive Walford 12 yard pass from Derek Carr (Seth Roberts pass from Derek Carr),32,32
,1:45,Raiders,Sebastian Janikowski 23 yard field goal,32,35
