Quarter,Time,Down,ToGo,Location,CAR,OAK,Detail,EPB,EPA
1,7:19,1,10,OAK 38,0,0,Derek Carr pass complete short right to Latavius Murray for 32 yards (tackle by James Bradberry),1.470,3.580
1,7:02,1,10,CAR 30,0,0,Derek Carr pass complete short middle to Seth Roberts for 24 yards (tackle by Tre Boston),3.580,5.830
1,6:19,1,6,CAR 6,0,0,Latavius Murray left end for -4 yards (tackle by Michael Griffin and Wes Horton),5.830,4.190
1,5:39,2,10,CAR 10,0,0,Derek Carr pass complete short middle to Jamize Olawale for 8 yards (tackle by Kurt Coleman and Tre Boston),4.190,4.950
1,4:54,3,2,CAR 2,0,6,"Derek Carr pass complete short left to Seth Roberts for 2 yards, touchdown",4.950,7.000
1,4:48,,,CAR 15,0,7,Sebastian Janikowski kicks extra point good,0.000,0.000
1,4:48,,,OAK 35,0,7,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.610
1,4:48,1,10,CAR 25,0,7,"Cam Newton pass incomplete short left intended for Jonathan Stewart. Penalty on Stacy McGee: Roughing the Passer, 15 yards (no play)",0.610,1.600
1,4:43,1,10,CAR 40,0,7,Jonathan Stewart middle for 47 yards (tackle by D.J. Hayden),1.600,4.710
1,4:05,1,10,OAK 13,0,7,Jonathan Stewart middle for 1 yard (tackle by Khalil Mack and Denico Autry),4.710,4.220
1,3:20,2,9,OAK 12,0,7,"Cam Newton pass incomplete short middle intended for Greg Olsen. Penalty on Karl Joseph: Defensive Pass Interference, 9 yards (no play)",4.220,6.510
1,3:16,1,3,OAK 3,6,7,"Cam Newton left end for 3 yards, touchdown",6.510,7.000
1,3:10,,,OAK 15,7,7,Graham Gano kicks extra point good,0.000,0.000
1,3:10,,,CAR 35,7,7,"Graham Gano kicks off 64 yards, returned by Jalen Richard for 28 yards (tackle by Jared Norris)",0.000,-0.870
1,3:05,1,10,OAK 29,7,7,Latavius Murray middle for 2 yards (tackle by Kurt Coleman and Kawann Short),0.870,0.600
1,2:24,2,8,OAK 31,7,7,Derek Carr pass complete short right to Mychal Rivera for 8 yards (tackle by James Bradberry),0.600,0.000
1,1:36,,,,7,7,Timeout #1 by Oakland Raiders,0.000,-1.530
1,1:36,1,10,OAK 39,7,7,Latavius Murray left tackle for 2 yards (tackle by Kawann Short and Kurt Coleman),1.530,1.260
1,1:00,2,8,OAK 41,7,7,Derek Carr pass complete short left to Taiwan Jones for 15 yards (tackle by Thomas Davis),1.260,2.650
1,0:20,1,10,CAR 44,7,7,Derek Carr pass incomplete deep middle intended for Michael Crabtree,2.650,2.110
1,0:16,2,10,CAR 44,7,7,Derek Carr pass complete short left to Amari Cooper for 7 yards (tackle by Tre Boston),2.110,2.350
Quarter,Time,Down,ToGo,Location,CAR,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,CAR 37,7,7,Latavius Murray right guard for 6 yards (tackle by Kyle Love),2.350,3.510
2,14:17,1,10,CAR 31,7,7,Latavius Murray left tackle for -3 yards (tackle by Daryl Worley),3.510,2.560
2,13:39,2,13,CAR 34,7,7,Derek Carr pass complete deep right to Johnny Holton for 30 yards (tackle by Kurt Coleman),2.560,0.000
2,12:52,,,,7,7,Timeout #2 by Oakland Raiders,0.000,-6.280
2,12:52,1,4,CAR 4,7,13,"Latavius Murray left guard for 4 yards, touchdown",6.280,7.000
2,12:48,,,CAR 15,7,14,Sebastian Janikowski kicks extra point good,0.000,0.000
2,12:48,,,OAK 35,7,14,"Sebastian Janikowski kicks off 64 yards, returned by Fozzy Whittaker for 11 yards (tackle by Johnny Holton)",0.000,0.350
2,12:42,1,10,CAR 12,7,14,Jonathan Stewart right tackle for 4 yards (tackle by Stacy McGee and Karl Joseph),-0.350,-0.370
2,12:03,2,6,CAR 16,7,14,Cam Newton middle for no gain (tackle by Malcolm Smith),-0.370,-0.950
2,11:16,3,6,CAR 16,7,14,Cam Newton sacked by Bruce Irvin for -6 yards,-0.950,-2.490
2,10:41,4,12,CAR 10,7,14,"Michael Palardy punts 45 yards, returned by Jalen Richard for 9 yards (tackle by Jeremy Cash)",-2.490,-2.520
2,10:30,1,10,CAR 46,7,14,"Derek Carr pass incomplete short right intended for Seth Roberts. Penalty on James Bradberry: Defensive Pass Interference, 11 yards (no play)",2.520,3.250
2,10:24,1,10,CAR 35,7,14,Derek Carr pass complete short left to Michael Crabtree for 8 yards (tackle by Daryl Worley),3.250,3.780
2,10:00,2,2,CAR 27,7,14,Jalen Richard left guard for 8 yards (tackle by Kurt Coleman and Thomas Davis),3.780,4.310
2,9:14,1,10,CAR 19,7,14,Derek Carr pass complete short left to Amari Cooper for 3 yards (tackle by Daryl Worley),4.310,4.180
2,8:32,2,7,CAR 16,7,14,Derek Carr pass complete short right to Michael Crabtree for 10 yards (tackle by Tre Boston),4.180,5.830
2,7:45,1,6,CAR 6,7,14,Latavius Murray left guard for 1 yard (tackle by Kony Ealy and Kawann Short),5.830,5.150
2,7:05,2,5,CAR 5,7,14,Derek Carr pass incomplete short right intended for Clive Walford,5.150,4.260
2,6:59,3,5,CAR 5,7,14,Derek Carr pass incomplete short middle intended for Amari Cooper (defended by Daryl Worley). Penalty on Austin Howard: Offensive Holding (Declined),4.260,3.010
2,6:53,4,5,CAR 5,7,17,Sebastian Janikowski 23 yard field goal good,3.010,3.000
2,6:49,,,OAK 35,7,17,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.610
2,6:49,1,10,CAR 25,7,17,Cam Newton pass incomplete deep left intended for Ted Ginn (defended by D.J. Hayden),0.610,0.000
2,6:42,,,,7,17,Timeout #1 by Carolina Panthers,0.000,-0.060
2,6:42,2,10,CAR 25,7,17,Cam Newton pass incomplete short right intended for Jonathan Stewart,0.060,-0.620
2,6:35,3,10,CAR 25,7,17,Cam Newton pass incomplete short right intended for Ted Ginn,-0.620,-1.700
2,6:30,4,10,CAR 25,7,17,"Michael Palardy punts 47 yards, returned by Jalen Richard for 5 yards (tackle by Michael Griffin)",-1.700,-1.140
2,6:20,1,10,OAK 33,7,17,Latavius Murray left guard for 2 yards,1.140,0.860
2,5:42,2,8,OAK 35,7,17,Jalen Richard right tackle for 2 yards (tackle by Tre Boston),0.860,0.430
2,5:01,3,6,OAK 37,7,17,Derek Carr pass incomplete short right intended for Michael Crabtree,0.430,-0.910
2,4:57,4,6,OAK 37,7,17,"Marquette King punts 39 yards, out of bounds",-0.910,-0.540
2,4:49,1,10,CAR 24,7,17,"Fozzy Whittaker left end for 29 yards (tackle by Cory James). Penalty on Devin Funchess: Offensive Holding, 10 yards (no play)",0.540,-0.500
2,4:30,1,20,CAR 14,7,17,Cam Newton pass incomplete short left intended for Fozzy Whittaker,-0.500,-1.470
2,4:26,2,20,CAR 14,7,17,Cam Newton middle for 3 yards (tackle by Jihad Ward),-1.470,-1.850
2,3:51,3,17,CAR 17,7,17,"Cam Newton pass incomplete deep middle intended for Kelvin Benjamin (defended by Sean Smith). Penalty on CAR: Unsportsmanlike Conduct, 8 yards (no play)",-1.850,-2.490
2,3:42,4,25,CAR 9,7,17,"Michael Palardy punts 55 yards, returned by Jalen Richard for 6 yards (tackle by Colin Jones)",-2.490,-1.730
2,3:29,1,10,OAK 42,7,17,Latavius Murray left tackle for 3 yards (tackle by Thomas Davis),1.730,1.590
2,2:46,2,7,OAK 45,7,17,Derek Carr sacked by Charles Johnson for -5 yards,1.590,0.230
2,2:38,3,12,OAK 40,7,17,"Penalty on Charles Johnson: Neutral Zone Infraction, 5 yards (no play)",0.230,0.890
2,2:00,3,7,OAK 45,7,17,Derek Carr pass incomplete deep right intended for Michael Crabtree,0.890,-0.390
2,1:53,4,7,OAK 45,7,17,"Marquette King punts 46 yards, fair catch by Ted Ginn",-0.390,0.380
2,1:46,1,10,CAR 9,7,17,Fozzy Whittaker right tackle for 4 yards (tackle by Khalil Mack),-0.380,-0.480
2,1:04,2,6,CAR 13,7,23,"Cam Newton pass incomplete short right intended for Fozzy Whittaker is intercepted by Khalil Mack at CAR-6 and returned for 6 yards, touchdown. Penalty on Trai Turner: Illegal Formation (Declined)",-0.480,-7.000
2,,,,CAR 15,7,24,Sebastian Janikowski kicks extra point good,,
2,0:59,,,OAK 35,7,24,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.610
2,0:59,1,10,CAR 25,7,24,Fozzy Whittaker middle for no gain (tackle by Cory James),0.610,0.060
2,0:18,2,10,CAR 25,7,24,Fozzy Whittaker middle for 5 yards (tackle by Malcolm Smith),0.060,0.040
Quarter,Time,Down,ToGo,Location,CAR,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 35,7,24,"Graham Gano kicks off 61 yards, returned by Jalen Richard for 18 yards (tackle by David Mayo)",0.000,-0.410
3,14:56,1,10,OAK 22,7,24,Derek Carr pass complete short right to Michael Crabtree for 9 yards (tackle by James Bradberry),0.410,1.080
3,14:18,2,1,OAK 31,7,24,"Derek Carr for no gain. Derek Carr fumbles, recovered by Thomas Davis at OAK-30",1.080,-3.580
3,14:12,1,10,OAK 30,7,24,Ted Ginn left end for 13 yards (tackle by Reggie Nelson),3.580,4.440
3,13:43,1,10,OAK 17,7,24,Jonathan Stewart middle for 3 yards (tackle by Cory James and Bruce Irvin),4.440,4.320
3,12:57,2,7,OAK 14,7,24,Jonathan Stewart middle for 11 yards (tackle by Khalil Mack and Karl Joseph),4.320,6.510
3,12:15,1,3,OAK 3,7,24,Jonathan Stewart right end for no gain (tackle by Malcolm Smith and Reggie Nelson),6.510,5.530
3,11:44,2,3,OAK 3,7,24,"Cam Newton pass incomplete short middle intended for Devin Funchess. Penalty on D.J. Hayden: Defensive Pass Interference, 2 yards (no play)",5.530,6.970
3,11:40,1,1,OAK 1,7,24,Jonathan Stewart middle for no gain. Penalty on Bruce Irvin: Defensive Offside (no play),6.970,6.970
3,11:17,1,1,OAK 1,7,24,Jonathan Stewart left guard for no gain (tackle by Daren Bates and Reggie Nelson),6.970,5.910
3,10:37,2,1,OAK 1,13,24,"Jonathan Stewart left tackle for 1 yard, touchdown",5.910,7.000
3,10:33,,,OAK 15,13,24,"Graham Gano kicks extra point no good, blocked by Denico Autry",0.000,-1.000
3,10:33,,,CAR 35,13,24,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
3,10:33,1,10,OAK 25,13,24,Latavius Murray left end for 4 yards (tackle by Daryl Worley),0.610,0.600
3,9:53,2,6,OAK 29,13,24,Latavius Murray right guard for 4 yards (tackle by Thomas Davis),0.600,0.430
3,9:15,3,2,OAK 33,13,24,"Latavius Murray left tackle for no gain (tackle by Thomas Davis). Penalty on OAK: Illegal Shift, 5 yards (no play)",0.430,-0.230
3,8:58,3,7,OAK 28,13,24,Matt McGloin pass incomplete,-0.230,-1.500
3,8:53,4,7,OAK 28,13,24,"Marquette King punts 56 yards, returned by Ted Ginn for 19 yards (tackle by James Cowser). Penalty on Jeremy Cash: Offensive Holding, 8 yards",-1.500,0.380
3,8:40,1,10,CAR 8,13,24,Jonathan Stewart middle for 4 yards (tackle by Dan Williams),-0.380,-0.490
3,7:57,2,6,CAR 12,13,24,Cam Newton pass incomplete short left intended for Kelvin Benjamin (defended by Sean Smith),-0.490,-0.950
3,7:53,3,6,CAR 12,19,24,"Cam Newton pass complete deep middle to Ted Ginn for 88 yards, touchdown",-0.950,7.000
3,7:43,,,OAK 2,19,24,"Two Point Attempt: Cam Newton pass incomplete intended for Corey Brown, conversion fails",0.000,-1.000
3,7:43,,,CAR 35,19,24,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
3,7:43,1,10,OAK 25,19,24,Derek Carr pass complete short middle to Clive Walford for 17 yards (tackle by Kurt Coleman),0.610,1.730
3,7:02,1,10,OAK 42,19,24,Derek Carr pass complete short left to Amari Cooper for 3 yards (tackle by Daryl Worley),1.730,1.590
3,6:36,2,7,OAK 45,19,24,Jalen Richard middle for 5 yards (tackle by Tre Boston),1.590,1.550
3,5:56,3,2,,19,24,Derek Carr pass complete short right to Michael Crabtree for 3 yards (tackle by Kurt Coleman),1.550,2.460
3,5:20,1,10,CAR 47,19,24,Jalen Richard left guard for -3 yards (tackle by Paul Soliai),2.460,1.510
3,4:40,2,13,,19,24,Derek Carr pass incomplete short middle intended for Amari Cooper is intercepted by Thomas Davis at CAR-41 and returned for 31 yards,1.510,-3.710
3,4:29,1,10,OAK 28,19,24,Cam Newton pass complete short right to Greg Olsen for 5 yards (tackle by Reggie Nelson),3.710,3.840
3,4:03,2,5,OAK 23,19,24,Jonathan Stewart middle for 7 yards (tackle by Karl Joseph and Malcolm Smith),3.840,4.510
3,3:22,1,10,OAK 16,19,24,Jonathan Stewart middle for no gain (tackle by Bruce Irvin and Darius Latham),4.510,3.900
3,2:44,2,10,OAK 16,19,24,Cam Newton pass complete short left to Ted Ginn for 13 yards (tackle by Bruce Irvin),3.900,6.510
3,1:51,1,3,OAK 3,25,24,"Jonathan Stewart middle for 3 yards, touchdown",6.510,7.000
3,1:46,,,OAK 2,25,24,"Two Point Attempt: Cam Newton pass incomplete intended for Greg Olsen, conversion fails",0.000,-1.000
3,1:46,,,CAR 35,25,24,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
3,1:46,1,10,OAK 25,25,24,Derek Carr pass incomplete short left intended for Latavius Murray,0.610,0.060
3,1:41,2,10,OAK 25,25,24,Derek Carr pass incomplete short left intended for Seth Roberts,0.060,-0.620
3,1:37,3,10,OAK 25,25,24,Derek Carr pass incomplete short left intended for Amari Cooper (defended by Daryl Worley),-0.620,-1.700
3,1:31,4,10,OAK 25,25,24,"Marquette King punts 51 yards, fair catch by Ted Ginn",-1.700,-0.540
3,1:23,1,10,CAR 24,25,24,Cam Newton pass incomplete short left intended for Ted Ginn (defended by Bruce Irvin),0.540,0.000
3,1:21,2,10,CAR 24,25,24,Fozzy Whittaker left end for 5 yards (tackle by Cory James),0.000,-0.030
3,0:34,3,5,CAR 29,25,24,"Cam Newton pass incomplete deep right intended for Greg Olsen. Penalty on D.J. Hayden: Defensive Holding, 5 yards (no play)",-0.030,1.200
3,0:28,1,10,CAR 34,25,24,Jonathan Stewart middle for 2 yards (tackle by Khalil Mack and Justin Ellis),1.200,0.930
Quarter,Time,Down,ToGo,Location,CAR,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,CAR 36,25,24,Cam Newton pass complete short right to Greg Olsen for 12 yards (tackle by Malcolm Smith),0.930,2.130
4,14:21,1,10,CAR 48,25,24,Cam Newton pass incomplete short left intended for Kelvin Benjamin,2.130,1.580
4,14:16,2,10,CAR 48,25,24,Cam Newton pass complete short right to Devin Funchess for 8 yards (tackle by Antonio Hamilton),1.580,1.950
4,13:34,3,2,OAK 44,31,24,"Cam Newton pass complete deep left to Kelvin Benjamin for 44 yards, touchdown",1.950,7.000
4,13:26,,,OAK 15,32,24,Graham Gano kicks extra point good,0.000,0.000
4,13:26,,,CAR 35,32,24,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
4,13:26,1,10,OAK 25,32,24,Derek Carr pass complete short left to Michael Crabtree for 9 yards (tackle by Daryl Worley),0.610,1.280
4,12:56,2,1,OAK 34,32,24,Latavius Murray middle for 3 yards (tackle by Kurt Coleman),1.280,1.400
4,12:24,1,10,OAK 37,32,24,"Jalen Richard right end for 9 yards (tackle by A.J. Klein). Penalty on A.J. Klein: Face Mask (15 Yards), 15 yards",1.400,2.980
4,11:59,1,10,CAR 39,32,24,Derek Carr pass complete short middle to Latavius Murray for 5 yards (tackle by A.J. Klein),2.980,3.120
4,11:22,2,5,CAR 34,32,24,Latavius Murray left guard for 2 yards (tackle by Daryl Worley and Kawann Short),3.120,2.680
4,10:43,3,3,CAR 32,32,24,Derek Carr pass complete short right to Michael Crabtree for 7 yards (tackle by James Bradberry),2.680,3.910
4,10:07,1,10,CAR 25,32,24,Jalen Richard left end for -1 yards (tackle by Kawann Short),3.910,3.230
4,9:29,2,11,CAR 26,32,24,Derek Carr pass incomplete deep right intended for Michael Crabtree,3.230,2.540
4,9:23,3,11,CAR 26,32,24,Derek Carr pass complete short right to Clive Walford for 14 yards (tackle by Kurt Coleman),2.540,4.780
4,8:42,1,10,CAR 12,32,30,"Derek Carr pass complete short middle to Clive Walford for 12 yards, touchdown",4.780,7.000
4,8:37,,,CAR 2,32,32,"Two Point Attempt: Derek Carr pass complete to Seth Roberts, conversion succeeds",0.000,1.000
4,8:37,,,OAK 35,32,32,"Sebastian Janikowski kicks off 63 yards, returned by Fozzy Whittaker for 18 yards (tackle by Brynden Trawick)",0.000,-0.280
4,8:31,1,10,CAR 20,32,32,Cam Newton pass complete short middle to Ted Ginn for 11 yards (tackle by Antonio Hamilton),0.280,1.000
4,7:55,1,10,CAR 31,32,32,Jonathan Stewart middle for 3 yards (tackle by Dan Williams),1.000,0.870
4,7:16,2,7,CAR 34,32,32,"Cam Newton pass complete short right to Greg Olsen for 8 yards (tackle by T.J. Carrie). Penalty on Andrew Norwell: Offensive Holding, 10 yards (no play)",0.870,-0.490
4,6:41,2,17,CAR 24,32,32,Cam Newton pass complete short middle to Mike Tolbert for 7 yards (tackle by Jihad Ward and Malcolm Smith),-0.490,-0.230
4,5:56,3,10,CAR 31,32,32,Cam Newton pass complete short right to Kelvin Benjamin for 9 yards (tackle by Sean Smith),-0.230,-0.720
4,5:15,4,1,CAR 40,32,32,"Michael Palardy punts 49 yards, returned by Jalen Richard for 2 yards (tackle by Robert McClain)",-0.720,0.320
4,5:05,1,10,OAK 13,32,32,Derek Carr right end for -4 yards (tackle by James Bradberry),-0.320,-1.070
4,5:00,2,14,OAK 9,32,32,Derek Carr pass complete short left to Seth Roberts for 5 yards (tackle by Thomas Davis),-1.070,-1.300
4,4:15,3,9,OAK 14,32,32,Derek Carr pass complete deep middle to Michael Crabtree for 49 yards (tackle by A.J. Klein). Penalty on A.J. Klein: Defensive Pass Interference (Declined),-1.300,3.120
4,4:07,1,10,CAR 37,32,32,Latavius Murray middle for 5 yards (tackle by Kony Ealy),3.120,3.250
4,3:25,2,5,CAR 32,32,32,Derek Carr pass complete short left to Michael Crabtree for 15 yards (tackle by Daryl Worley),3.250,4.440
4,3:20,1,10,CAR 17,32,32,Latavius Murray middle for 7 yards (tackle by Daryl Worley),4.440,5.100
4,2:35,2,3,CAR 10,32,32,Latavius Murray middle for 2 yards (tackle by James Bradberry and Kurt Coleman),5.100,0.000
4,2:29,,,,32,32,Timeout #1 by Carolina Panthers,0.000,-4.800
4,2:29,3,1,CAR 8,32,32,Latavius Murray middle for 2 yards (tackle by Thomas Davis),4.800,5.830
4,2:00,1,6,CAR 6,32,32,Latavius Murray middle for 1 yard (tackle by Kawann Short and Daryl Worley),5.830,0.000
4,1:55,,,,32,32,Timeout #2 by Carolina Panthers,0.000,-5.150
4,1:55,2,5,CAR 5,32,32,Derek Carr pass incomplete short middle intended for Andre Holmes,5.150,4.260
4,1:51,3,5,CAR 5,32,32,Derek Carr pass incomplete short middle intended for Michael Crabtree,4.260,3.010
4,1:47,4,5,CAR 5,32,35,Sebastian Janikowski 23 yard field goal good,3.010,3.000
4,1:45,,,OAK 35,32,35,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.610
4,1:45,1,10,CAR 25,32,35,Cam Newton pass complete short right to Greg Olsen for 20 yards (tackle by Antonio Hamilton),0.610,1.930
4,1:20,1,10,CAR 45,32,35,Cam Newton pass complete short right to Devin Funchess for 11 yards (tackle by Sean Smith),1.930,2.650
4,1:15,1,10,OAK 44,32,35,Cam Newton pass incomplete short right intended for Ted Ginn,2.650,2.110
4,1:10,2,10,OAK 44,32,35,Cam Newton pass incomplete,2.110,0.000
4,1:05,,,,32,35,Timeout #3 by Carolina Panthers,0.000,-1.420
4,1:05,3,10,OAK 44,32,35,Cam Newton pass incomplete deep middle intended for Greg Olsen,1.420,0.330
4,1:00,4,10,OAK 44,32,35,"Cam Newton sacked by Khalil Mack for -9 yards. Cam Newton fumbles (forced by Khalil Mack), recovered by Khalil Mack at CAR-45 (tackle by Chris Scott)",0.330,-2.590
4,0:53,1,10,CAR 45,32,35,Derek Carr kneels for -5 yards,2.590,1.370
4,0:28,2,15,,32,35,Derek Carr kneels for -4 yards,1.370,0.170
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
