Unnamed: 0,CAR,OAK
First Downs,19,22
Rush-Yds-TDs,25-129-3,31-56-1
Cmp-Att-Yd-TD-INT,14-29-246-2-1,26-39-315-2-1
Sacked-Yards,2-17,1-5
Net Pass Yards,229,310
Total Yards,358,366
Fumbles-Lost,2-1,2-1
Turnovers,2,2
Penalties-Yards,7-67,7-46
Third Down Conv.,3-10,8-15
Fourth Down Conv.,0-1,0-0
Time of Possession,26:23,33:37
