Unnamed: 0,TEN,MIA
First Downs,11,19
Rush-Yds-TDs,25-92-0,38-192-1
Cmp-Att-Yd-TD-INT,19-37-166-1-2,14-30-151-2-1
Sacked-Yards,4-24,3-21
Net Pass Yards,142,130
Total Yards,234,322
Fumbles-Lost,3-1,4-1
Turnovers,3,2
Penalties-Yards,5-28,4-30
Third Down Conv.,4-16,6-17
Fourth Down Conv.,0-1,0-0
Time of Possession,31:48,28:12
