Unnamed: 0,SEA,GNB
First Downs,15,22
Rush-Yds-TDs,16-75-0,32-106-2
Cmp-Att-Yd-TD-INT,20-40-161-0-2,23-37-292-0-1
Sacked-Yards,3-28,1-5
Net Pass Yards,133,287
Total Yards,208,393
Fumbles-Lost,0-0,1-0
Turnovers,2,1
Penalties-Yards,5-39,3-43
Third Down Conv.,7-15,7-14
Fourth Down Conv.,0-1,0-1
Time of Possession,20:51,39:09
