Quarter,Time,Tm,Detail,DAL,WAS
2.0,7:59,Cowboys,Jason Witten 9 yard pass from Tony Romo (Dan Bailey kick),7,0
,3:28,Redskins,Alfred Morris 17 yard rush (Kai Forbath kick),7,7
3.0,3:10,Redskins,Robert Griffin III 10 yard rush (Kai Forbath kick),7,14
4.0,14:09,Cowboys,Dan Bailey 48 yard field goal,10,14
,10:32,Redskins,Alfred Morris 32 yard rush (Kai Forbath kick),10,21
,5:50,Cowboys,Kevin Ogletree 10 yard pass from Tony Romo (Dwayne Harris pass from Tony Romo),18,21
,1:09,Redskins,Alfred Morris 1 yard rush (Kai Forbath kick),18,28
