Unnamed: 0,DAL,WAS
First Downs,20,24
Rush-Yds-TDs,22-100-0,42-274-4
Cmp-Att-Yd-TD-INT,20-37-218-2-3,9-18-100-0-0
Sacked-Yards,2-22,1-13
Net Pass Yards,196,87
Total Yards,296,361
Fumbles-Lost,0-0,1-0
Turnovers,3,0
Penalties-Yards,1-6,2-20
Third Down Conv.,7-13,5-11
Fourth Down Conv.,0-0,0-0
Time of Possession,26:34,33:26
