Quarter,Time,Down,ToGo,Location,DAL,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,DAL 30,0,0,"Nick Folk kicks off 63 yards, returned by Ahmad Bradshaw for 18 yards (tackle by Deon Anderson)",0.000,0.610
1,14:54,1,10,NYG 25,0,0,Eli Manning pass complete short right to Kevin Boss for 8 yards (tackle by Greg Ellis),0.610,1.140
1,14:18,2,2,NYG 33,0,0,Brandon Jacobs up the middle for -2 yards (tackle by Zach Thomas),1.140,0.170
1,13:38,3,4,NYG 31,0,0,Eli Manning pass complete short middle to Steve Smith for 5 yards (tackle by Alan Ball). Penalty on Greg Ellis: Defensive Offside (Declined),0.170,1.330
1,13:12,1,10,NYG 36,0,0,Brandon Jacobs right guard for 1 yard (tackle by Bradie James),1.330,0.930
1,12:28,2,9,NYG 37,0,0,Eli Manning pass complete short left to Amani Toomer for 15 yards (tackle by Anthony Henry),0.930,2.390
1,11:48,1,10,DAL 48,0,0,Eli Manning pass complete deep middle to Plaxico Burress for 22 yards (tackle by Greg Ellis),2.390,3.840
1,11:07,1,10,DAL 26,0,0,Brandon Jacobs left guard for 4 yards (tackle by Stephen Bowen and Greg Ellis),3.840,3.840
1,10:29,2,6,DAL 22,0,0,Brandon Jacobs right guard for 5 yards (tackle by Marcus R. Spears and Stephen Bowen),3.840,3.950
1,9:51,3,1,DAL 17,0,0,Derrick Ward right tackle for 4 yards (tackle by Zach Thomas),3.950,4.710
1,8:59,,,,0,0,Timeout #1 by Dallas Cowboys,0.000,4.710
1,8:59,1,10,DAL 13,0,0,Eli Manning pass incomplete short middle intended for Derrick Ward,4.710,4.050
1,8:53,2,10,DAL 13,0,6,"Eli Manning pass complete short right to Kevin Boss for 13 yards, touchdown",4.050,7.000
1,,,,DAL 2,0,7,John Carney kicks extra point good,0.000,0.000
1,,,,NYG 30,0,7,"John Carney kicks off 56 yards, returned by Miles Austin for 25 yards (tackle by Ahmad Bradshaw)",0.000,1.530
1,8:41,1,10,DAL 39,0,7,Brad Johnson pass incomplete short right intended for Patrick Crayton,1.530,0.990
1,8:36,2,10,DAL 39,0,7,Marion Barber left guard for 4 yards (tackle by Barry Cofield),0.990,0.830
1,8:02,3,6,DAL 43,0,7,Brad Johnson pass complete short right to Patrick Crayton for 15 yards (tackle by Aaron Ross),0.830,2.790
1,7:36,1,10,NYG 42,0,7,Marion Barber left guard for no gain (tackle by Danny Clark),2.790,2.240
1,7:01,2,10,NYG 42,0,7,Brad Johnson pass complete short right to Terrell Owens for 8 yards (tackle by Aaron Ross),2.240,2.610
1,6:22,3,2,NYG 34,0,7,Marion Barber left guard for -3 yards (tackle by Fred Robbins),2.610,0.790
1,5:43,4,5,NYG 37,0,7,"Sam Paulescu punts 25 yards, fair catch by Domenik Hixon",0.790,0.350
1,5:33,1,10,NYG 12,0,7,Eli Manning pass incomplete short right intended for Madison Hedgecock,-0.350,-0.780
1,5:28,2,10,NYG 12,0,7,Brandon Jacobs up the middle for 3 yards (tackle by Zach Thomas and Bradie James),-0.780,-1.070
1,4:49,3,7,NYG 15,0,7,Eli Manning pass incomplete short right intended for Derrick Ward,-1.070,-2.440
1,4:39,4,7,NYG 15,0,7,"Jeff Feagles punts 27 yards, out of bounds. Penalty on Jason Hatcher: Defensive Offside, 5 yards (no play)",-2.440,-2.030
1,4:29,4,2,NYG 20,0,7,"Jeff Feagles punts 44 yards, returned by Patrick Crayton for 6 yards (tackle by Domenik Hixon)",-2.030,-1.730
1,4:19,1,10,DAL 42,0,7,Brad Johnson pass incomplete deep middle intended for Jason Witten,1.730,1.190
1,4:12,2,10,DAL 42,0,7,Marion Barber up the middle for 5 yards (tackle by Justin Tuck),1.190,1.160
1,3:30,3,5,DAL 47,0,7,--,1.160,3.910
1,3:03,1,10,NYG 25,0,7,Brad Johnson pass incomplete short left intended for Terrell Owens is intercepted by Corey Webster at NYG-16 and returned for 57 yards (tackle by Patrick Crayton),3.910,-3.780
1,2:48,1,10,DAL 27,0,7,"Penalty on Jay Ratliff: Encroachment, 5 yards (no play)",3.780,4.510
1,2:48,1,5,DAL 22,0,7,Derrick Ward right tackle for 1 yard (tackle by Jay Ratliff),4.510,4.040
1,2:16,2,4,DAL 21,0,7,Derrick Ward left guard for 4 yards (tackle by Zach Thomas and Bradie James),4.040,4.440
