Quarter,Time,Tm,Detail,DAL,NYG
1.0,8:47,Giants,Kevin Boss 13 yard pass from Eli Manning (John Carney kick),0,7
,0:41,Giants,Steve Smith 5 yard pass from Eli Manning (John Carney kick),0,14
2.0,8:38,Cowboys,Mike Jenkins 23 yard interception return (Nick Folk kick),7,14
,1:28,Giants,Amani Toomer 11 yard pass from Eli Manning (John Carney kick),7,21
3.0,13:16,Giants,Brandon Jacobs 12 yard rush (John Carney kick),7,28
4.0,14:07,Cowboys,Terrell Owens 8 yard pass from Brooks Bollinger (Nick Folk kick),14,28
,8:20,Giants,Derrick Ward 17 yard rush (John Carney kick),14,35
