#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,NYG 25,11,6:13,75,Touchdown
2,1,5:33,NYG 12,3,1:14,8,Punt
3,1,2:48,DAL 27,5,2:07,27,Touchdown
4,2,14:27,NYG 25,5,3:02,-9,Fumble
5,2,10:40,NYG 6,4,2:02,13,Interception
6,2,8:38,NYG 27,8,4:06,23,Punt
7,2,2:48,NYG 48,6,1:20,52,Touchdown
8,2,0:48,NYG 18,2,0:48,17,End of Half
9,3,14:06,DAL 18,2,0:50,18,Touchdown
10,3,11:28,DAL 48,3,2:10,3,Punt
11,3,7:45,DAL 30,1,0:14,0,Fumble
12,4,14:07,NYG 33,9,5:47,67,Touchdown
13,4,6:50,NYG 30,6,4:20,15,Punt
