Quarter,Time,Down,ToGo,Location,KAN,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,
1,15:00,,,KAN 30,0,0,"Jason Baker kicks off 60 yards, returned by Brandon Bennett for 18 yards (tackle by Gary Stills)",0.000,0.810
1,14:56,1,10,CIN 28,0,0,Jon Kitna pass incomplete intended for Tony Stewart (defended by Shawn Barber),0.810,0.260
1,14:50,2,10,CIN 28,0,0,Peter Warrick left end for 11 yards (tackle by Mike Maslowski),0.260,1.530
1,14:26,1,10,CIN 39,0,0,Rudi Johnson left tackle for 2 yards (tackle by John Browning),1.530,1.260
1,13:52,2,8,CIN 41,0,0,Rudi Johnson right tackle for 5 yards (tackle by John Browning),1.260,1.220
1,13:21,3,3,CIN 46,0,0,Jon Kitna pass complete to Rudi Johnson for 2 yards (tackle by Eric Warfield),1.220,-0.190
1,12:42,4,1,CIN 48,0,0,"Kyle Richardson punts 30 yards, returned by Dante Hall for 26 yards (tackle by Rogers Beckett)",-0.190,-2.130
1,12:27,1,10,KAN 48,0,0,Priest Holmes left guard for 2 yards (tackle by Brian Simmons),2.130,1.850
1,11:50,2,8,CIN 50,0,0,Trent Green pass incomplete intended for Johnnie Morton,1.850,1.160
1,11:43,3,8,CIN 50,0,0,Trent Green pass incomplete intended for Tony Gonzalez,1.160,-0.060
1,11:35,4,8,CIN 50,0,0,Jason Baker punts 28 yards,-0.060,-0.410
1,11:28,1,10,CIN 22,0,0,Corey Dillon right tackle for 2 yards (tackle by Ryan Sims),0.410,0.140
1,10:57,2,8,CIN 24,0,0,Jon Kitna pass complete to Corey Dillon for 9 yards (tackle by Shawn Barber),0.140,1.140
1,10:16,1,10,CIN 33,0,0,Rudi Johnson right tackle for 4 yards (tackle by Scott Fujita and Mike Maslowski),1.140,1.130
1,9:36,2,6,CIN 37,0,0,Jon Kitna pass complete to Matt Schobel for 5 yards (tackle by Jerome Woods),1.130,1.090
1,8:54,3,1,CIN 42,0,0,Rudi Johnson left guard for no gain (tackle by Eric Hicks),1.090,-0.590
1,8:16,4,1,CIN 42,0,0,"Kyle Richardson punts 38 yards, returned by Dante Hall for 28 yards (tackle by Brandon Bennett)",-0.590,-2.130
1,8:03,1,10,KAN 48,0,0,Trent Green pass complete to Dante Hall for 4 yards (tackle by Artrell Hawkins),2.130,2.120
1,7:22,2,6,CIN 48,0,0,Priest Holmes left end for no gain (tackle by Tony Williams),2.120,1.420
1,6:39,3,6,CIN 48,0,0,Trent Green pass incomplete intended for Dante Hall,1.420,0.070
1,6:36,4,6,CIN 48,0,0,"Jason Baker punts 39 yards, returned by Peter Warrick for 12 yards (tackle by Shaunard Harts)",0.070,-0.340
1,6:19,1,10,CIN 21,0,0,Rudi Johnson right tackle for 8 yards (tackle by Jerome Woods),0.340,0.880
1,5:43,2,2,CIN 29,0,0,Jon Kitna pass complete to Peter Warrick for 5 yards (tackle by Mike Maslowski),0.880,1.200
1,5:00,1,10,CIN 34,0,0,Jon Kitna pass incomplete,1.200,0.660
1,4:49,2,10,CIN 34,0,0,Corey Dillon right guard for 10 yards (tackle by Eric Warfield),0.660,1.860
1,4:04,1,10,CIN 44,0,0,Corey Dillon left tackle for 2 yards (tackle by Ryan Sims),1.860,1.590
1,3:25,2,8,CIN 46,0,0,Rudi Johnson right guard for 3 yards (tackle by Mike Maslowski and Scott Fujita),1.590,1.290
1,2:52,,,,0,0,Timeout #1 by Kansas City Chiefs,0.000,1.290
1,2:52,3,5,CIN 49,0,0,Jon Kitna pass incomplete intended for Matt Schobel,1.290,-0.130
1,2:47,4,5,CIN 49,0,0,"Kyle Richardson punts 43 yards. Penalty on Brandon Bennett: Offensive Holding, 10 yards, Penalty on Reggie Myles: Illegal Touch Kick (Declined) (no play)",-0.130,-0.780
1,2:35,4,15,CIN 39,0,0,"Kyle Richardson punts 38 yards, returned by Dante Hall for 13 yards (tackle by Reggie Myles)",-0.780,-1.330
1,2:25,1,10,KAN 36,0,0,Trent Green pass complete to Eddie Kennison for 17 yards (tackle by Artrell Hawkins),1.330,2.460
1,1:46,1,10,CIN 47,0,0,Priest Holmes right tackle for 1 yard (tackle by Glen Steele),2.460,2.050
1,1:09,2,9,CIN 46,0,0,Priest Holmes up the middle for 8 yards (tackle by Mark Roman and Rogers Beckett),2.050,2.410
1,0:36,3,1,CIN 38,0,0,"Penalty on Jason Dunn: False Start, 5 yards (no play)",2.410,1.750
1,0:15,3,6,CIN 43,0,0,Trent Green pass incomplete intended for Eddie Kennison,1.750,0.400
1,0:08,4,6,CIN 43,0,0,"Jason Baker punts 29 yards, fair catch by Peter Warrick",0.400,0.280
Quarter,Time,Down,ToGo,Location,KAN,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CIN 14,0,0,Jon Kitna sacked by Vonnie Holliday for -6 yards,-0.280,-1.220
2,14:26,2,16,CIN 8,0,0,Jon Kitna pass complete to Corey Dillon for 6 yards (tackle by Ryan Sims),-1.220,-1.400
2,13:41,3,10,CIN 14,0,0,Jon Kitna sacked by Greg Wesley for -5 yards,-1.400,-2.490
2,13:14,4,15,CIN 9,0,0,"Kyle Richardson punts 46 yards, muffed catch by Dante Hall, recovered by Dante Hall and returned for -2 yards (tackle by Riall Johnson). Penalty on Khalid Abdullah: Ineligible Downfield Kick, 4 yards (no play)",-2.490,-2.490
2,13:04,4,19,CIN 5,0,0,Kyle Richardson punts 37 yards,-2.490,-2.790
2,12:52,1,10,CIN 42,0,0,Eddie Kennison left end for 5 yards (tackle by Justin Smith and John Thornton),2.790,2.920
2,12:10,2,5,CIN 37,0,0,Priest Holmes left end for no gain (tackle by Carl Powell),2.920,2.210
2,11:28,3,5,CIN 37,0,0,Trent Green pass incomplete intended for Johnnie Morton (defended by Mark Roman),2.210,0.790
2,11:24,4,5,CIN 37,0,0,"Jason Baker punts 20 yards, fair catch by Peter Warrick",0.790,0.060
2,11:17,1,10,CIN 17,0,0,"Penalty on Willie Anderson: False Start, 5 yards (no play)",-0.060,-0.510
2,11:17,1,15,CIN 12,0,0,Jon Kitna pass complete to Chad Ochocinco for 16 yards (tackle by Greg Wesley),-0.510,0.810
2,10:41,1,10,CIN 28,0,0,Corey Dillon right end for 2 yards (tackle by Greg Wesley),0.810,0.530
2,10:07,2,8,CIN 30,0,0,Corey Dillon right end for 3 yards (tackle by Eric Hicks),0.530,0.230
2,9:24,,,,0,0,Timeout #1 by Cincinnati Bengals,0.000,0.230
2,9:24,3,5,CIN 33,0,0,Jon Kitna pass complete to Peter Warrick for 7 yards (tackle by Dexter McCleon),0.230,1.600
