Unnamed: 0,KAN,CIN
First Downs,20,21
Rush-Yds-TDs,17-67-0,33-200-0
Cmp-Att-Yd-TD-INT,28-42-313-2-0,19-32-233-2-0
Sacked-Yards,1-9,2-11
Net Pass Yards,304,222
Total Yards,371,422
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,4-25,5-33
Third Down Conv.,1-11,4-13
Fourth Down Conv.,0-0,0-0
Time of Possession,27:12,32:48
