Unnamed: 0,MIN,NOR
First Downs,23,19
Rush-Yds-TDs,25-81-1,27-111-2
Cmp-Att-Yd-TD-INT,26-39-286-1-1,20-28-236-1-0
Sacked-Yards,3-23,2-9
Net Pass Yards,263,227
Total Yards,344,338
Fumbles-Lost,0-0,2-2
Turnovers,1,2
Penalties-Yards,5-35,10-102
Third Down Conv.,5-14,4-10
Fourth Down Conv.,1-1,1-1
Time of Possession,32:13,27:47
