Quarter,Time,Tm,Detail,MIN,NOR
1.0,8:12,Vikings,Alexander Mattison 15 yard pass from Kirk Cousins (Greg Joseph kick),7,0
2.0,8:57,Saints,Chris Olave 4 yard pass from Andy Dalton (Wil Lutz kick),7,7
,1:04,Vikings,Greg Joseph 28 yard field goal,10,7
,0:00,Vikings,Greg Joseph 36 yard field goal,13,7
3.0,9:23,Vikings,Greg Joseph 24 yard field goal,16,7
,3:49,Saints,Latavius Murray 1 yard rush (Wil Lutz kick),16,14
4.0,14:14,Vikings,Greg Joseph 46 yard field goal,19,14
,9:29,Saints,Taysom Hill 2 yard rush (Jarvis Landry pass from Andy Dalton),19,22
,4:15,Vikings,Justin Jefferson 3 yard rush (Greg Joseph kick failed),25,22
,1:51,Saints,Wil Lutz 60 yard field goal,25,25
,0:24,Vikings,Greg Joseph 47 yard field goal,28,25
