Unnamed: 0,GNB,MIN
First Downs,16,14
Rush-Yds-TDs,26-47-0,23-90-0
Cmp-Att-Yd-TD-INT,24-42-347-2-0,18-30-257-1-1
Sacked-Yards,0-0,4-35
Net Pass Yards,347,222
Total Yards,394,312
Fumbles-Lost,0-0,3-1
Turnovers,0,2
Penalties-Yards,5-34,7-49
Third Down Conv.,9-19,6-15
Fourth Down Conv.,0-0,1-1
Time of Possession,33:39,26:21
