Quarter,Time,Down,ToGo,Location,PIT,MIN,Detail,EPB,EPA
1,4:12,1,10,PIT 17,0,0,Alexander Mattison left guard for 3 yards (tackle by Chris Wormley and Joe Schobert),,
1,3:37,2,7,PIT 14,0,6,"Kirk Cousins pass complete short right to Justin Jefferson for 14 yards, touchdown",,
1,3:31,,,PIT 15,0,6,Greg Joseph kicks extra point no good,,
1,3:31,,,MIN 35,0,6,"Greg Joseph kicks off 65 yards, touchback.",,
1,3:31,1,10,PIT 25,0,6,Diontae Johnson left end for 7 yards (tackle by Xavier Woods),,
1,2:41,2,3,PIT 32,0,6,"Chase Claypool right end for no gain. Chase Claypool fumbles (forced by Harrison Smith), recovered by Kenny Willekes at PIT-34 (tackle by Bashaud Breeland) Replay Assistant challenged the fumble ruling, and the original play was overturned. Chase Claypool right end for 2 yards (tackle by Bashaud Breeland and Nick Vigil)",,
1,2:35,3,1,PIT 34,0,6,Najee Harris left guard for -1 yards (tackle by Xavier Woods),,
1,1:55,4,2,PIT 33,0,6,"Pressley Harvin punts 40 yards, returned by Dede Westbrook for 16 yards (tackle by Ulysees Gilbert)",,
1,1:45,1,10,MIN 43,0,6,Kirk Cousins pass complete short left to Justin Jefferson for 18 yards (tackle by Cameron Sutton),,
1,1:14,1,10,PIT 39,0,6,Dalvin Cook left guard for 3 yards (tackle by Devin Bush),,
1,0:39,2,7,PIT 36,0,6,Dalvin Cook right end for 16 yards (tackle by Minkah Fitzpatrick),,
Quarter,Time,Down,ToGo,Location,PIT,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PIT 20,0,6,Kirk Cousins pass incomplete short middle intended for Alexander Mattison (defended by Devin Bush),,
2,14:57,2,10,PIT 20,0,6,Kirk Cousins pass incomplete short right intended for Dalvin Cook,,
2,14:52,3,10,PIT 20,0,6,Kirk Cousins pass incomplete deep middle intended for Justin Jefferson,,
2,14:47,4,10,PIT 20,0,9,Greg Joseph 38 yard field goal good,,
2,14:43,,,MIN 35,0,9,"Greg Joseph kicks off 65 yards, touchback.",,
2,14:43,1,10,PIT 25,0,9,Ben Roethlisberger sacked by Armon Watts for -9 yards,,
2,14:01,2,19,PIT 16,0,9,Najee Harris left end for 3 yards (tackle by Patrick Jones),,
2,13:17,3,16,PIT 19,0,9,Ben Roethlisberger pass incomplete short left intended for James Washington,,
2,13:11,4,16,PIT 19,0,9,"Pressley Harvin punts 49 yards, returned by Dede Westbrook for no gain (tackle by Buddy Johnson). Penalty on Josh Metellus: Offensive Holding, 10 yards (accepted)",,
2,13:01,1,10,MIN 22,0,9,Kirk Cousins pass complete deep left to Justin Jefferson for 22 yards (tackle by Cameron Sutton),,
2,12:23,1,10,MIN 44,0,9,Dalvin Cook right tackle for 15 yards (tackle by Minkah Fitzpatrick),,
2,11:44,1,10,PIT 41,0,9,"Alexander Mattison for no gain (tackle by Derrek Tuszka and Montravius Adams). Penalty on Garrett Bradbury: Offensive Holding, 10 yards (accepted) (no play)",,
2,11:17,1,20,MIN 49,0,9,Kirk Cousins pass complete short middle to Tyler Conklin for 19 yards (tackle by Devin Bush and Minkah Fitzpatrick),,
2,10:44,2,1,PIT 32,0,9,Alexander Mattison up the middle for 3 yards (tackle by Isaiahh Loudermilk and Devin Bush),,
2,10:04,1,10,PIT 29,0,15,"Dalvin Cook right end for 29 yards, touchdown",,
2,9:55,,,PIT 15,0,16,Greg Joseph kicks extra point good,,
2,9:55,,,MIN 35,0,16,"Penalty on Mason Cole: Unnecessary Roughness / Offense, 15 yards (accepted) (no play)",,
2,9:55,,,MIN 20,0,16,"Greg Joseph kicks off 69 yards, returned by Ray-Ray McCloud for 23 yards (tackle by Troy Dye). Penalty on Benny Snell: Illegal Wedge, 15 yards (accepted)",,
2,9:49,1,10,PIT 19,0,16,Ben Roethlisberger pass complete short right to Chase Claypool for 5 yards (tackle by Harrison Smith),,
2,9:14,2,5,PIT 24,0,16,Najee Harris left end for -2 yards (tackle by Eric Kendricks and Mackensie Alexander),,
2,8:28,3,7,PIT 22,0,16,Ben Roethlisberger sacked by Harrison Smith for -7 yards,,
2,7:46,4,14,PIT 15,0,16,Pressley Harvin punts 45 yards out of bounds,,
2,7:39,1,10,MIN 40,0,16,Kirk Cousins pass incomplete short middle intended for K.J. Osborn (defended by Terrell Edmunds),,
2,7:35,2,10,MIN 40,0,16,Dalvin Cook left end for 9 yards (tackle by Terrell Edmunds),,
2,6:59,3,1,MIN 49,0,16,Kirk Cousins pass incomplete deep right intended for Justin Jefferson,,
2,6:52,4,1,MIN 49,0,16,Kirk Cousins up the middle for 3 yards (tackle by Joe Schobert),,
2,6:26,1,10,PIT 48,0,16,Dalvin Cook left end for 3 yards (tackle by Chris Wormley),,
2,5:51,2,7,PIT 45,0,16,Kirk Cousins pass complete short left to Chris Herndon for 17 yards (tackle by Joe Schobert and Devin Bush),,
2,5:12,1,10,PIT 28,0,16,Dalvin Cook left end for no gain (tackle by Cameron Heyward),,
2,4:34,2,10,PIT 28,0,16,Kirk Cousins pass incomplete deep right intended for K.J. Osborn,,
2,4:28,,,,,,Timeout #2 by Pittsburgh Steelers,,
2,4:28,3,10,PIT 28,0,16,Kirk Cousins pass complete short middle to K.J. Osborn for 13 yards (tackle by Marcus Allen and Justin Layne),,
2,3:44,1,10,PIT 15,0,16,Dalvin Cook left guard for 1 yard (tackle by Devin Bush and Joe Schobert),,
2,3:04,2,9,PIT 14,0,16,Dalvin Cook left tackle for 7 yards (tackle by Joe Schobert),,
2,2:27,3,2,PIT 7,0,22,"Dalvin Cook right end for 7 yards, touchdown",,
2,2:20,,,PIT 15,0,23,Greg Joseph kicks extra point good,,
2,2:20,,,MIN 35,0,23,"Greg Joseph kicks off 65 yards, touchback.",,
2,2:20,1,10,PIT 25,0,23,"Najee Harris up the middle for 9 yards (tackle by Xavier Woods). Penalty on Xavier Woods: Horse Collar Tackle, 15 yards (accepted)",,
2,2:02,1,10,PIT 49,0,23,Ben Roethlisberger pass incomplete short right intended for Diontae Johnson (defended by Sheldon Richardson),,
2,2:00,2,10,PIT 49,0,23,"Najee Harris left end for 3 yards (tackle by Harrison Smith and Anthony Barr). Penalty on Diontae Johnson: Offensive Holding, 10 yards (accepted)",,
2,1:52,2,17,PIT 42,0,23,Ben Roethlisberger pass complete short right to Chase Claypool for 6 yards (tackle by Bashaud Breeland),,
2,1:48,3,11,PIT 48,0,23,Ben Roethlisberger sacked by Eric Kendricks for -9 yards,,
2,1:42,,,,,,Timeout #1 by Minnesota Vikings,,
2,1:42,4,20,PIT 39,0,23,"Pressley Harvin punts 49 yards, fair catch by Dede Westbrook at MIN-12",,
2,1:35,1,10,MIN 12,0,23,Kirk Cousins pass complete short left to Justin Jefferson for no gain (tackle by Cameron Sutton),,
2,1:02,2,10,MIN 12,0,23,Kirk Cousins pass incomplete short right intended for K.J. Osborn,,
2,0:57,3,10,MIN 12,0,23,Dalvin Cook right guard for 9 yards (tackle by Tre Norwood),,
2,0:51,,,,,,Timeout #3 by Pittsburgh Steelers,,
2,0:51,4,1,MIN 21,0,23,"Jordan Berry punts 46 yards, fair catch by Ray-Ray McCloud at PIT-33",,
2,0:44,1,10,PIT 33,0,23,Ben Roethlisberger pass complete short right to Diontae Johnson for 6 yards (tackle by Anthony Barr),,
2,0:19,2,4,PIT 39,0,23,"Penalty on Chukwuma Okorafor: False Start, 5 yards (accepted) (no play)",,
2,0:09,,,,,,Timeout #2 by Minnesota Vikings,,
2,0:09,2,9,PIT 34,0,23,Ben Roethlisberger pass complete short left to Pat Freiermuth for 17 yards (tackle by Eric Kendricks and Anthony Barr),,
Quarter,Time,Down,ToGo,Location,PIT,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,0,23,"Greg Joseph kicks off 65 yards, returned by Ray-Ray McCloud for 22 yards (tackle by Xavier Woods). Penalty on Miles Killebrew: Offensive Holding, 10 yards (accepted)",,
3,14:53,1,10,PIT 12,0,23,Najee Harris right guard for 4 yards (tackle by Anthony Barr and Eric Kendricks),,
3,14:13,2,6,PIT 16,0,23,Ben Roethlisberger pass incomplete short left intended for Diontae Johnson (defended by D.J. Wonnum),,
3,14:09,3,6,PIT 16,0,23,"Ben Roethlisberger pass complete short left to Najee Harris for no gain (tackle by Armon Watts). Penalty on D.J. Wonnum: Defensive Offside, 5 yards (accepted) (no play)",,
3,13:39,3,1,PIT 21,0,23,"Penalty on Trai Turner: False Start, 5 yards (accepted) (no play)",,
3,13:17,3,6,PIT 16,0,23,Ben Roethlisberger sacked by Sheldon Richardson for -8 yards,,
3,12:38,4,14,PIT 8,0,23,"Pressley Harvin punts 41 yards, returned by Dede Westbrook for 15 yards (tackle by Derek Watt)",,
3,12:25,1,10,PIT 34,0,23,Kirk Cousins pass complete short right to Tyler Conklin for 1 yard (tackle by Miles Killebrew),,
3,11:52,2,9,PIT 33,0,23,Dalvin Cook left end for 8 yards (tackle by Devin Bush),,
3,11:14,3,1,PIT 25,0,23,Alexander Mattison right guard for 5 yards (tackle by Terrell Edmunds),,
3,10:33,1,10,PIT 20,0,23,Justin Jefferson left end for -4 yards (tackle by Alex Highsmith and Cameron Heyward),,
3,9:50,2,14,PIT 24,0,23,Kirk Cousins pass incomplete short left intended for Dalvin Cook,,
3,9:45,3,14,PIT 24,0,23,Kirk Cousins pass incomplete short middle intended for K.J. Osborn,,
3,9:41,4,14,PIT 24,0,26,Greg Joseph 42 yard field goal good,,
3,9:36,,,MIN 35,0,26,"Greg Joseph kicks off 67 yards, returned by Ray-Ray McCloud for 17 yards (tackle by Kris Boyd and Cameron Dantzler)",,
3,9:31,1,10,PIT 15,0,26,Najee Harris up the middle for 4 yards (tackle by Anthony Barr and D.J. Wonnum),,
3,9:03,2,6,PIT 19,0,26,Najee Harris right tackle for 23 yards (tackle by Bashaud Breeland),,
3,8:32,1,10,PIT 42,0,26,Ben Roethlisberger pass short right intended for Diontae Johnson is intercepted by Bashaud Breeland at PIT-48 and returned for 18 yards (tackle by Najee Harris),,
3,8:22,1,10,PIT 30,0,26,Dalvin Cook right end for 7 yards (tackle by Isaiahh Loudermilk and Minkah Fitzpatrick),,
3,7:44,2,3,PIT 23,0,26,Dalvin Cook up the middle for 14 yards (tackle by Joe Schobert),,
3,7:06,1,9,PIT 9,0,26,"Kirk Cousins pass incomplete short middle intended for K.J. Osborn. Penalty on Minkah Fitzpatrick: Unnecessary Roughness / Defense, 5 yards (accepted) (no play)",,
3,7:02,1,4,PIT 4,0,26,Dalvin Cook up the middle for -3 yards (tackle by Montravius Adams),,
3,6:27,2,7,PIT 7,0,26,Kirk Cousins pass incomplete short right intended for Justin Jefferson,,
3,6:22,3,7,PIT 7,0,26,Kirk Cousins pass incomplete short right intended for Justin Jefferson (defended by Ahkello Witherspoon),,
3,6:18,4,7,PIT 7,0,29,Greg Joseph 25 yard field goal good,,
3,6:15,,,MIN 35,0,29,"Greg Joseph kicks off 65 yards, touchback.",,
3,6:15,1,10,PIT 25,0,29,Ben Roethlisberger pass incomplete short left intended for Ray-Ray McCloud (defended by D.J. Wonnum),,
3,6:12,2,10,PIT 25,0,29,Najee Harris right tackle for 8 yards (tackle by Eric Kendricks),,
3,5:47,3,2,PIT 33,0,29,Najee Harris right guard for 3 yards (tackle by Xavier Woods and Patrick Peterson),,
3,5:12,1,10,PIT 36,0,29,Ben Roethlisberger pass complete deep left to James Washington for 29 yards (tackle by Kris Boyd),,
3,4:29,1,10,MIN 35,0,29,Ben Roethlisberger pass complete short right to Ray-Ray McCloud for 5 yards (tackle by Eric Kendricks and Mackensie Alexander),,
3,4:04,2,5,MIN 30,0,29,"Ben Roethlisberger pass complete short right to Ray-Ray McCloud for no gain (tackle by Xavier Woods). Penalty on John Leglue: Ineligible Downfield Pass, 5 yards (accepted) (no play)",,
3,3:45,2,10,MIN 35,0,29,"Ben Roethlisberger pass complete short left to James Washington for -2 yards (tackle by Kris Boyd). Penalty on Kris Boyd: Taunting / Defense, 15 yards (accepted)",,
3,3:22,1,10,MIN 22,0,29,Najee Harris right end for 11 yards (tackle by Xavier Woods),,
3,2:57,1,10,MIN 11,0,29,Ben Roethlisberger pass complete short left to James Washington for 8 yards (tackle by Harrison Smith and Cameron Dantzler),,
3,2:21,2,2,MIN 3,0,29,Ben Roethlisberger pass incomplete short right intended for Diontae Johnson,,
3,2:15,3,2,MIN 3,6,29,"Ben Roethlisberger pass complete short left to Najee Harris for 3 yards, touchdown",,
3,2:11,,,MIN 15,7,29,Chris Boswell kicks extra point good,,
3,2:11,,,PIT 35,7,29,"Chris Boswell kicks off 65 yards, touchback.",,
3,2:11,1,10,MIN 25,7,29,Kirk Cousins pass deep right (defended by Devin Bush) intended for Justin Jefferson is intercepted by Ahkello Witherspoon at MIN-46 and returned for 4 yards (tackle by K.J. Osborn),,
3,2:03,1,10,MIN 42,7,29,Najee Harris left guard for 13 yards (tackle by Xavier Woods and Mackensie Alexander),,
3,1:35,1,10,MIN 29,7,29,Najee Harris left guard for 1 yard (tackle by James Lynch and Eric Kendricks),,
3,0:59,2,9,MIN 28,7,29,Ben Roethlisberger pass incomplete short left intended for Chase Claypool (defended by Cameron Dantzler),,
3,0:52,3,9,MIN 28,7,29,"Penalty on Mackensie Alexander: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
3,0:52,3,4,MIN 23,7,29,Ben Roethlisberger pass complete short right to Chase Claypool for 14 yards (tackle by Patrick Peterson),,
3,0:18,1,9,MIN 9,7,29,Ben Roethlisberger pass complete short right to Ray-Ray McCloud for 1 yard (tackle by Patrick Peterson),,
Quarter,Time,Down,ToGo,Location,PIT,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,MIN 8,7,29,Ben Roethlisberger pass incomplete short right intended for Diontae Johnson,,
4,14:55,3,8,MIN 8,7,29,"Ben Roethlisberger pass incomplete short left intended for Diontae Johnson. Penalty on Cameron Dantzler: Defensive Pass Interference, 7 yards (accepted) (no play)",,
4,14:52,1,1,MIN 1,13,29,"Najee Harris left guard for 1 yard, touchdown",,
4,14:49,,,MIN 15,14,29,Chris Boswell kicks extra point good,,
4,14:49,,,PIT 35,14,29,"Chris Boswell kicks off 65 yards, touchback.",,
4,14:49,1,10,MIN 25,14,29,Dalvin Cook left end for 5 yards (tackle by Taco Charlton),,
4,14:14,2,5,MIN 30,14,29,Dalvin Cook right tackle for -2 yards (tackle by Cameron Heyward),,
4,13:36,3,7,MIN 28,14,29,Kirk Cousins pass incomplete deep left intended for Justin Jefferson (defended by Minkah Fitzpatrick),,
4,13:28,4,7,MIN 28,14,29,"Jordan Berry punts 49 yards, returned by Ray-Ray McCloud for 8 yards (tackle by Troy Dye)",,
4,13:17,1,10,PIT 31,14,29,Najee Harris right end for 2 yards (tackle by Kris Boyd and Xavier Woods),,
4,12:45,2,8,PIT 33,14,29,"Ben Roethlisberger pass complete deep right to Diontae Johnson for 37 yards (tackle by Kris Boyd). Penalty on Kris Boyd: Defensive Pass Interference, 15 yards (declined)",,
4,12:17,1,10,MIN 30,20,29,"Ben Roethlisberger pass complete deep middle to James Washington for 30 yards, touchdown",,
4,12:11,,,MIN 2,20,29,Two Point Attempt: Ben Roethlisberger pass incomplete intended for to Diontae Johnson for no gain,,
4,12:11,,,PIT 35,20,29,"Chris Boswell kicks off 65 yards, touchback.",,
4,12:11,1,10,MIN 25,20,29,Dalvin Cook left tackle for 8 yards (tackle by Minkah Fitzpatrick),,
4,11:32,2,2,MIN 33,20,29,Dalvin Cook right guard for 5 yards (tackle by Cameron Heyward and Taco Charlton),,
4,11:01,1,10,MIN 38,20,35,"Kirk Cousins pass complete deep left to K.J. Osborn for 62 yards, touchdown",,
4,10:51,,,PIT 15,20,36,Greg Joseph kicks extra point good,,
4,10:51,,,MIN 35,20,36,"Greg Joseph kicks off 65 yards, touchback.",,
4,10:51,1,10,PIT 25,20,36,Najee Harris left tackle for 3 yards (tackle by D.J. Wonnum and Armon Watts),,
4,10:22,2,7,PIT 28,20,36,Najee Harris left guard for 6 yards (tackle by Eric Kendricks and Armon Watts),,
4,9:52,3,1,PIT 34,20,36,Najee Harris left end for -2 yards (tackle by Sheldon Richardson and James Lynch),,
4,9:02,4,3,PIT 32,20,36,"Penalty on PIT: Delay of Game, 5 yards (accepted) (no play)",,
4,9:02,4,8,PIT 27,20,36,Pressley Harvin punts 34 yards out of bounds,,
4,8:56,1,10,MIN 39,20,36,Dalvin Cook right guard for 4 yards (tackle by Devin Bush and Taco Charlton),,
4,8:13,2,6,MIN 43,20,36,Dalvin Cook right tackle for 1 yard (tackle by Cameron Heyward and Montravius Adams),,
4,7:26,3,5,MIN 44,20,36,Kirk Cousins scrambles up the middle for 11 yards (tackle by Taco Charlton),,
4,6:37,1,10,PIT 45,20,36,Dalvin Cook left guard for 2 yards (tackle by Derrek Tuszka and Cameron Heyward),,
4,5:53,2,8,PIT 43,20,36,Dalvin Cook left tackle for 4 yards (tackle by Henry Mondeaux),,
4,5:08,3,4,PIT 39,20,36,Kirk Cousins pass short right intended for K.J. Osborn is intercepted by Ahkello Witherspoon at PIT-38 and returned for 41 yards (tackle by Dede Westbrook),,
4,4:58,1,10,MIN 21,20,36,Ben Roethlisberger pass complete short middle to Ray-Ray McCloud for 6 yards (tackle by Anthony Barr),,
4,4:20,2,4,MIN 15,26,36,"Ben Roethlisberger pass complete short right to Pat Freiermuth for 15 yards, touchdown",,
4,4:14,,,MIN 2,28,36,Two Point Attempt: Ben Roethlisberger pass complete to to Diontae Johnson for no gain,,
4,4:14,,,PIT 35,28,36,"Chris Boswell kicks off 65 yards, touchback.",,
4,4:14,1,10,MIN 25,28,36,Dalvin Cook right tackle for -1 yards (tackle by Miles Killebrew and Terrell Edmunds),,
4,3:23,2,11,MIN 24,28,36,"Kirk Cousins pass complete short left to K.J. Osborn for 8 yards (tackle by Devin Bush). Penalty on Oli Udoh: Offensive Holding, 10 yards (accepted) (no play)",,
4,3:35,2,21,MIN 14,28,36,Kirk Cousins pass complete short middle to Justin Jefferson for 12 yards (tackle by Arthur Maulet),,
4,2:51,3,9,MIN 26,28,36,Kirk Cousins pass complete short middle to Dalvin Cook for 17 yards (tackle by Terrell Edmunds),,
4,2:38,,,,,,Timeout #1 by Pittsburgh Steelers,,
4,2:38,1,10,MIN 43,28,36,Alexander Mattison up the middle for no gain (tackle by Joe Schobert),,
4,2:34,,,,,,Timeout #2 by Pittsburgh Steelers,,
4,2:34,2,10,MIN 43,28,36,Alexander Mattison right guard for 2 yards (tackle by Ahkello Witherspoon),,
4,2:30,,,,,,Timeout #3 by Pittsburgh Steelers,,
4,2:30,3,8,MIN 45,28,36,Kirk Cousins pass incomplete short left intended for K.J. Osborn,,
4,2:26,4,8,MIN 45,28,36,Jordan Berry punts 51 yards downed by Troy Dye,,
4,2:16,1,10,PIT 4,28,36,Ben Roethlisberger pass complete short left to Najee Harris for 6 yards (tackle by Harrison Smith),,
4,2:11,2,4,PIT 10,28,36,"Ben Roethlisberger pass complete deep right to Chase Claypool for 38 yards (tackle by Bashaud Breeland). Penalty on Bashaud Breeland: Defensive Pass Interference, 15 yards (declined)",,
4,2:05,1,10,PIT 48,28,36,"Ben Roethlisberger pass complete short left to Chase Claypool for 2 yards (tackle by Patrick Peterson and Eric Kendricks). Penalty on John Leglue: Offensive Illegal Block Above the Waist, 10 yards (accepted)",,
4,2:00,1,18,PIT 40,28,36,Ben Roethlisberger pass complete short right to Najee Harris for 1 yard (tackle by Kenny Willekes),,
4,1:36,2,17,PIT 41,28,36,Ben Roethlisberger pass complete short right to Chase Claypool for 13 yards (tackle by Bashaud Breeland),,
4,1:09,3,4,MIN 46,28,36,Ben Roethlisberger pass complete short left to Ray-Ray McCloud for 3 yards (tackle by Mackensie Alexander and Anthony Barr),,
4,0:43,4,1,MIN 43,28,36,Ben Roethlisberger pass complete short right to Chase Claypool for 9 yards (tackle by Bashaud Breeland),,
4,0:26,1,10,MIN 34,28,36,Ben Roethlisberger spiked the ball,,
4,0:24,2,10,MIN 34,28,36,Ben Roethlisberger pass complete short left to Ray-Ray McCloud for 10 yards (tackle by Patrick Peterson),,
4,0:16,1,10,MIN 24,28,36,Ben Roethlisberger pass incomplete deep right intended for James Washington (defended by Xavier Woods),,
4,0:11,2,10,MIN 24,28,36,Ben Roethlisberger pass complete short middle to Diontae Johnson for 12 yards,,
4,0:03,1,10,MIN 12,28,36,Ben Roethlisberger pass incomplete short middle intended for Pat Freiermuth (defended by Harrison Smith),,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
