Unnamed: 0,PIT,MIN
First Downs,22,22
Rush-Yds-TDs,24-106-1,36-242-2
Cmp-Att-Yd-TD-INT,28-40-308-3-1,14-31-216-2-2
Sacked-Yards,5-39,0-0
Net Pass Yards,269,216
Total Yards,375,458
Fumbles-Lost,1-0,0-0
Turnovers,1,2
Penalties-Yards,10-85,11-102
Third Down Conv.,4-13,5-14
Fourth Down Conv.,2-2,1-1
Time of Possession,29:32,30:28
