Quarter,Time,Tm,Detail,PIT,MIN
1.0,3:31,Vikings,Justin Jefferson 14 yard pass from Kirk Cousins (Greg Joseph kick failed),0,6
2.0,14:43,Vikings,Greg Joseph 38 yard field goal,0,9
,9:55,Vikings,Dalvin Cook 29 yard rush (Greg Joseph kick),0,16
,2:20,Vikings,Dalvin Cook 7 yard rush (Greg Joseph kick),0,23
3.0,9:36,Vikings,Greg Joseph 42 yard field goal,0,26
,6:15,Vikings,Greg Joseph 25 yard field goal,0,29
,2:11,Steelers,Najee Harris 3 yard pass from Ben Roethlisberger (Chris Boswell kick),7,29
4.0,14:49,Steelers,Najee Harris 1 yard rush (Chris Boswell kick),14,29
,12:11,Steelers,James Washington 30 yard pass from Ben Roethlisberger (pass failed),20,29
,10:51,Vikings,K.J. Osborn 62 yard pass from Kirk Cousins (Greg Joseph kick),20,36
,4:14,Steelers,Pat Freiermuth 15 yard pass from Ben Roethlisberger (Diontae Johnson pass from Ben Roethlisberger),28,36
