Quarter,Time,Down,ToGo,Location,GNB,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss, Raiders to receive the opening kickoff.",,
1,15:00,,,GNB 30,0,0,"Ryan Longwell kicks off 63 yards, returned by Doug Gabriel for 24 yards (tackle by Najeh Davenport)",0.000,1.000
1,14:55,1,10,OAK 31,0,0,Rick Mirer pass complete to Jerry Rice for 12 yards (tackle by Michael Hawthorne),1.000,1.800
1,14:21,1,10,OAK 43,0,0,"Rick Mirer pass complete to Tim Brown for 8 yards (tackle by Michael Hawthorne). Penalty on Jerry Rice: Offensive Holding, 10 yards",1.800,1.660
1,14:01,1,12,OAK 41,0,0,Rick Mirer pass incomplete intended for Zack Crockett,1.660,0.980
1,13:47,2,12,OAK 41,0,0,Charlie Garner for 4 yards (tackle by Al Harris),0.980,0.830
1,13:21,3,8,OAK 45,0,0,Rick Mirer sacked by Kabeer Gbaja-Biamila for -2 yards,0.830,-0.520
1,13:03,4,10,OAK 43,0,0,"Shane Lechler punts 57 yards, touchback",-0.520,-0.280
1,12:53,1,10,GNB 20,0,0,Ahman Green up the middle for 10 yards (tackle by Derrick Gibson and Anthony Dorsett),0.280,0.940
1,12:20,1,10,GNB 30,0,0,Brett Favre pass complete to David Martin for -2 yards (tackle by Derrick Gibson),0.940,0.120
1,11:38,2,12,GNB 28,0,0,"Penalty on Mark Tauscher: False Start, 5 yards (no play)",0.120,-0.550
1,11:22,2,17,GNB 23,0,0,Ahman Green right tackle for 6 yards (tackle by Anthony Dorsett),-0.550,-0.430
1,10:46,3,11,GNB 29,0,0,Brett Favre pass complete to Robert Ferguson for 47 yards (tackle by Phillip Buchanon),-0.430,3.970
1,10:00,1,10,OAK 24,0,0,Ahman Green left guard for 2 yards (tackle by Napoleon Harris),3.970,3.700
1,9:25,2,8,OAK 22,6,0,"Brett Favre pass complete to Wesley Walls for 22 yards, touchdown",3.700,7.000
1,,,,,7,0,,0.000,0.000
1,,,,OAK 2,7,0,Ryan Longwell kicks extra point good,0.000,0.000
1,,,,GNB 30,7,0,"Ryan Longwell kicks off 62 yards, returned by Doug Gabriel for 57 yards (tackle by Torrance Marshall). Penalty on Larry Atkins: Offensive Holding, 10 yards",0.000,0.410
1,9:06,1,10,OAK 22,7,0,Rick Mirer pass complete to Teyo Johnson for no gain,0.410,-0.130
1,8:25,2,10,OAK 22,7,0,"Rick Mirer pass incomplete intended for Tim Brown. Penalty on Al Harris: Defensive Pass Interference, 3 yards (no play)",-0.130,0.610
1,8:20,1,10,OAK 25,7,0,Rick Mirer pass incomplete intended for Tim Brown,0.610,0.060
1,8:17,2,10,OAK 25,7,0,Rick Mirer pass complete to Chris Hetherington for 6 yards (tackle by Kabeer Gbaja-Biamila),0.060,0.170
1,7:54,3,4,OAK 31,7,0,Rick Mirer pass incomplete intended for Charlie Garner,0.170,-1.310
1,7:49,4,4,OAK 31,7,0,"Shane Lechler punts 38 yards, returned by Antonio Chatman for 16 yards (tackle by Chris Hetherington)",-1.310,-2.060
1,7:36,1,10,GNB 47,7,0,"Ahman Green left end for 2 yards (tackle by Derrick Gibson). Penalty on William Henderson: Offensive Holding, 10 yards (no play)",2.060,1.400
1,7:19,1,20,GNB 37,7,0,Brett Favre pass complete to Bubba Franks for 6 yards (tackle by Eric Barton),1.400,0.980
1,6:48,2,14,GNB 43,7,0,Ahman Green right tackle for 2 yards (tackle by Derrick Gibson and Lorenzo Bromell),0.980,0.560
1,6:06,3,12,GNB 45,7,0,Brett Favre pass complete to Tony Fisher for 32 yards (tackle by Terrance Shaw),0.560,4.040
1,5:23,1,10,OAK 23,13,0,"Brett Favre pass complete to Javon Walker for 23 yards, touchdown",4.040,7.000
1,,,,,14,0,,0.000,0.000
1,,,,OAK 2,14,0,Ryan Longwell kicks extra point good,0.000,0.000
1,,,,GNB 30,14,0,"Ryan Longwell kicks off 56 yards, returned by Doug Gabriel for 25 yards (tackle by Torrance Marshall)",0.000,1.530
1,5:11,1,10,OAK 39,14,0,Tyrone Wheatley left tackle for 4 yards (tackle by Hannibal Navies and Aaron Kampman),1.530,1.530
1,4:37,2,6,OAK 43,14,0,Tyrone Wheatley up the middle for 3 yards (tackle by Na'il Diggs),1.530,1.220
1,4:02,3,3,OAK 46,14,0,Rick Mirer pass complete to Charlie Garner for 14 yards (tackle by Curtis Fuller),1.220,2.920
1,3:23,1,10,GNB 40,14,0,Tyrone Wheatley up the middle for 8 yards (tackle by Na'il Diggs),2.920,3.450
1,2:50,2,2,GNB 32,14,0,Tyrone Wheatley left guard for 7 yards (tackle by Marques Anderson),3.450,3.910
