Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Brett Favre,GNB,22,30,399,4,0,1,7,47,154.9,0,0,0,,0,0,0,0,,0,
Ahman Green,GNB,0,0,0,0,0,,,,,24,127,1,19,2,1,2,0,2,0,
Najeh Davenport,GNB,0,0,0,0,0,,,,,5,18,0,7,1,1,3,0,3,0,
Tony Fisher,GNB,0,0,0,0,0,,,,,6,13,0,6,1,1,32,0,32,0,
Javon Walker,GNB,0,0,0,0,0,,,,,0,0,0,,4,4,124,2,46,0,
Robert Ferguson,GNB,0,0,0,0,0,,,,,0,0,0,,5,3,85,0,47,0,
Donald Driver,GNB,0,0,0,0,0,,,,,0,0,0,,4,3,78,0,41,0,
Bubba Franks,GNB,0,0,0,0,0,,,,,0,0,0,,3,3,23,0,15,0,
Wesley Walls,GNB,0,0,0,0,0,,,,,0,0,0,,3,1,22,1,22,0,
Antonio Freeman,GNB,0,0,0,0,0,,,,,0,0,0,,1,1,13,0,13,0,
Nick Luchey,GNB,0,0,0,0,0,,,,,0,0,0,,1,1,12,0,12,0,
David Martin,GNB,0,0,0,0,0,,,,,0,0,0,,3,2,4,1,6,0,
William Henderson,GNB,0,0,0,0,0,,,,,0,0,0,,1,1,1,0,1,0,
Craig Nall,GNB,0,0,0,0,0,,,,,2,-2,0,-1,0,0,0,0,,0,
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Rick Mirer,OAK,12,23,114,0,1,3,18,29,48.1,0,0,0,,0,0,0,0,,0,
Rob Johnson,OAK,6,13,54,0,1,1,6,15,25.8,2,15,0,14,0,0,0,0,,0,
Tee Martin,OAK,4,5,55,0,0,1,5,17,112.5,1,6,0,6,0,0,0,0,,1,1
Tyrone Wheatley,OAK,0,0,0,0,0,,,,,10,56,0,31,0,0,0,0,,0,
Charlie Garner,OAK,0,0,0,0,0,,,,,3,27,1,25,7,4,19,0,14,0,
Jerry Rice,OAK,0,0,0,0,0,,,,,0,0,0,,16,10,159,0,29,1,0
Tim Brown,OAK,0,0,0,0,0,,,,,0,0,0,,7,4,30,0,10,0,
Alvis Whitted,OAK,0,0,0,0,0,,,,,0,0,0,,4,1,8,0,8,0,
Chris Hetherington,OAK,0,0,0,0,0,,,,,0,0,0,,1,1,6,0,6,0,
Ronald Curry,OAK,0,0,0,0,0,,,,,0,0,0,,1,1,1,0,1,0,
O.J. Santiago,OAK,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,
Teyo Johnson,OAK,0,0,0,0,0,,,,,0,0,0,,2,1,0,0,0,0,
Zack Crockett,OAK,,,,,,,,,,,,,,1,0,0,0,,0,
