Quarter,Time,Tm,Detail,GNB,OAK
1.0,9:18,Packers,Wesley Walls 22 yard pass from Brett Favre (Ryan Longwell kick),7,0
,5:17,Packers,Javon Walker 23 yard pass from Brett Favre (Ryan Longwell kick),14,0
,2:03,Raiders,Charlie Garner 25 yard rush (Sebastian Janikowski kick),14,7
2.0,11:35,Packers,Ryan Longwell 31 yard field goal,17,7
,7:06,Packers,Javon Walker 43 yard pass from Brett Favre (Ryan Longwell kick),24,7
,0:54,Packers,David Martin 6 yard pass from Brett Favre (Ryan Longwell kick),31,7
3.0,13:00,Packers,Ryan Longwell 27 yard field goal,34,7
4.0,4:46,Packers,Ahman Green 7 yard rush (Ryan Longwell kick),41,7
