0,1
Game Info,Game Info
Won Toss,49ers (deferred)
Roof,outdoors
Surface,grass
Duration,3:06
Attendance,69732
Weather,"67 degrees, relative humidity 68%, wind 5 mph, wind chill 0"
Vegas Line,San Francisco 49ers -9.5
Over/Under,38.5 (under)
