Unnamed: 0,CLE,SFO
First Downs,18,19
Rush-Yds-TDs,23-66-0,39-174-1
Cmp-Att-Yd-TD-INT,22-34-241-1-1,15-24-177-1-0
Sacked-Yards,4-17,1-3
Net Pass Yards,224,174
Total Yards,290,348
Fumbles-Lost,5-1,1-0
Turnovers,2,0
Penalties-Yards,5-39,5-40
Third Down Conv.,6-14,6-15
Fourth Down Conv.,2-2,0-1
Time of Possession,27:08,32:52
