Quarter,Time,Down,ToGo,Location,MIN,OAK,Detail,EPB,EPA
2,14:50,2,10,OAK 40,0,7,Daunte Culpepper pass complete to Randy Moss for 12 yards (tackle by Charles Woodson),2.370,3.710
2,14:09,1,10,OAK 28,0,7,Moe Williams left end for 6 yards (tackle by Napoleon Harris),3.710,3.980
2,13:30,2,4,OAK 22,0,7,Moe Williams right end for 4 yards (tackle by Sean Gilbert and Terrance Shaw),3.980,4.370
2,12:49,1,10,OAK 18,0,7,Daunte Culpepper pass incomplete intended for Moe Williams,4.370,3.800
2,12:49,2,10,OAK 18,0,7,Moe Williams right tackle for 3 yards (tackle by Eric Barton and Chris Cooper),3.800,3.460
2,12:01,3,7,OAK 15,0,7,Daunte Culpepper sacked by Akbar Gbaja-Biamila for -2 yards,3.460,2.310
2,11:29,4,9,OAK 17,3,7,Aaron Elling 35 yard field goal good,2.310,3.000
2,,,,MIN 30,3,7,"Aaron Elling kicks off 65 yards, returned by Justin Fargas for 21 yards (tackle by Nick Rogers)",0.000,0.670
2,11:19,1,10,OAK 26,3,7,Rick Mirer pass complete to Tyrone Wheatley for 6 yards (tackle by Greg Biekert),0.670,0.940
2,10:43,2,4,OAK 32,3,7,Rick Mirer pass complete to Chris Hetherington for 17 yards (tackle by Brian Williams),0.940,2.190
2,10:03,1,10,OAK 49,3,7,Tyrone Wheatley right guard for 2 yards (tackle by Corey Chavous),2.190,1.920
2,9:30,2,8,MIN 49,3,7,Tyrone Wheatley left guard for 5 yards (tackle by Corey Chavous and Greg Biekert),1.920,1.880
2,8:57,3,3,MIN 44,3,7,Rick Mirer sacked by Brian Russell for -2 yards,1.880,0.200
2,8:39,4,5,MIN 46,3,7,"Shane Lechler punts 36 yards, fair catch by Keenan Howry",0.200,0.380
2,8:33,1,10,MIN 10,3,7,"Daunte Culpepper sacked by Napoleon Harris for -7 yards. Daunte Culpepper fumbles (forced by Napoleon Harris), recovered by Roderick Coleman at MIN-1 (tackle by Chris Liwienski)",-0.380,-6.970
2,8:29,1,1,MIN 1,3,13,"Zack Crockett up the middle for 1 yard, touchdown",6.970,7.000
2,,,,MIN 2,3,14,Sebastian Janikowski kicks extra point good,0.000,0.000
2,,,,OAK 30,3,14,"Sebastian Janikowski kicks off 65 yards, returned by Onterrio Smith for 19 yards (tackle by Anthony Dorsett)",0.000,0.540
2,8:17,1,10,MIN 24,3,14,Moe Williams up the middle for 4 yards (tackle by Travian Smith and Eric Barton),0.540,0.540
2,7:35,2,6,MIN 28,3,14,Daunte Culpepper pass incomplete intended for Moe Williams,0.540,-0.160
2,7:30,,,,3,14,Timeout #1 by Minnesota Vikings,0.000,-0.160
2,7:30,3,6,MIN 28,3,14,"Penalty on Mike Rosenthal: False Start, 5 yards (no play)",-0.160,-0.820
2,7:30,3,11,MIN 23,3,14,Daunte Culpepper for 1 yard (tackle by Charles Woodson),-0.820,-1.770
2,6:54,4,10,MIN 24,3,14,"Eddie Johnson punts 36 yards, returned by Phillip Buchanon for 5 yards (tackle by Rushen Jones)",-1.770,-1.930
2,6:45,1,10,OAK 45,3,14,Tyrone Wheatley left end for 3 yards (tackle by Ken Irvin),1.930,1.790
2,5:59,2,7,OAK 48,3,14,Tyrone Wheatley up the middle for 8 yards (tackle by Corey Chavous),1.790,2.650
2,5:21,1,10,MIN 44,3,14,Tyrone Wheatley right tackle for 8 yards (tackle by Greg Biekert),2.650,3.190
2,4:44,2,2,MIN 36,3,14,Tyrone Wheatley up the middle for -2 yards (tackle by Greg Biekert),3.190,2.210
2,4:09,3,4,MIN 38,3,14,Tyrone Wheatley right end for -2 yards (tackle by E.J. Henderson),2.210,0.590
2,3:37,,,,3,14,Timeout #1 by Oakland Raiders,0.000,0.590
2,3:37,4,6,MIN 40,3,14,Penalty on Tim Johnson: False Start (Declined),0.590,0.590
2,3:37,4,6,MIN 40,3,14,"Shane Lechler punts 31 yards, fair catch by Keenan Howry",0.590,0.380
2,3:30,1,10,MIN 9,3,14,Daunte Culpepper pass complete to Jim Kleinsasser for 7 yards (tackle by Charles Woodson),-0.380,-0.160
2,2:56,2,3,MIN 16,3,14,"Penalty on Chris Liwienski: False Start, 5 yards (no play)",-0.160,-0.630
2,2:41,2,8,MIN 11,3,14,"Daunte Culpepper pass incomplete intended for Moe Williams. Penalty on Eric Barton: Illegal Contact, 5 yards (no play)",-0.630,-0.140
2,2:36,1,10,MIN 16,3,14,Daunte Culpepper pass incomplete intended for Nate Burleson,-0.140,-0.660
2,2:32,2,10,MIN 16,3,14,Daunte Culpepper pass complete to Nate Burleson for 8 yards (tackle by Terrance Shaw),-0.660,-0.320
2,2:00,3,2,MIN 24,3,14,Daunte Culpepper pass complete to Jim Kleinsasser for 14 yards (tackle by Travian Smith),-0.320,1.470
2,1:27,1,10,MIN 38,3,14,Daunte Culpepper pass complete to Nate Burleson for 6 yards (tackle by Travian Smith),1.470,1.730
2,0:59,2,4,MIN 44,3,14,Daunte Culpepper pass complete to Kelly Campbell for 7 yards (tackle by Terrance Shaw),1.730,2.320
2,0:52,,,,3,14,Timeout #2 by Minnesota Vikings,0.000,2.320
2,0:52,1,10,OAK 49,3,14,Daunte Culpepper pass complete to Randy Moss for 7 yards (tackle by Phillip Buchanon),2.320,2.730
2,0:45,2,3,OAK 42,3,14,Daunte Culpepper pass complete to Moe Williams for 6 yards (tackle by Eric Barton),2.730,3.180
2,0:26,1,10,OAK 36,3,14,"Daunte Culpepper spiked the ball. Penalty on Kelly Campbell: Illegal Formation, 5 yards (no play)",3.180,2.850
2,0:23,1,15,OAK 41,3,14,Daunte Culpepper for 14 yards (tackle by Phillip Buchanon),2.850,3.850
2,0:17,2,1,OAK 27,3,14,Daunte Culpepper pass complete to Randy Moss for 1 yard (tackle by Charles Woodson),3.850,3.840
2,0:10,,,,3,14,Timeout #3 by Minnesota Vikings,0.000,3.840
2,0:10,1,10,OAK 26,3,14,Daunte Culpepper pass incomplete intended for Nate Burleson,3.840,3.300
2,0:03,,,,3,14,Timeout #2 by Oakland Raiders,0.000,3.300
2,0:03,2,10,OAK 26,3,14,Aaron Elling 44 yard field goal no good. Penalty on O.J. Santiago: Taunting (Declined),3.300,1.140
Quarter,Time,Down,ToGo,Location,MIN,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 30,3,14,"Aaron Elling kicks off 62 yards, returned by Alvis Whitted for 18 yards (tackle by E.J. Henderson)",0.000,0.670
3,14:57,1,10,OAK 26,3,14,"Rick Mirer pass incomplete intended for O.J. Santiago. Penalty on Henri Crockett: Defensive Holding, 5 yards (no play)",0.670,1.000
3,14:51,1,10,OAK 31,3,14,Tyrone Wheatley up the middle for 2 yards (tackle by Henri Crockett and Corey Chavous),1.000,0.730
3,14:20,2,8,OAK 33,3,14,Tyrone Wheatley up the middle for 6 yards (tackle by Brian Russell),0.730,0.830
3,13:45,3,2,OAK 39,3,14,Tyrone Wheatley up the middle for 4 yards (tackle by Brian Williams),0.830,1.800
3,13:18,1,10,OAK 43,3,14,Zack Crockett up the middle for 6 yards (tackle by Corey Chavous),1.800,2.060
3,12:46,2,4,OAK 49,3,14,Zack Crockett left tackle for 44 yards (tackle by Ken Irvin and Corey Chavous),2.060,5.600
3,11:59,1,7,MIN 7,3,14,Tyrone Wheatley up the middle for 5 yards (tackle by Kenny Mixon),5.600,5.720
3,11:26,2,2,MIN 2,3,20,"Tyrone Wheatley up the middle for 2 yards, touchdown",5.720,7.000
3,,,,MIN 2,3,21,Sebastian Janikowski kicks extra point good,0.000,0.000
3,,,,OAK 30,3,21,"Sebastian Janikowski kicks off 67 yards, returned by Keenan Howry for 15 yards (tackle by Chris Hetherington)",0.000,0.040
3,11:17,1,10,MIN 18,3,21,Daunte Culpepper pass complete to D'Wayne Bates for 18 yards (tackle by Phillip Buchanon),0.040,1.330
3,11:02,1,10,MIN 36,3,21,Moe Williams up the middle for 3 yards (tackle by Roderick Coleman),1.330,1.200
3,10:25,2,7,MIN 39,3,21,Daunte Culpepper pass incomplete intended for Nate Burleson,1.200,0.500
3,10:19,3,7,MIN 39,3,21,Daunte Culpepper pass complete to Jim Kleinsasser for 11 yards (tackle by Eric Barton),0.500,2.260
3,9:42,1,10,OAK 50,3,21,Daunte Culpepper pass complete to Moe Williams for -1 yards (tackle by Travian Smith),2.260,1.580
3,8:57,2,11,MIN 49,3,21,Daunte Culpepper pass complete to Michael Bennett for 19 yards (tackle by Rod Woodson),1.580,3.450
3,8:19,1,10,OAK 32,3,21,"Penalty on Hunter Goodwin: False Start, 5 yards (no play)",3.450,3.120
3,7:59,1,15,OAK 37,3,21,"Daunte Culpepper pass complete to Randy Moss for no gain. Penalty on MIN: Illegal Shift, 5 yards (no play)",3.120,2.790
3,7:38,1,20,OAK 42,3,21,Daunte Culpepper pass complete to Jim Kleinsasser for 12 yards (tackle by Eric Barton),2.790,3.170
3,6:57,2,8,OAK 30,3,21,Daunte Culpepper pass incomplete intended for Nate Burleson (defended by Rod Woodson),3.170,2.480
3,6:54,3,8,OAK 30,3,21,"Daunte Culpepper sacked by Chris Cooper for -9 yards. Daunte Culpepper fumbles (forced by Chris Cooper), recovered by David Dixon at OAK-42",2.480,0.460
3,5:59,4,20,OAK 42,3,21,Daunte Culpepper pass incomplete intended for Kelly Campbell is intercepted by Phillip Buchanon at OAK-0,0.460,-0.280
3,5:47,1,10,OAK 20,3,21,Tyrone Wheatley right guard for 6 yards (tackle by Greg Biekert),0.280,0.540
3,5:16,2,4,OAK 26,3,21,Tyrone Wheatley right end for -2 yards (tackle by Fred Robbins),0.540,-0.430
3,4:39,3,6,OAK 24,3,21,Rick Mirer sacked by Kevin Williams and E.J. Henderson for -3 yards,-0.430,-1.960
3,4:15,4,9,OAK 21,3,21,Shane Lechler punts 49 yards,-1.960,-0.940
3,4:04,1,10,MIN 30,3,21,Daunte Culpepper pass complete to Jim Kleinsasser for 1 yard (tackle by Travian Smith),0.940,0.530
3,3:27,2,9,MIN 31,3,21,Daunte Culpepper pass complete to Moe Williams for 6 yards (tackle by Napoleon Harris),0.530,0.630
3,2:45,3,3,MIN 37,3,21,"Daunte Culpepper pass complete to Michael Bennett for 40 yards (tackle by Charles Woodson). Penalty on Tyler Brayton: Roughing the Passer, 12 yards",0.630,4.840
3,2:18,1,10,OAK 11,9,21,"Daunte Culpepper up the middle for 11 yards, touchdown",4.840,7.000
3,,,,OAK 2,10,21,Aaron Elling kicks extra point good,0.000,0.000
3,,,,MIN 30,10,21,"Aaron Elling kicks off 59 yards, returned by Alvis Whitted for 11 yards (tackle by Rushen Jones). Penalty on Tim Johnson: Offensive Holding, 10 yards",0.000,-0.350
3,2:07,1,10,OAK 12,10,21,"Rick Mirer sacked by Kevin Williams for -7 yards. Penalty on MIN: Illegal Contact (Declined), Penalty on Brian Russell: Defensive Holding, 5 yards (no play)",-0.350,-0.060
3,1:45,1,10,OAK 17,10,21,Tyrone Wheatley left guard for 1 yard (tackle by Chris Claiborne),-0.060,-0.420
3,1:13,2,9,OAK 18,10,21,Rick Mirer pass incomplete intended for Jerry Porter,-0.420,-1.130
3,1:07,3,9,OAK 18,10,21,Rick Mirer pass complete to Doug Jolley for 25 yards (tackle by Lance Johnstone),-1.130,1.800
3,0:35,1,10,OAK 43,10,21,Zack Crockett up the middle for no gain (tackle by Chris Hovan and Lance Johnstone),1.800,1.250
Quarter,Time,Down,ToGo,Location,MIN,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,OAK 43,10,21,Rick Mirer pass complete to Jerry Rice for 20 yards (tackle by Corey Chavous),1.250,3.120
4,14:44,1,10,MIN 37,10,21,"Tyrone Wheatley up the middle for 5 yards (tackle by Brian Russell). Penalty on Jerry Porter: Unnecessary Roughness (Offsetting), Penalty on Brian Williams: Unnecessary Roughness (Offsetting)",3.120,3.250
4,14:10,2,5,MIN 32,10,21,Tyrone Wheatley up the middle for 4 yards (tackle by Brian Williams),3.250,3.070
4,13:31,3,1,MIN 28,10,21,Rick Mirer sacked by Brian Williams for -6 yards,3.070,1.060
4,13:07,4,7,MIN 34,10,21,Sebastian Janikowski 52 yard field goal no good,1.060,-1.730
4,13:02,1,10,MIN 42,10,21,Daunte Culpepper pass incomplete intended for Jim Kleinsasser,1.730,1.190
4,12:56,2,10,MIN 42,10,21,Moe Williams up the middle for 5 yards (tackle by Chris Cooper),1.190,1.160
4,12:12,3,5,MIN 47,10,21,"Daunte Culpepper pass incomplete intended for Jim Kleinsasser. Penalty on Eric Barton: Defensive Holding, 5 yards (no play)",1.160,2.390
4,12:07,1,10,OAK 48,10,21,Daunte Culpepper pass complete to Kelly Campbell for 27 yards (tackle by Rod Woodson),2.390,4.170
4,11:32,1,10,OAK 21,10,21,Daunte Culpepper pass complete to Jim Kleinsasser for 9 yards (tackle by Napoleon Harris),4.170,5.160
4,10:57,2,1,OAK 12,10,21,"Daunte Culpepper for -2 yards. Daunte Culpepper fumbles, recovered by Chris Cooper at OAK-14 (tackle by Daunte Culpepper)",5.160,0.280
4,10:52,1,10,OAK 14,10,21,Rick Mirer pass complete to O.J. Santiago for 36 yards (tackle by Ken Irvin),-0.280,2.260
4,10:09,1,10,OAK 50,10,21,Tyrone Wheatley up the middle for 4 yards (tackle by Kenny Mixon),2.260,2.250
4,9:37,2,6,MIN 46,10,21,Rick Mirer pass incomplete intended for Jerry Rice (defended by Ken Irvin),2.250,1.550
4,9:32,3,6,MIN 46,10,21,Rick Mirer pass incomplete intended for Jerry Porter (defended by Brian Williams),1.550,0.200
4,9:27,4,6,MIN 46,10,21,"Shane Lechler punts 38 yards, returned by Keenan Howry for 11 yards (tackle by Ronald Curry)",0.200,-0.150
4,9:16,1,10,MIN 19,10,21,Daunte Culpepper pass complete to Kelly Campbell for 52 yards (tackle by Phillip Buchanon),0.150,3.640
,,,,,,,"OAK challenged the ruling, and the play was upheld.",,
4,8:37,1,10,OAK 29,16,21,"Daunte Culpepper pass complete to Kelly Campbell for 29 yards, touchdown",3.640,7.000
4,,,,,18,21,"Two Point Attempt: Daunte Culpepper pass complete to Hunter Goodwin, conversion succeeds",1.000,1.000
4,,,,MIN 30,18,21,"Aaron Elling kicks off 59 yards, returned by Alvis Whitted for 12 yards (tackle by Rushen Jones)",0.000,0.480
4,8:28,1,10,OAK 23,18,21,Tyrone Wheatley left guard for 2 yards (tackle by Kevin Williams),0.480,0.200
4,7:56,2,8,OAK 25,18,21,Rick Mirer pass complete to Jerry Porter for 18 yards (tackle by Chris Claiborne),0.200,1.800
4,7:16,1,10,OAK 43,18,21,Tyrone Wheatley right tackle for 1 yard (tackle by Greg Biekert),1.800,1.390
4,6:41,2,9,OAK 44,18,21,Rick Mirer pass complete to Jerry Porter for 31 yards (tackle by Corey Chavous),1.390,3.910
4,5:58,1,10,MIN 25,18,21,Tyrone Wheatley up the middle for 3 yards (tackle by Chris Hovan),3.910,3.770
4,5:18,2,7,MIN 22,18,21,Tyrone Wheatley up the middle for 11 yards (tackle by Corey Chavous and Brian Russell),3.770,4.840
4,4:41,1,10,MIN 11,18,21,Tyrone Wheatley up the middle for 4 yards (tackle by Kenny Mixon),4.840,4.890
4,3:58,2,6,MIN 7,18,21,Tyrone Wheatley up the middle for -1 yards (tackle by Mike Nattiel),4.890,3.760
4,3:17,3,7,MIN 8,18,21,Tyrone Wheatley left end for 5 yards (tackle by Brian Russell),3.760,3.050
4,3:10,,,,18,21,Timeout #2 by Oakland Raiders,0.000,3.050
4,3:10,4,2,MIN 3,18,21,Rick Mirer pass incomplete intended for Tim Brown,3.050,0.380
4,3:06,1,10,MIN 4,18,21,Daunte Culpepper pass incomplete,-0.380,-0.780
4,3:02,2,10,MIN 4,18,21,Daunte Culpepper pass incomplete intended for Kelly Campbell,-0.780,-1.420
4,2:57,3,10,MIN 4,18,21,Daunte Culpepper pass incomplete intended for D'Wayne Bates is intercepted by Rod Woodson at MIN-24 and returned for 13 yards (tackle by Matt Birk),-1.420,-4.840
,,,,,,,"MIN challenged the ruling, and the play was upheld.",,
4,2:46,1,10,MIN 11,18,21,Tyrone Wheatley up the middle for 5 yards (tackle by Chris Hovan),4.840,5.080
4,2:34,,,,18,21,Timeout #2 by Minnesota Vikings,0.000,5.080
4,2:34,2,5,MIN 6,18,21,Tyrone Wheatley up the middle for -1 yards (tackle by Henri Crockett),5.080,3.980
4,2:27,,,,18,21,Timeout #3 by Minnesota Vikings,0.000,3.980
4,2:27,3,6,MIN 7,18,21,Rick Mirer left end for 5 yards (tackle by E.J. Henderson and Ken Irvin),3.980,3.250
,,,,,,,"OAK challenged the ruling, and the play was upheld.",,
4,2:19,4,1,MIN 2,18,27,"Zack Crockett left tackle for 2 yards, touchdown",3.250,7.000
4,,,,MIN 2,18,28,Sebastian Janikowski kicks extra point good,0.000,0.000
4,,,,OAK 30,18,28,"Sebastian Janikowski kicks off 60 yards, returned by Onterrio Smith for 46 yards (tackle by Sebastian Janikowski)",0.000,2.650
4,2:08,1,10,OAK 44,18,28,Daunte Culpepper left end for 9 yards (tackle by Terrance Shaw),2.650,3.330
4,2:02,2,1,OAK 35,18,28,Daunte Culpepper pass incomplete intended for Randy Moss,3.330,2.610
4,1:56,3,1,OAK 35,18,28,Daunte Culpepper pass incomplete intended for D'Wayne Bates,2.610,1.000
4,1:52,4,1,OAK 35,18,28,Daunte Culpepper pass complete to Moe Williams for 3 yards (tackle by Napoleon Harris),1.000,3.450
4,1:26,1,10,OAK 32,18,28,Daunte Culpepper pass incomplete intended for Kelly Campbell,3.450,2.900
4,1:20,2,10,OAK 32,18,28,Daunte Culpepper pass complete to Jim Kleinsasser for 13 yards (tackle by Terrance Shaw),2.900,4.310
4,0:52,1,10,OAK 19,18,28,Daunte Culpepper right end for 5 yards (tackle by Terrance Shaw),4.310,4.530
4,0:43,2,5,OAK 14,18,28,Daunte Culpepper pass incomplete intended for Kelly Campbell,4.530,3.760
4,0:39,3,5,OAK 14,18,28,Daunte Culpepper pass incomplete intended for Randy Moss (defended by Charles Woodson),3.760,2.560
4,0:33,4,5,OAK 14,18,28,Daunte Culpepper pass incomplete intended for Randy Moss,2.560,0.280
4,0:29,1,10,OAK 14,18,28,Rick Mirer kneels for -1 yards,-0.280,-0.850
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
