Unnamed: 0,MIN,OAK
First Downs,24,19
Rush-Yds-TDs,22-94-1,43-191-3
Cmp-Att-Yd-TD-INT,27-49-396-1-3,9-13-195-0-0
Sacked-Yards,3-23,3-11
Net Pass Yards,373,184
Total Yards,467,375
Fumbles-Lost,4-3,2-2
Turnovers,6,2
Penalties-Yards,10-60,7-85
Third Down Conv.,5-13,3-10
Fourth Down Conv.,1-3,1-2
Time of Possession,30:30,29:30
